slug,nombre,municipio,categoria,productos estrella,direccion,descripcion,horario,telefono,correo,web,Facebook,Instagram,Google Maps,lat,lon,imagen,verificacion,Venta online,Canal de venta,categorias adicionales,producer_id,descripcion_locale,visitas guiadas,mensaje a la comunidad,mensaje_comunidad_locale,enlace destacado 1,enlace destacado 2,country,region,area,video,quien hay detras,quien_hay_detras_locale,historia,historia_locale,fecha ultimo cambio
4-hills-farm,4 Hills Farm,Kentwood,Fruta y verdura,Watermelons|vegetables,"17412 Hillary Simmons Road, Kentwood, LA 70444",Farm market offering watermelons and vegetables in Kentwood.,,,,,,,,30.826774989639773,-90.43345097006925,,pendiente,no comprobado,,,18,en,,,,,,us,west-south-central,louisiana,,,,,,
armstrong-farms,Armstrong Farms,Bastrop,Fruta y verdura,Peas|sweet corn|watermelons|greens|butter beans,"8008 Williard Road, Bastrop, LA 71220","Farm market offering peas, sweet corn, watermelons, greens and butter beans in Bastrop.",,,,,,,,32.72595700469145,-91.88409102702704,,pendiente,no comprobado,,,189,en,,,,,,us,west-south-central,louisiana,,,,,,
bardwell-farms,Bardwell Farms,Ponchatoula,Fruta y verdura,Vegetables,"25122 Memory Ln, Ponchatoula, LA 70454",Bardwell Farms grows vegetables for its on-farm market on Memory Lane in Ponchatoula.,,,,,,,,30.45533300398631,-90.30599700766895,,pendiente,no comprobado,,,271,en,,,,,,us,west-south-central,louisiana,,,,,,
be-the-change-farm-llc,"Be The Change Farm, Llc",Bush,Fruta y verdura,Vegetables,"26113 Highway 40, Bush, LA 70431",Farm market offering vegetables in Bush.,,,,,,,,,,,pendiente,no comprobado,,,309,en,,,,,,us,west-south-central,louisiana,,,,,,
blueberry-hill-haughton,Blueberry Hill,Haughton,Fruta y verdura,Blueberries|blackberries|vegetables,"5121 Bellevue Rd, Haughton, LA 71037","Farm market offering blueberries, blackberries and vegetables in Haughton.",,,,,,,,32.6453590125988,-93.53351001326624,,pendiente,no comprobado,,,491,en,,,,,,us,west-south-central,louisiana,,,,,,
buddha-farms,Buddha Farms,Folsom,Fruta y verdura,Vegetables|canned goods,"27677 Teeney Weeney Ln, Folsom, LA 70437",Farm market offering vegetables and canned goods in Folsom.,,,,,,,,30.57544500593815,-90.26198698685597,,pendiente,no comprobado,,Conservas,625,en,,,,,,us,west-south-central,louisiana,,,,,,
cenla-produce-farms,Cenla Produce Farms,Cottonport,Fruta y verdura,Strawberries|watermelons|tomatoes|vegetables,"1430 Front St, Cottonport, LA 71327","Farm market offering strawberries, watermelons, tomatoes and other vegetables in Cottonport.",,,,,,,,30.996068981939956,-92.04961198943184,,pendiente,no comprobado,,,751,en,,,,,,us,west-south-central,louisiana,,,,,,
clear-zone-nursery-farm,"Clear Zone Nursery, Farm",Boyce,Fruta y verdura,Strawberries|tomatoes|vegetables,"90 Harold Miles Rd, Boyce, LA 71409","A farm in Boyce offering strawberries, tomatoes and other vegetables.",,,,,,,,31.346781012297967,-92.53584099585927,,pendiente,no comprobado,,,841,en,,,,,,us,west-south-central,louisiana,,,,,,
cottontail-gardens,Cottontail Gardens,Moreauville,Fruta y verdura,Vegetables|citrus|honey,"1264 Couvillion Street, Moreauville, LA 71355","Farm market offering vegetables, citrus and honey in Moreauville.",,,,,,,,31.04374700740155,-91.98421797341864,,pendiente,no comprobado,,Miel,912,en,,,,,,us,west-south-central,louisiana,,,,,,
country-boys-farm,Country Boys Farm,Ponchatoula,Fruta y verdura,Vegetables,"39817 N Bunker Hill Rd, Ponchatoula, LA 70454",Country Boys Farm grows vegetables for direct sale at its North Bunker Hill Road farm market in Ponchatoula.,,,,,,,,30.43900099137751,-90.31497503179823,,pendiente,no comprobado,,,919,en,,,,,,us,west-south-central,louisiana,,,,,,
