slug,nombre,municipio,categoria,productos estrella,direccion,descripcion,horario,telefono,correo,web,Facebook,Instagram,Google Maps,lat,lon,imagen,verificacion,Venta online,Canal de venta,categorias adicionales,producer_id,descripcion_locale,visitas guiadas,mensaje a la comunidad,mensaje_comunidad_locale,enlace destacado 1,enlace destacado 2
cathedral-peak-wine-estate,Cathedral Peak Wine Estate,Okhahlamba,Vino,,Cathedral Peak Wine Estate,,,+27630751123,weddings@cathpeakwines.com,http://www.cathpeakwines.com/,https://www.facebook.com/354561194745172,,,-28.94638,29.20499,,parcial,no comprobado,,,167,,,,,,
chrissy-s-creations,Chrissy's Creations,Ladysmith,Pan y cereal,pan y productos de cereal,22 Azalea Dr,,,+27848623978,govendermc@yahoo.com,,https://www.facebook.com/917864328424773,,,-28.5880756,29.7967847,,parcial,no comprobado,,,182,,,,,,
clouston-farms,Clouston Farms,Alfred Duma,Otros,,Cloustan Farm,,,+27364222376,,,https://www.facebook.com/103704790272272,,,-28.7494897,29.7805649,,parcial,no comprobado,,,188,,,,,,
drakensberg-brewery,Drakensberg Brewery,Okhahlamba,Cerveza,,,,,+27603826225,,http://www.drakbrew.co.za/,https://www.facebook.com/287663011635676,,,-28.9895576,29.4748895,,parcial,no comprobado,,,267,,,,,,
drakensberg-chocolate-memories,Drakensberg Chocolate Memories,Okhahlamba,Chocolate,,Berg Air Lifestyle Centre El Mirador Airfield R600 Champagne Valley,,,+27723103376,drakensbergchocolatebar@gmail.com,https://chocolatememories.co.za/,https://www.facebook.com/177298253189,,,-28.9902848,29.4748829,,parcial,no comprobado,,,268,,,,,,
drayton-farms,Drayton Farms,Bergville,Otros,,Drayton Farm,,,,draytonfarms@gmail.com,,https://www.facebook.com/101680398690439,,,-28.7632034,29.2796599,,parcial,no comprobado,,,271,,,,,,
du-toit-livestock,Du Toit Livestock,Ladysmith,Otros,,Nauntons Guest House,,,+27823396369,frank@nambitibeef.co.za,https://www.dutoitlivestock.co.za/,https://www.facebook.com/389471515259540,,,-28.5219469,29.8140535,,parcial,no comprobado,,,275,,,,,,
khulu-bakery,Khulu Bakery,eTholeni,Pan y cereal,pan y productos de cereal,eTholeni,,,+27731837089,bmkhulu@gmail.com,https://maps.app.goo.gl/kk5mBCVfLNdS4NSo6,https://www.facebook.com/104084805442746,,,-28.41815,30.22712,,parcial,no comprobado,,,464,,,,,,
klipriver-bakery,Klipriver Bakery,Ladysmith,Pan y cereal,pan y productos de cereal,36 Alexandra St,,,+27333058761,reggie@nashuaisp.co.za,,https://www.facebook.com/294555467230650,,,-28.5578186,29.7835094,,parcial,no comprobado,,,473,,,,,,
m-g-jacobsz-farming,M.G Jacobsz Farming,Bergville,Otros,,Oppermanskraal Farm,,,,jacobszrobin@gmail.com,,https://www.facebook.com/469800456533776,,,-28.7309895,29.3451309,,parcial,no comprobado,,,538,,,,,,
marian-otto-life-trauma-coach,Marian Otto Life Trauma Coach,Ladysmith,Pan y cereal,pan y productos de cereal,58 Farquahar Rd,,,+27825627721,mariansuotto69@gmail.com,,https://www.facebook.com/1743477112535011,,,-28.55212,29.77197,,parcial,no comprobado,,,559,,,,,,
moneyzone-south-africa,MoneyZone South Africa,Ladysmith,Pan y cereal,pan y productos de cereal,81 Third Ave,,,,pixelflair99@gmail.com,http://www.pixelflair99.myshopify.com/,https://www.facebook.com/1398947886810237,,,-28.5348133,29.8102236,,parcial,no comprobado,,,610,,,,,,
nokvuna-farming,Nokvuna Farming,Estcourt,Otros,,"Emoyeni, Location, Loskop",,,+27790314218,nokvuna@gmail.com,,https://www.facebook.com/112661203831246,,,-28.98851,29.83489,,parcial,no comprobado,,,656,,,,,,
pioneer-foods,Pioneer Foods,Estcourt,Pan y cereal,pan y productos de cereal,220 Albert St,,,+27363522372,,,https://www.facebook.com/520900418089899,,,-29.003121,29.861958,,parcial,no comprobado,,,708,,,,,,
rolling-m-ranch,Rolling M Ranch,Winterton,Otros,,Skietdrift Road,,,,rollingmranch@gmail.com,http://www.rollingmranch.co.za/,https://www.facebook.com/618606801528603,,,-28.8,29.5333,,parcial,no comprobado,,,756,,,,,,
sicoma-holdings-farm-sa,Sicoma Holdings Farm SA,Ladysmith,Carne,,22 Bloukrans Rd,,,+27748070553,,https://shfarms.co/,https://www.facebook.com/109911254825147,,,-28.541297,29.8105697,,parcial,no comprobado,,,813,,,,,,
the-berg-show,The Berg Show,Okhahlamba,Otros,,VS Agri Grounds,,,+27810787110,thebergshow1@gmail.com,,https://www.facebook.com/101975487857398,,,-28.8126024,29.5457806,,parcial,no comprobado,,,893,,,,,,
ukhahlamba-poultry-farm,Ukhahlamba Poultry Farm,Okhahlamba,Carne,,D57 Ukhahlamba Poultry Farm,,,+27364887400,,,https://www.facebook.com/1190668337611373,,,-28.8658441,29.5954946,,parcial,no comprobado,,,944,,,,,,
wyford-farm,Wyford Farm,Emnambithi,Otros,,,,,,,https://www.google.co.za/url?sa=t&source=web&rct=j&url=http://acomsa.co.za/n3/wyford-farm/&ved=0ahUKEwjo2Zn5jL_UAhWFuRoKHYLLAqgQFghIMAk&usg=AFQjCNGEdMIJ3mY98p-vfdDY0QqNakOJ0A&sig2=bXcs07fb6sB2CJ24YxvhQA,https://www.facebook.com/470129323045190,,,-28.4104027,29.4266246,,parcial,no comprobado,,,1014,,,,,,
zunckel-farms,Zunckel Farms,Okhahlamba Ward 11,Otros,,R74,,,+27364481657,office@zunckelfarms.co.za,,https://www.facebook.com/231487103684958,,,-28.6384443,29.2792467,,parcial,no comprobado,,,1037,,,,,,
