slug,nombre,municipio,categoria,productos estrella,direccion,descripcion,horario,telefono,correo,web,Facebook,Instagram,Google Maps,lat,lon,imagen,verificacion,Venta online,Canal de venta,categorias adicionales,producer_id
agri-letaba,Agri Letaba,Tzaneen,Otros,,21 Letaba Cres,,,+27153072725,info@agriletaba.co.za,http://www.agriletaba.co.za/,https://www.facebook.com/1819579838276062,,,-23.8063,30.16461,,parcial,no comprobado,,,22
allesbeste,Allesbeste,Greater Tzaneen Ward 16,Otros,,M2 R71,,,+27153073076,admin@allesbeste.com,https://allesbeste.store/,https://www.facebook.com/1722982977994868,,,-23.801889,30.1206557,,parcial,no comprobado,,,31
ambrosia-citrus-estate-farm-hoedspruit,Ambrosia Citrus Estate Farm Hoedspruit,Hoedspruit,Fruta y verdura,,"Ambrosia Citrus estate, Farm Berlin",,,,,,https://www.facebook.com/725474407314621,,,-24.35005,30.96649,,parcial,no comprobado,,,41
boschoek-farm,Boschoek Farm,Tzaneen,Otros,,Boschoek Farm,,,+27818374039,office@boschoekfarm.co.za,http://boschoekfarm.co.za/,https://www.facebook.com/853757741345078,,,-23.7378977,30.1409912,,parcial,no comprobado,,,124
cpj-erasmus-seun-boerdery,CPJ Erasmus & seun Boerdery,Letsitele,Otros,,Farm Laborie,,,+27150040365,admin@cpjerasmus.co.za,,https://www.facebook.com/1704204196461824,,,-23.8833,30.4,,parcial,no comprobado,,,208
egg-brothers,Egg Brothers,Hoedspruit,Huevos,,R527,,,+27828977020,eggsbrothers@gmail.com,,https://www.facebook.com/420726118362873,,,-24.3553364,30.949055,,parcial,no comprobado,,,292
groep-91-uitvoer,Groep 91 Uitvoer,Letsitele,Otros,,Giyani Road (R529),,,+27153451671,admin@groep91.co.za,,https://www.facebook.com/435861633448991,,,-23.7979269,30.4364932,,parcial,no comprobado,,,378
hoedspruit-brew-co,Hoedspruit Brew Co.,Hoedspruit,Cerveza,,R40 Bosveld Center,,,+27609707771,,http://www.TheBrewery.co.za/,https://www.facebook.com/105436227726946,,,-24.3512951,30.9570501,,parcial,no comprobado,,,408
mahela-group,Mahela Group,Letsitele,Otros,,"R71 Main Road, The Junction",,,+27153451600,,http://www.mahela.co.za/,https://www.facebook.com/853902584812444,,,-23.8707687,30.3662109,,parcial,no comprobado,,,548
mbavazi-poultry-farm,Mbavazi Poultry Farm,Giyani,Carne,,old Malonga to Sifasonke road near Khathu Bricksyard,,,+27724049298,,,https://www.facebook.com/1508530379434516,,,-23.3167,30.7167,,parcial,no comprobado,,,570
refilwe-farm,Refilwe Farm,Tzaneen,Otros,,"Welvetwacht Farm,  Tarentaalrand",,,+27686606882,info@refilwefarm.co.za,http://www.refilwefarm.co.za/,https://www.facebook.com/1027192374077775,,,-23.7959299,30.30876,,parcial,no comprobado,,,738
s-a-breweries-ltd,S A Breweries Ltd.,Tzaneen,Cerveza,,1972 Industria St,,,+27153075469,,,https://www.facebook.com/554804448014211,,,-23.8586182,30.1673975,,parcial,no comprobado,,,772
sebaki-bakery,Sebaki Bakery,Mohlaba,Pan y cereal,pan y productos de cereal,190 mohlaka a mosoma,,,+27829510703,sebakibakery@gmail.com,http://SEBAKIBAKERY.WEBSITES.CO.IN/,https://www.facebook.com/2082670228416937,,,-23.9464959,30.2682649,,parcial,no comprobado,,,792
soleil-sitrus,Soleil Sitrus,Hoedspruit,Otros,,,,,+27158171826,laura.a@soleilsitrus.co.za,https://www.soleilsitrus.co.za/soleil-group/,https://www.facebook.com/104337624803887,,,-24.4275916,30.8528727,,parcial,no comprobado,,,828
south-african-breweries-tzaneen,South African Breweries,Tzaneen,Cerveza,,"1 Industria St, Industria Park South",,,+27153073605,,,https://www.facebook.com/229015740453743,,,-23.8531944,30.1607957,,parcial,no comprobado,,,836
the-brewery,The Brewery,Maruleng,Cerveza,,,,,,,,https://www.facebook.com/103093204848843,,,-24.3682556,30.9687325,,parcial,no comprobado,,,894
tshifularo-confectionary-pty-ltd,Tshifularo Confectionary - Pty Ltd,Namakgale,Pan y cereal,pan y productos de cereal,"Stand No. 3469 Zone B, Longtill Azibasabi Street",,,+27727102704,info@tshifularoconfectionery.co.za,http://www.tshifularoconfectionery.co.za/,https://www.facebook.com/108131018020669,,,-23.9423307,31.0195541,,parcial,no comprobado,,,938
westfalia-fruit-estates,Westfalia Fruit Estates,Greater Tzaneen Ward 14,Fruta y verdura,,R36,,,+27153090000,info@westfaliafruit.com,http://www.westfalia.co.za,https://www.facebook.com/240623082655826,,,-23.7372133,30.1116706,,parcial,no comprobado,,,990
wits-rural-facility,Wits Rural Facility,Bushbuckridge,Otros,,,,,+27157937508,,,https://www.facebook.com/119601791543635,,,-24.5524665,31.0969157,,parcial,no comprobado,,,1006
zwakala-brewery,Zwakala Brewery,Greater Tzaneen Ward 14,Cerveza,,Cheerio Road,,,+27731139969,zwakalabrewery@gmail.com,http://www.zwakalabrewery.com/,https://www.facebook.com/1717885441830063,,,-23.9004824,29.9328596,,parcial,no comprobado,,,1038
