slug,nombre,municipio,categoria,productos estrella,direccion,descripcion,horario,telefono,correo,web,Facebook,Instagram,Google Maps,lat,lon,imagen,verificacion,Venta online,Canal de venta,categorias adicionales,producer_id,descripcion_locale,visitas guiadas,mensaje a la comunidad,mensaje_comunidad_locale,enlace destacado 1,enlace destacado 2,country,region,area,video,quien hay detras,quien_hay_detras_locale,historia,historia_locale,fecha ultimo cambio
baipoti-enterprise-uniform-designer,Baipoti Enterprise uniform designer,Ga-Sekhukhune,Pan y cereal,pan y productos de cereal,"No 1150, Mogoroane",,,+27721419459,joycetjatji@gmail.com,,https://www.facebook.com/100442934694801,,,-24.8297019,29.8173237,,pendiente,no comprobado,,,62,,,,,,,za,limpopo,sekhukhune,,,,,,
de-wagendrift-boerdery,De Wagendrift Boerdery,Groblersdal,Otros,,De Wagendrift A7,,,+27135910221,info@dwbdy.co.za,,https://www.facebook.com/1610424745941948,,,-25.38226,29.40663,,pendiente,no comprobado,,,234,,,,,,,za,limpopo,sekhukhune,,,,,,
kiepersol-farm-horse-riding-trails,Kiepersol Farm Horse Riding Trails,Elias Motsoaledi,Otros,,Tonteldoos,,,+27834455037,,,https://www.facebook.com/1163562893745466,,,-25.3167,29.9833,,pendiente,no comprobado,,,465,,,,,,,za,limpopo,sekhukhune,,,,,,
letlawaptyltd,Letlawaptyltd,Groblersdal,Otros,,1 Hereford St,,,+27767066304,shaunverratiano@gmail.com,,https://www.facebook.com/108945498766191,,,-25.1674618,29.3980996,,pendiente,no comprobado,,,509,,,,,,,za,limpopo,sekhukhune,,,,,,
letsatsi-lapholotho-fazenda,Letsatsi Lapholotho Fazenda,Spitspunt,Otros,,"Tshikannosi, Limpopo, South Africa",,,+27726446138,,,https://www.facebook.com/106859415382279,,,-24.9937291,28.9331145,,pendiente,no comprobado,,,510,,,,,,,za,limpopo,sekhukhune,,,,,,
makangeni-agribusiness,Makangeni Agribusiness,Ga-Sekhukhune,Otros,,Phokoane Tshepela stand no 400,,,+27797017690,jerryjeremia828@gmail.com,,https://www.facebook.com/101129319545933,,,-24.75885,29.99903,,pendiente,no comprobado,,,550,,,,,,,za,limpopo,sekhukhune,,,,,,
mamagase-poultry,Mamagase Poultry,Jane Furse,Carne,,"Makhuduthamaga, Limpopo, South Africa",,,+27660666595,mamagase@gmail.com,,https://www.facebook.com/114651396931602,,,-24.76199,29.86922,,pendiente,no comprobado,,,554,,,,,,,za,limpopo,sekhukhune,,,,,,
masefako-headquarters,Masefako Headquarters.,Elias Motsoaledi Ward 13,Otros,,,,,+27833434206,,,https://www.facebook.com/674778772956446,,,-25.171735,29.4124449,,pendiente,no comprobado,,,562,,,,,,,za,limpopo,sekhukhune,,,,,,
prescar-s-poultry-farm,Prescar's Poultry Farm,Elias Motsoaledi,Carne,,"Unit B, 490 Monsterlus",,,+27824194633,info@prescarspoultry.co.za,http://prescarspoultry.co.za/,https://www.facebook.com/104366641903882,,,-25.0134755,29.7368615,,pendiente,no comprobado,,,717,,,,,,,za,limpopo,sekhukhune,,,,,,
rashakwe-farms,Rashakwe Farms,Ga-Sekhukhune,Otros,,"10 Lerajane, Mohlaletse road",,,+27614702586,,http://rashakwefarms.wixsite.com/website,https://www.facebook.com/920487744809060,,,-24.75935,29.99843,,pendiente,no comprobado,,,729,,,,,,,za,limpopo,sekhukhune,,,,,,
royal-t-royal-icing-biscuits,Royal-T Royal Icing Biscuits,Groblersdal,Pan y cereal,pan y productos de cereal,17 Muller St,,,+27826327290,royaltiaanna@gmail.com,,https://www.facebook.com/430199116847500,,,-25.1733622,29.3909925,,pendiente,no comprobado,,,768,,,,,,,za,limpopo,sekhukhune,,,,,,
sasko,Sasko,Groblersdal,Pan y cereal,pan y productos de cereal,2 West St,,,+27132622042,,http://www.sasko.co.za,https://www.facebook.com/266276020373073,,,-25.1681968,29.3883613,,pendiente,no comprobado,,,784,,,,,,,za,limpopo,sekhukhune,,,,,,
schoonbee-landgoed,Schoonbee Landgoed,Groblersdal,Otros,,Farm Kameelkop 17-JS,,,+27132624000,info@schoonbee.co.za,https://schoonbee.co.za/,https://www.facebook.com/112855482207733,,,-25.16868,29.39529,,pendiente,no comprobado,,,790,,,,,,,za,limpopo,sekhukhune,,,,,,
shongololo-boerbok-stoet,Shongololo Boerbok Stoet,Groblersdal,Otros,,Plaas Goedgedacht,,,,foucheb@ctecg.co.za,,https://www.facebook.com/2286134991616170,,,-25.3785143,29.431343,,pendiente,no comprobado,,,809,,,,,,,za,limpopo,sekhukhune,,,,,,
the-south-african-breweries-groblersdal,The South African Breweries,Groblersdal,Cerveza,,19 Barlow St,,,+27132623490,,,https://www.facebook.com/259344801072232,,,-25.1650343,29.3948763,,pendiente,no comprobado,,,919,,,,,,,za,limpopo,sekhukhune,,,,,,
thinus-maritz-boerdery,Thinus Maritz Boerdery,Marble Hall,Otros,,,,,+27132611850,vaalwater@thinusmaritz.co.za,,https://www.facebook.com/282487945113365,https://www.instagram.com/thinusmaritz_boerdery/,,-25.0443926,29.2025185,,pendiente,no comprobado,,,928,,,,,,,za,limpopo,sekhukhune,,,,,,
uyskraal-marble-hall,"Uyskraal, Marble Hall",Marble Hall,Otros,,,,,,,,https://www.facebook.com/192471254172033,,,-24.9157416,29.2629298,,pendiente,no comprobado,,,959,,,,,,,za,limpopo,sekhukhune,,,,,,
willemien-cake-studio,Willemien Cake Studio,Groblersdal,Pan y cereal,pan y productos de cereal,3 Grobler St,,,+27824363664,willemien117@gmail.com,,https://www.facebook.com/110048621531908,,,-25.1663019,29.3948477,,pendiente,no comprobado,,,997,,,,,,,za,limpopo,sekhukhune,,,,,,
year-one-poultry,Year one poultry,Makhuduthamaga Ward 18,Carne,,"Plot 20259, Yearonepoultry Mashishing village",,,+27715318844,,,https://www.facebook.com/107645528576570,,,-24.7653412,29.8851722,,pendiente,no comprobado,,,1020,,,,,,,za,limpopo,sekhukhune,,,,,,
