slug,nombre,municipio,categoria,productos estrella,direccion,descripcion,horario,telefono,correo,web,Facebook,Instagram,Google Maps,lat,lon,imagen,verificacion,Venta online,Canal de venta,categorias adicionales,producer_id
amantsi-meat,Amantsi Meat,Taung,Carne,,Taung,"Explotación ganadera, matadero o elaborador cárnico identificado como unidad productiva.",,+27823939505,,,https://www.facebook.com/109375630419722,,https://www.google.com/maps/search/?api=1&query=-27.5276%2C24.77437,-27.5276,24.77437,,parcial,no comprobado,,,39
bacon-biltong-slaghuis,Bacon & Biltong Slaghuis,Bloemhof,Carne,,Prince Street 67,"Explotación ganadera, matadero o elaborador cárnico identificado como unidad productiva.",,+27534330758,baconandbiltongbhf@outlook.com,https://baconandbiltong.wixsite.com/baconandbiltong,https://www.facebook.com/413219842049286,,https://www.google.com/maps/search/?api=1&query=-27.6522855%2C25.6049188,-27.6522855,25.6049188,,parcial,no comprobado,,,58
beesland-biltong,Beesland biltong,Vryburg,Carne,,Game Centre,"Explotación ganadera, matadero o elaborador cárnico identificado como unidad productiva.",,+27646524394,,,https://www.facebook.com/657884391083789,,https://www.google.com/maps/search/?api=1&query=-26.9572759%2C24.7286334,-26.9572759,24.7286334,,parcial,no comprobado,,,84
beesland-butchery,Beesland butchery,Vryburg,Carne,,27 Van Niekerk St,"Explotación ganadera, matadero o elaborador cárnico identificado como unidad productiva.",,+27539271646,beeslandmeats@gmail.com,http://www.beeslandslaghuis.co.za/,https://www.facebook.com/1624261624500061,,https://www.google.com/maps/search/?api=1&query=-26.95718%2C24.7245293,-26.95718,24.7245293,,parcial,no comprobado,,,85
bloemhof-bakery,Bloemhof Bakery,Bloemhof,Pan y cereal,pan y productos de cereal,42 Prince St,Panadería o molino identificado como unidad elaboradora.,,+27534331115,,,https://www.facebook.com/365380716868348,,https://www.google.com/maps/search/?api=1&query=-27.6522988%2C25.5974271,-27.6522988,25.5974271,,parcial,no comprobado,,,113
calby-farming,Calby Farming,Christiana,Otros,,Smitskraal,Explotación agrícola identificada como unidad productiva.,,+27534412945,,,https://www.facebook.com/1157936257614616,,https://www.google.com/maps/search/?api=1&query=-27.91335%2C25.16691,-27.91335,25.16691,,parcial,no comprobado,,,159
colridg-hallal-butcher,Colridg Hallal Butcher,Vryburg,Carne,,67 French St,"Explotación ganadera, matadero o elaborador cárnico identificado como unidad productiva.",,+27653201641,abdulrahat57@gmail.com,,https://www.facebook.com/416751571512807,,https://www.google.com/maps/search/?api=1&query=-26.9511852%2C24.7387703,-26.9511852,24.7387703,,parcial,no comprobado,,,194
fisher-s-bakery,Fisher's Bakery,Christiana,Pan y cereal,pan y productos de cereal,"location, 725 Mohutsiwa street",Panadería o molino identificado como unidad elaboradora.,,+27618357058,visser.s@live.com,,https://www.facebook.com/103322518187499,,https://www.google.com/maps/search/?api=1&query=-27.8897255%2C25.125195,-27.8897255,25.125195,,parcial,no comprobado,,,335
floradene-slaghuis,Floradene Slaghuis,Vryburg,Carne,,68 French St,"Explotación ganadera, matadero o elaborador cárnico identificado como unidad productiva.",,+27539272598,floradeneslaghuis@gmail.com,https://www.floradeneslaghuis.co.za/contact,https://www.facebook.com/102558385147571,,https://www.google.com/maps/search/?api=1&query=-26.950551%2C24.7384522,-26.950551,24.7384522,,parcial,no comprobado,,,337
greylingslyn,Greylingslyn,Christiana,Otros,,Greylingslyn,Explotación agrícola identificada como unidad productiva.,,,,,https://www.facebook.com/330266694052153,,https://www.google.com/maps/search/?api=1&query=-27.910205%2C25.165094,-27.910205,25.165094,,parcial,no comprobado,,,374
jjo-boerdery,JJO Boerdery,Tlhakgameng,Otros,,Tlakgaming Veilingskrale,Explotación agrícola identificada como unidad productiva.,,+27827711367,,,https://www.facebook.com/1505749269737332,,https://www.google.com/maps/search/?api=1&query=-26.4667%2C24.35,-26.4667,24.35,,parcial,no comprobado,,,442
john-roberts-pecans,John Roberts pecans,Christiana,Otros,,Forsmanstraat 128,Explotación agrícola identificada como unidad productiva.,,+27727274163,johnrobertspecans@gmail.com,,https://www.facebook.com/271362640257113,,https://www.google.com/maps/search/?api=1&query=-27.92245%2C25.16074,-27.92245,25.16074,,parcial,no comprobado,,,443
kopano-butchery,Kopano Butchery,Taung,Carne,,Station Str,"Explotación ganadera, matadero o elaborador cárnico identificado como unidad productiva.",,,,,https://www.facebook.com/166819233497707,,https://www.google.com/maps/search/?api=1&query=-27.5620554%2C24.746205,-27.5620554,24.746205,,parcial,no comprobado,,,482
malemba-boerdery,Malemba Boerdery,Kagisano-Molopo Ward 15,Otros,,,Explotación agrícola identificada como unidad productiva.,,+27829440293,,,https://www.facebook.com/100664142509160,,https://www.google.com/maps/search/?api=1&query=-26.7780127%2C24.1357531,-26.7780127,24.1357531,,parcial,no comprobado,,,552
ons-vleismark,Ons Vleismark,Christiana,Carne,,9 Pretorius St,"Explotación ganadera, matadero o elaborador cárnico identificado como unidad productiva.",,+27534412182,onsvleismarknw1@gmail.com,,https://www.facebook.com/102539249114655,,https://www.google.com/maps/search/?api=1&query=-27.9099041%2C25.171629,-27.9099041,25.171629,,parcial,no comprobado,,,678
rakgoadi-progressive-bakery,Rakgoadi Progressive Bakery,Christiana,Pan y cereal,pan y productos de cereal,816 Duizend Annex Old Hospital Road,Panadería o molino identificado como unidad elaboradora.,,+27132651027,info@rakgoadibakery.co.za,http://www.rakgoadibakery.co.za/,https://www.facebook.com/234580753233032,,https://www.google.com/maps/search/?api=1&query=-27.6835281%2C25.3125,-27.6835281,25.3125,,parcial,no comprobado,,,727
