slug,nombre,municipio,categoria,productos estrella,direccion,descripcion,horario,telefono,correo,web,Facebook,Instagram,Google Maps,lat,lon,imagen,verificacion,Venta online,Canal de venta,categorias adicionales,producer_id,descripcion_locale,visitas guiadas,mensaje a la comunidad,mensaje_comunidad_locale,enlace destacado 1,enlace destacado 2
bergwater-winery,Bergwater Winery,Prince Albert,Vino,,Scenic Cape Route 62,,,,,http://www.bergwater.co.za/,https://www.facebook.com/471286482908560,,,-33.231027,22.0313,,pendiente,no comprobado,,,92,,,,,,
de-meule-plaas,De Meule Plaas,Laingsburg,Otros,,"De Meule Plaas, Laingsburg 6900",,,+27662964142,demeuleplaas@gmail.com,,https://www.facebook.com/111677941424934,,,-33.1950125,20.8523512,,pendiente,no comprobado,,,233,,,,,,
delicious-bakers-delight-coffee-treats,Delicious Bakers Delight & Coffee Treats,Beaufort West,Pan y cereal,pan y productos de cereal,7 Konstitusie Street\nMiddedorp\nBeaufort West,,,+27745202280,deliciousbwest@gmail.com,,https://www.facebook.com/1880113938938574,,,-32.35092,22.58469,,pendiente,no comprobado,,,238,,,,,,
donkin-deli,Donkin Deli,Beaufort West,Carne,,67 Donkin St,,,+27230070181,donkindeli@beaufortwest.net,,https://www.facebook.com/1157960727670284,,,-32.3488416,22.5827419,,pendiente,no comprobado,,,265,,,,,,
fluisterbosch-seweweekspoort,Fluisterbosch Seweweekspoort,Seven Weeks Poort,Otros,,R323 Farm 6/219 Fluisterbosch.,,,+27824455569,benjsa@wispernet.co.za,https://fluisterbosch.co.za/,https://www.facebook.com/201044446727839,,,-33.367768,21.3310034,,pendiente,no comprobado,,,339,,,,,,
gay-s-guernsey-dairy,Gay's Guernsey Dairy,Prince Albert,Lácteos y quesos,leche y productos lácteos,4 Church St,,,+27235411274,info@gaysguernseydairy.com,http://www.gaysguernseydairy.com/,https://www.facebook.com/1731541680403008,,,-33.2328432,22.032762,,pendiente,no comprobado,,,355,,,,,,
house-of-garlic-koup-knoffel-s,House of Garlic - Koup Knoffel's,Laingsburg,Otros,,PO BOX 88,,,+27828985197,info@garlic.co.za,http://www.garlic.co.za/,https://www.facebook.com/539921169422584,,,-33.1967942,20.855706,,pendiente,no comprobado,,,415,,,,,,
indaba-meat-distributors,Indaba Meat Distributors,Beaufort West,Carne,,10a Voortrekker St,,,+27234144069,admin@indabameat.co.za,,https://www.facebook.com/1011037618916533,,,-32.3536421,22.5823952,,pendiente,no comprobado,,,424,,,,,,
karoo-butcher-and-co,Karoo Butcher and Co,Beaufort West,Carne,,10a Voortrekker St,,,+27234144069,admin1@indabameat.co.za,,https://www.facebook.com/784616105222140,,,-32.3540246,22.5823719,,pendiente,no comprobado,,,451,,,,,,
karoo-slaghuis-prince-albert,Karoo Slaghuis Prince Albert,Klaarstroom,Carne,,Kerkstraat,,,+27235411470,,,https://www.facebook.com/493263637502533,,,-33.326814,22.5277466,,pendiente,no comprobado,,,453,,,,,,
leeurivier-karoo-farm,Leeurivier Karoo Farm,Beaufort West,Otros,,Theekloof Road,,,+27828083990,welkom@leeurivier.net,https://mailchi.mp/leeurivier/leeurivier-karoo-mailer-sign-up,https://www.facebook.com/112373940133050,,,-32.4280414,22.1950432,,pendiente,no comprobado,,,502,,,,,,
pure-karoo-free-range-eggs,Pure Karoo Free Range Eggs,Murraysburg,Huevos,,Retreat,,,+27781275225,vonita@purekaroo.co.za,,https://www.facebook.com/229153370578998,,,-31.96448,23.7557699,,pendiente,no comprobado,,,723,,,,,,
sandrivier-plaas-r323-laingsburg,Sandrivier Plaas R323 Laingsburg,Laingsburg,Otros,,Sandrivier Plaas R323 Laingsburg,,,,,https://www.seweweekspoort.co.za,https://www.facebook.com/340557606447846,,,-33.3659481,21.3285887,,pendiente,no comprobado,,,782,,,,,,
smokkel-smous-slaghuis,Smokkel & Smous Slaghuis,Beaufort West,Carne,,1 Kinnear St,,,+27234151029,smokkelsmous1@gmail.com,,https://www.facebook.com/111938931530926,,,-32.3444067,22.5818315,,pendiente,no comprobado,,,824,,,,,,
soetdorings-farm,Soetdorings Farm,Beaufort West,Otros,,Soetdorings Farm,,,,,,https://www.facebook.com/102208681134810,,,-32.2670671,22.7566512,,pendiente,no comprobado,,,826,,,,,,
the-accidental-baker,The Accidental Baker,Prince Albert,Pan y cereal,pan y productos de cereal,8 De Beer St,,,+27798687478,info@lenieshof.com,http://lenieshof.com/,https://www.facebook.com/103079874585802,,,-33.2196544,22.0317448,,pendiente,no comprobado,,,890,,,,,,
tokkies-se-slaghuis,Tokkies se slaghuis,Beaufort West,Carne,,8 Blyth St,,,+27829527118,rachelvanheerden@ymail.com,,https://www.facebook.com/300878023753267,,,-32.3598,22.58623,,pendiente,no comprobado,,,931,,,,,,
vleishuis,Vleishuis,Beaufort West,Carne,,30 Voortrekker St,,,+27739030518,,,https://www.facebook.com/955294581188404,,,-32.3532279,22.5901819,,pendiente,no comprobado,,,973,,,,,,
waterval-karoo,Waterval Karoo,Laingsburg,Otros,,Waterval,,,+27825648270,watervalplaaskaroo@gmail.com,https://watervalkaroo.com/,https://www.facebook.com/121105470917345,,,-33.2648022,20.7625002,,pendiente,no comprobado,,,983,,,,,,
west-beaufort-west,West Beaufort West,Beaufort West,Otros,,Theekloof Road,,,+27828083990,welkom@leeurivier.net,,https://www.facebook.com/413166382588919,,,-32.3444067,22.5818315,,pendiente,no comprobado,,,989,,,,,,
o-for-olive,O for Olive,Prince Albert,Aceite,,,,,,,https://www.evoosa.co.za/listed,,,,,,,pendiente,no comprobado,,,1048,,,,,,
