slug,nombre,municipio,categoria,productos estrella,direccion,descripcion,horario,telefono,correo,web,Facebook,Instagram,Google Maps,lat,lon,imagen,verificacion,Venta online,Canal de venta,categorias adicionales,producer_id
almenkerk-wine-estate,Almenkerk Wine Estate,Elgin,Vino,,"Viljoenshoop Road 50, South Africa",,,+27218489844,info@almenkerk.co.za,http://www.almenkerk.co.za/,https://www.facebook.com/199667940095828,,,-34.2134502,19.0325704,,parcial,no comprobado,,,33
ataraxia-wines,Ataraxia Wines,Hermanus,Vino,,Hemel-en-Aarde Valley,,,+27282122007,info@ataraxiawines.co.za,http://www.ataraxiawines.co.za/,https://www.facebook.com/106126296139913,,,-34.3358747,19.3105732,,parcial,no comprobado,,,53
beaumont-wines,Beaumont Wines,Botrivier,Vino,,Bot River,,,+27282849194,info@beaumont.co.za,http://www.beaumont.co.za,https://www.facebook.com/139852146134533,,,-34.2266536,19.2060318,,parcial,no comprobado,,,82
bosman-hermanus,Bosman Hermanus,Hermanus,Vino,,"De Bos Farm, Karwyderskraal Road, Upper Hemel-En-Aarde",,,+27763000819,taste@bosmanhermanus.com,https://account.dineplan.com/widgetframe/Qdycrj3k?source=Facebook,https://www.facebook.com/107312591001447,,,-34.3678498,19.2295339,,parcial,no comprobado,,,127
elgin-vintners,Elgin Vintners,Elgin,Vino,,"Appletiser Road, Elgin",,,+27218489587,info@elginvintners.co.za,http://elginvintners.co.za/,https://www.facebook.com/127278620786589,,,-34.1810731,19.0116886,,parcial,no comprobado,,,298
gabrielskloof,Gabrielskloof,Botrivier,Vino,,N2 Swartriver Rd,,,+27282849865,info@gabrielskloof.co.za,http://www.gabrielskloof.co.za/,https://www.facebook.com/301616788352,,,-34.2390633,19.2494877,,parcial,no comprobado,,,352
hermanuspietersfontein-wines,Hermanuspietersfontein Wines,Sand Baai,Vino,,Hemel en Aarde Rd,,,+27283161875,kelder@hpf1855.co.za,http://www.hpf1855.co.za,https://www.facebook.com/253739318623179,,,-34.4109505,19.1976667,,parcial,no comprobado,,,402
hunterblei-poultry-farm,Hunterblei Poultry Farm,Hermanus,Carne,,22 Arum Rd,,,+27614042085,,http://www.huntersbleipoultryfarm.co.za/,https://www.facebook.com/100350285089614,,,-34.4200605,19.2247049,,parcial,no comprobado,,,417
jean-daneel-wines,Jean Daneel Wines,Napier,Vino,,1 Bodorp St,,,+27825777041,renee@jdwines.co.za,http://www.jdwines.co.za/,https://www.facebook.com/156100514424847,,,-34.4783979,19.9039366,,parcial,no comprobado,,,438
lismore-estate-vineyards-south-africa,"Lismore Estate Vineyards, South Africa",Greyton,Vino,,"Lismore, R406",,,+27823437913,wine@lismore.co.za,http://www.lismore.co.za/,https://www.facebook.com/103500126352453,,,-34.0515698,19.6074789,,parcial,no comprobado,,,521
lomond-wine-estate,Lomond Wine Estate,Overstrand,Vino,,Lomond Wine Estate,,,+27829080099,office@lomond.co.za,http://www.lomond.co.za/,https://www.facebook.com/258862380821724,,,-34.566058,19.4832273,,parcial,no comprobado,,,524
newton-johnson-family-vineyards,Newton Johnson Family Vineyards,Overstrand,Vino,,R320 Hemel-en-Aarde Valley,,,+27283123862,wine@newtonjohnson.com,http://www.newtonjohnson.com/,https://www.facebook.com/276551429080078,,,-34.3697801,19.2585953,,parcial,no comprobado,,,648
paul-wallace-wines,Paul Wallace Wines,Theewaterskloof Ward 10,Vino,,63 Highlands Rd,,,+27218489744,nicky@paulwallacewines.co.za,https://paulwallacefamilywines.co.za/,https://www.facebook.com/489547647823982,,,-34.2163165,19.0589493,,parcial,no comprobado,,,699
rivendell-wines,Rivendell Wines,Kleinmond,Vino,,43 R44,,,+27282849025,office@rivendell-estate.co.za,http://www.rivendell-estate.co.za/,https://www.facebook.com/114269865355125,,,-34.3030912,19.1433551,,parcial,no comprobado,,,750
seven-springs-vineyard,Seven Springs Vineyard,Caledon,Vino,,R320,,,+27824877572,info@7springs.co.za,http://7springs.co.za,,,,-34.326242,19.362382,,parcial,no comprobado,,,799
shannon-vineyards-wine,Shannon Vineyards & Wine,Elgin,Vino,,Rockview Dam Road,,,+27218592491,info@shannonwines.com,http://www.shannonwines.com/,https://www.facebook.com/200091823656,,,-34.187638,18.9905563,,parcial,no comprobado,,,803
sijnn-wines,Sijnn Wines,Swellendam,Vino,,,,,+27218801398,info@sijnn.co.za,http://www.sijnn.co.za/,https://www.facebook.com/115398635213751,,,-34.3167822,20.6117327,,parcial,no comprobado,,,815
stanford-hills-estate,Stanford Hills Estate,Stanford,Vino,,Off R43,,,+27662503388,info@stanfordhills.co.za,http://www.stanfordhills.co.za/,https://www.facebook.com/364514570242367,,,-34.4225085,19.4743559,,parcial,no comprobado,,,849
villiersdorp-winery,Villiersdorp Winery,Villiersdorp,Vino,,84 Main St,,,+27288400083,sales@villiersdorpwinery.co.za,http://www.villiersdorpwinery.co.za/,https://www.facebook.com/105531467736827,,,-33.9857,19.29551,,parcial,no comprobado,,,971
whalehaven-winery,Whalehaven Winery,Sand Baai,Vino,,"Valley Road, R43, Hemel en Aarde Rd",,,+27280501301,experience@whalehaven.co.za,http://www.whalehaven.co.za/,https://www.facebook.com/1445863922297817,,,-34.4105677,19.2004511,,parcial,no comprobado,,,991
