slug,nombre,municipio,categoria,productos estrella,direccion,descripcion,horario,telefono,correo,web,Facebook,Instagram,Google Maps,lat,lon,imagen,verificacion,Venta online,Canal de venta,categorias adicionales,producer_id,descripcion_locale,visitas guiadas,mensaje a la comunidad,mensaje_comunidad_locale,enlace destacado 1,enlace destacado 2,country,region,area
bizkaia-esnea-karrantza,Bizkaia Esnea,Karrantza,Lácteos y quesos,"Leche, queso fresco, mantequilla y cuajada","Barrio Bollano s/n, 48891 Karrantza, Bizkaia","Cooperativa láctea de Karrantza que transforma leche de ganaderías vizcaínas en leche UHT, quesos, mantequilla y cuajadas.",Consultar web o venta directa,+34946107051,info@bizkaiaesnea.com,http://www.bizkaiaesnea.com/,https://www.facebook.com/bizkaia.esnea,https://www.instagram.com/bizkaiaesnea/,https://www.google.com/maps/search/?api=1&query=Bizkaia%20Esnea&query_place_id=ChIJF5Pa8OvmTg0RL3JfffLyaWM,43.227544,-3.363664,/productores/es/pais-vasco/vizcaya/bizkaia-esnea-karrantza.webp,,sí,marketplace,,1247,es,,,,,,es,pais-vasco,vizcaya
lacteas-karrantza,Lácteas Karrantza,Karrantza,Lácteos y quesos,"Quesos, leche y derivados lácteos","Barrio Ambasaguas 25, 48890 Karrantza, Bizkaia",Quesería y elaborador lácteo situado en el valle de Karrantza especializado en productos derivados de leche de la zona.,Consultar web o venta directa,+34946523834,info@lacteosdekarrantza.com,https://www.grupotgt.com/es/,,,https://www.google.com/maps/search/?api=1&query=Lacteas%20Karrantza&query_place_id=ChIJ94sDwILnTg0Rz30MpA6yw7U,43.2362214,-3.3549195,,,no,,,7947,es,,,,,,es,pais-vasco,vizcaya
quesos-amalur-karrantza,Quesos Amalur,Karrantza,Lácteos y quesos,Queso de oveja carranzana,"Bº Bollain 10, 48891 Karrantza, Bizkaia",Quesería artesana de Karrantza que elabora queso maduro con leche de oveja carranzana de su propio entorno ganadero.,Consultar web o venta directa,+34647064215,quesoamalur@gmail.com,,https://www.facebook.com/quesos.amalur/,,https://www.google.com/maps/search/?api=1&query=Quesos%20Amalur&query_place_id=ChIJD5T25V3mTg0RuxMTJtmYf_8,43.24701,-3.360055,,,no,,,10731,es,,,,,,es,pais-vasco,vizcaya
vista-alegre-baserria-karrantza,Vista Alegre Baserria,Karrantza,Lácteos y quesos,Leche ecológica y proyecto lácteo histórico,"Lugar 31, 48890 Matienzo, Bizkaia",Baserria ecológico de Matienzo cuya quesería histórica fue traspasada; se conserva como revisión pendiente hasta aclarar la marca elaboradora actual.,Consultar fuentes locales,+34654145154,,,,,https://www.google.com/maps/search/?api=1&query=Vista%20Alegre%20Baserria&query_place_id=ChIJRUW5oAfnTg0RB8ISOUDaRLc,43.2393411,-3.3868767,,pendiente,no,,,12307,es,,,,,,es,pais-vasco,vizcaya
santana-esnekiak-kortezubi,Santana Esnekiak,Kortezubi,Lácteos y quesos,Queso artesanal,"Barrio Terlegiz Caserío Santana 6, 48315 Kortezubi, Bizkaia",Proyecto familiar de Kortezubi dedicado a la elaboración artesanal de quesos y productos lácteos de proximidad.,Consultar web o venta directa,+34685796174,info@santanaesnekiak.es,https://santanaesnekiak.es/,,https://www.instagram.com/santanaesnekiak/,https://www.google.com/maps/search/?api=1&query=Santana%20Esnekiak&query_place_id=ChIJNTB5l0Y7Tg0RH2BYY7nmRRc,43.3401628,-2.6527446,/productores/es/pais-vasco/vizcaya/santana-esnekiak-kortezubi.webp,,no,,,11400,es,,,,,,es,pais-vasco,vizcaya
baskaran-barinako-esnekixek-markina-xemein,Baskaran Bariñako Esnekixek,Markina-Xemein,Lácteos y quesos,"Queso Idiazabal, Gaxure y lácteos de oveja","Santamañe baserria, Barinaga Auzoa, 48270 Markina-Xemein, Bizkaia",Quesería familiar de Barinaga que elabora quesos de oveja latxa y lácteos ligados a la tradición de Lea-Artibai.,Consultar web o venta directa,+34665741507,baskaran@baskaran.eus,,,,https://www.google.com/maps/search/?api=1&query=Baskaran%20Barinako%20Esnekixek&query_place_id=ChIJeWt8iPwpTg0Rd3RPgqMHTMM,43.2318447,-2.4889733,,pendiente,no,,,1115,es,,,,,,es,pais-vasco,vizcaya
larruz-markina-xemein,Larruz,Markina-Xemein,Lácteos y quesos,Queso de cabra,"Larruz Baserria 24, Meabe Auzoa, 48270 Markina-Xemein, Bizkaia",Baserria productor de queso de cabra en el entorno rural de Markina-Xemein con venta local en la comarca.,Consultar web o venta directa,+34625022559,,,https://www.facebook.com/larruzgazta/,,https://www.google.com/maps/search/?api=1&query=Larruz&query_place_id=ChIJrW0GIvUpTg0RYCErwC7DOl8,43.2785035,-2.5217503,,,no,,,8026,es,,,,,,es,pais-vasco,vizcaya
barroeta-gazta-markina-xemein,Barroeta Gazta,Markina-Xemein,Lácteos y quesos,Queso Idiazabal,"Barroeta barri, Arretxinaga Hiribidea 30, 48270 Markina-Xemein, Bizkaia",Productor de queso de oveja en Markina-Xemein asociado a la oferta local de esnekiak de Lea-Artibai.,Consultar web o venta directa,+34697785925,,,,,https://www.google.com/maps/search/?api=1&query=Barroeta%20Gazta&query_place_id=ChIJbSYVUS8pTg0RS_iNti3-Qbw,43.2734049,-2.4941436,,pendiente,no,,,1108,es,,,,,,es,pais-vasco,vizcaya
quesos-malatsa-orozko,Quesos Malatsa,Orozko,Lácteos y quesos,Queso Idiazabal Malatsa,"Barrio Mendiola s/n, 48410 Orozko, Bizkaia",Quesería de Orozko especializada en queso Idiazabal de elaboración local bajo la marca Malatsa.,Consultar web o venta directa,+34946339709,quesomalatsa@wanadoo.es,,,,https://www.google.com/maps/search/?api=1&query=Quesos%20Malatsa&query_place_id=ChIJza9L7PGyTw0R5CGFk-vv2Jc,43.1077115,-2.911791,,pendiente,no,,,10909,es,,,,,,es,pais-vasco,vizcaya
mantequerias-santi-zamudio,Mantequerías Santi,Zamudio,Lácteos y quesos,"Mantequilla, nata, queso y lácteos","Polígono Industrial Ugaldeguren III Pabellón 32-4, 48170 Zamudio, Bizkaia",Elaborador lácteo vizcaíno con obrador en Zamudio especializado en mantequilla nata y productos lácteos para hostelería y comercio.,Consultar web o venta directa,+34944161200,santi@santi.es,https://www.santi.es/,,,https://www.google.com/maps/search/?api=1&query=Mantequerias%20Santi&query_place_id=ChIJgVtkcAuzTw0RaGG4fEiHLB0,43.2843303,-2.8703416,/productores/es/pais-vasco/vizcaya/mantequerias-santi-zamudio.webp,,sí,ecommerce,,8337,es,,,,,,es,pais-vasco,vizcaya
doniene-gorrondona-bakio,Doniene Gorrondona,Bakio,Vino,Txakolí de Bizkaia,"San Pelaio 1, 48130 Bakio, Bizkaia",Bodega familiar de Bakio adscrita a Bizkaiko Txakolina con viñedo propio y elaboración de txakolí de la costa vizcaína.,Consultar tienda online o bodega,+34946194795,bixitak@donienegorrondona.com,https://donienegorrondona.com/,,https://www.instagram.com/donienego/,https://www.google.com/maps/search/?api=1&query=Doniene%20Gorrondona&query_place_id=ChIJwe7Fm0VATg0Rh33l9cdaUa4,43.4240295,-2.807648,/productores/es/pais-vasco/vizcaya/doniene-gorrondona-bakio.webp,,sí,ecommerce,,4940,es,,,,,,es,pais-vasco,vizcaya
bodegas-itsasmendi-gernika-lumo,Bodegas Itsasmendi,Gernika-Lumo,Vino,Txakolí de Bizkaia,"Barrio Arane 66, 48300 Gernika-Lumo, Bizkaia",Bodega de Urdaibai referente en Bizkaiko Txakolina con vinos de parcela y trabajo ligado al paisaje costero de Bizkaia.,Consultar web o bodega,+34946270316,info@bodegasitsasmendi.com,https://bodegasitsasmendi.com/,,https://www.instagram.com/bodegasitsasmendi/,https://www.google.com/maps/search/?api=1&query=Bodegas%20Itsasmendi&query_place_id=ChIJi0UgyacwTg0RUtK_2F2FixI,43.296897,-2.6919404,/productores/es/pais-vasco/vizcaya/bodegas-itsasmendi-gernika-lumo.webp,,sí,ecommerce,,2082,es,,,,,,es,pais-vasco,vizcaya
gorka-izagirre-larrabetzu,Bodega Gorka Izagirre,Larrabetzu,Vino,Txakolí de Bizkaia,"Legina Auzoa s/n, 48195 Larrabetzu, Bizkaia",Bodega situada en Larrabetzu que elabora txakolí con variedades autóctonas y viñedos propios del entorno vizcaíno.,Consultar tienda online o bodega,+34946742706,,https://www.gorkaizagirre.com/,https://www.facebook.com/BodegaGorkaIzagirre,https://www.instagram.com/gorkaizagirre/,https://www.google.com/maps/search/?api=1&query=Bodega%20Gorka%20Izagirre&query_place_id=ChIJ7eavJVRITg0RSQmuxtEOFd0,43.2606907,-2.8143012,/productores/es/pais-vasco/vizcaya/gorka-izagirre-larrabetzu.webp,,sí,ecommerce,,1457,es,,,,,,es,pais-vasco,vizcaya
bodega-berroja-muxika,Bodega Berroja,Muxika,Vino,Txakolí de Bizkaia,"Carretera Zugastieta a Balcón de Bizkaia, Barrio Berroja, 48392 Muxika, Bizkaia",Bodega de Muxika integrada en la reserva de Urdaibai que produce txakolí de viñedo propio en laderas de Berroja.,Consultar tienda online o bodega,+34944106254,txakoli@bodegaberroja.com,https://bodegaberroja.com/,https://www.facebook.com/bodegaberroja,https://www.instagram.com/bodegaberroja/,https://www.google.com/maps/search/?api=1&query=Bodega%20Berroja&query_place_id=ChIJo5VI7a8wTg0RqzcHx2NfNfg,43.2625023,-2.6584378,/productores/es/pais-vasco/vizcaya/bodega-berroja-muxika.webp,,sí,ecommerce,,1307,es,,,,,,es,pais-vasco,vizcaya
magalarte-lezama-txakolina-lezama,Magalarte Lezama Txakolina,Lezama,Vino,Txakolí de Bizkaia,"Garaioltza Auzoa 92 B, 48196 Lezama, Bizkaia",Bodega de Lezama centrada en txakolí de Bizkaia con trabajo familiar y viñedo en el Txorierri.,Consultar tienda online o bodega,+34944556508,,https://magalartelezamatxakolina.com/,,,https://www.google.com/maps/search/?api=1&query=Magalarte%20Lezama%20Txakolina&query_place_id=ChIJo865BpNITg0RTmUNNMwuD-M,43.2775424,-2.8308074,/productores/es/pais-vasco/vizcaya/magalarte-lezama-txakolina-lezama.webp,,sí,ecommerce,,8282,es,,,,,,es,pais-vasco,vizcaya
magalarte-zamudio-txakolina-zamudio,Magalarte Zamudio,Zamudio,Vino,Txakolí de Bizkaia,"Barrio Arteaga 107, 48170 Zamudio, Bizkaia",Bodega de Zamudio dedicada a Bizkaiko Txakolina con viñedos propios en el valle del Txorierri.,Consultar tienda online o bodega,+34686206863,,https://bodegamagalartezamudio.com/,https://www.facebook.com/magalartezamudio/,https://www.instagram.com/magalartezamudio/,https://www.google.com/maps/search/?api=1&query=Magalarte%20Zamudio&query_place_id=ChIJ0WmfCFdPTg0R8ShGD9qrnhY,43.2898805,-2.866127,/productores/es/pais-vasco/vizcaya/magalarte-zamudio-txakolina-zamudio.webp,,sí,ecommerce,,8283,es,,,,,,es,pais-vasco,vizcaya
txa-txabarri-zalla,Txa Txabarri,Zalla,Vino,Txakolí de Bizkaia,"Muñeran Auzoa 17, 48860 Aranguren, Bizkaia",Bodega de Enkarterri que produce txakolí en Zalla dentro de la denominación Bizkaiko Txakolina.,Consultar bodega,+34658728865,txakoli@txatxabarri.com,https://www.txatxabarri.com/,,,https://www.google.com/maps/search/?api=1&query=Txa%20Txabarri&query_place_id=ChIJd8wv7235Tg0RpQjXWYT9tnk,43.2128149,-3.1143999,,,no,,,11985,es,,,,,,es,pais-vasco,vizcaya
virgen-de-lorea-zalla,Otxaran - Bodegas Virgen de Lorea,Zalla,Vino,Txakolí de Bizkaia,"Barrio La Flor 3, 48860 Zalla, Bizkaia",Bodega de Zalla con larga trayectoria elaborando txakolí de Bizkaia en la comarca de Las Encartaciones.,Consultar bodega,+34946671871,info@bodegasvirgendelorea.com,https://otxaran.com/,,,https://www.google.com/maps/search/?api=1&query=Bodegas%20Virgen%20de%20Lorea&query_place_id=ChIJ23FwaDj5Tg0RRdXAT4dJp3Y,43.2197425,-3.1561292,/productores/es/pais-vasco/vizcaya/virgen-de-lorea-zalla.webp,,no,,,9352,es,,,,,,es,pais-vasco,vizcaya
