slug,nombre,municipio,categoria,productos estrella,direccion,descripcion,horario,telefono,correo,web,Facebook,Instagram,Google Maps,lat,lon,imagen,verificacion,Venta online,Canal de venta,categorias adicionales,producer_id,descripcion_locale,visitas guiadas,mensaje a la comunidad,mensaje_comunidad_locale,enlace destacado 1,enlace destacado 2,country,region,area
blessed-from-the-garden,Blessed From The Garden,Carlsbad,Fruta y verdura,"Cucumbers, pecans, peppers, squash, tomatoes, kale, parsley","3505 Cass Dr, Carlsbad, NM 88220","Blessed From the Garden grows cucumbers, peppers, squash, tomatoes, kale, parsley, and pecans in Carlsbad.",,+15756281724,,,,,,,,,pendiente,no comprobado,,,456,en,,,,,,us,mountain,new-mexico
costanza-apple-orchard,Costanza Apple Orchard,Belen,Fruta y verdura,Apples,"5 Padilla Rd, Belen, NM 87002",Costanza Apple Orchard is a family orchard in Belen growing Arkansas Black Twig and other apples for farm sales.,,+15058641621,,http://www.costanzaorchard.com,,,,,,,pendiente,no comprobado,,,910,en,,,,,,us,mountain,new-mexico
animascreek-honey-and-herb-farm-market,AnimasCreek Honey and Herb Farm Market,Hillsboro,Miel,,"Main Street, Hillsboro, NM 88042",,,,,,,,,,,,pendiente,no comprobado,,,150,,,,,,,us,mountain,new-mexico
burke-farm-big-apple-orchard,Burke Farm Big Apple Orchard,Las Cruces,Fruta y verdura,,"2330 Shalem Colony Trail, Las Cruces, NM 88007",,,,,,,,,,,,pendiente,no comprobado,,,643,,,,,,,us,mountain,new-mexico
cider-mill-farms,Cider Mill Farms,High Rolls Mountain Park,Sidra,,"Haynes Canyon, High Rolls Mountain Park, NM",,,,,,,,,,,,pendiente,no comprobado,,,822,,,,,,,us,mountain,new-mexico
draney-apple-orchard,Draney Apple Orchard,High Rollsmountain Park,Fruta y verdura,,"92 Haynes Canyon Road, High Rollsmountain Park, NM 88325",,,,,,,,,,,,pendiente,no comprobado,,,1101,,,,,,,us,mountain,new-mexico
dunhill-ranch-all-natural-grass-fed-lamb,Dunhill Ranch All-Natural Grass-Fed Lamb,Magdalena,Carne,,"Mile 1, Forest Rd 234, Magdalena, New Mexico 87825",,,,,,,,,,,,pendiente,no comprobado,,,1123,,,,,,,us,mountain,new-mexico
pat-montoya-s-family-orchard,Pat Montoya's Family Orchard,Velarde,Fruta y verdura,"Apples, peaches, pears, cherries and berries",,"Pat Montoya’s Family Orchard is a Velarde family orchard growing apples, peaches, pears, cherries, and berries.",,,,https://www.montoyaorchard.com/,,,,,,,pendiente,no comprobado,,,2543,en,,,,,,us,mountain,new-mexico
santa-fe-spirits,Santa Fe Spirits,Santa Fe,Destilados y licores,"Vodka, gin, whiskey and liqueurs",,"Santa Fe Spirits produces small-batch vodka, gin, whiskey, and liqueurs in Santa Fe and sells them through its online store.",,,,https://santafespirits.com/,https://www.facebook.com/santafespirits/,https://www.instagram.com/santafespirits/,,,,/productores/us/mountain/new-mexico/santa-fe-spirits.webp,pendiente,sí,ecommerce,,2908,en,,,,,,us,mountain,new-mexico
big-jim-farms,Big Jim Farms,Los Ranchos de Albuquerque,Miel,Honey,,Big Jim Farms operates an Albuquerque apiary producing local honey.,,+15054590719,bigjimfarms@gmail.com,https://bigjimfarms.com/,https://www.facebook.com/Bigjimfarms/,https://www.instagram.com/bigjimfarms/,,,,/productores/us/mountain/new-mexico/big-jim-farms.webp,pendiente,no comprobado,,,405,en,,,,,,us,mountain,new-mexico
taos-honey-co,Taos Honey Co.,Questa,Miel,Honey,,Taos Honey Co. produces honey in Questa for customers across the Taos area.,,+15757702298,email@example.com,https://taoshoney.com/,,https://www.instagram.com/taoshoney/,,,,,pendiente,no comprobado,,,3269,en,,,,,,us,mountain,new-mexico
mountain-farms,Mountain Farms,High Rolls Mountain Park,Fruta y verdura,"Apples, cherries","961 US Highway 82, High Rolls Mountain Park, NM 88325",Mountain Farms operates a roadside farm stand in High Rolls Mountain Park selling seasonal apples and cherries.,,,,,,,,,,,pendiente,no comprobado,,,2300,en,,,,,,us,mountain,new-mexico
cadwallader-mountain-farms,Cadwallader Mountain Farms,High Rolls-mountain Park,Fruta y verdura,,"13 Mountain Park Rd, High Rolls-mountain Park, NM 88325",,,,,,,,,,,,pendiente,no comprobado,,,664,,,,,,,us,mountain,new-mexico
gruet-winery,Gruet Winery,Albuquerque,Vino,,,Gruet Winery specializes in New Mexico sparkling wine at its Albuquerque winery.,,,,https://www.gruetwinery.com/,https://www.facebook.com/GruetWinery/,https://www.instagram.com/gruetwinery/,,,,/productores/us/mountain/new-mexico/gruet-winery.webp,pendiente,no comprobado,,,1510,en,,,,,,us,mountain,new-mexico
casa-rondena-winery,Casa Rondeña Winery,Los Ranchos de Albuquerque,Vino,,,Casa Rondeña Winery produces wines in an Albuquerque-area winery shaped by Spanish-inspired traditions.,,,,https://casarondena.com/,,,,,,,pendiente,no comprobado,,,717,en,,,,,,us,mountain,new-mexico
vivac-winery,Vivác Winery,Dixon,Vino,,,Vivác Winery produces high-desert wines at its Dixon winery.,,+15055794441,info@vivacwinery.com,https://vivacwinery.com/,https://www.facebook.com/VivacWinery/,https://www.instagram.com/vivacwinery/,,,,/productores/us/mountain/new-mexico/vivac-winery.webp,pendiente,no comprobado,,,3525,en,,,,,,us,mountain,new-mexico
sheehan-winery,Sheehan Winery,Albuquerque,Vino,,,Sheehan Winery produces New Mexico wines at its Albuquerque winery.,", , , , , Sa 12:00-19:00, Su 12:00-19:00",+15052803104,sean@sheehanwinery.com,https://sheehanwinery.com/,https://www.facebook.com/sheehanwinery/,https://www.instagram.com/sheehan_winery/,,,,,pendiente,no comprobado,,,2970,en,,,,,,us,mountain,new-mexico
d-h-lescombes-winery,D.H. Lescombes Winery,Deming,Vino,,,D.H. Lescombes Winery produces New Mexico wines at its Deming winery.,,+15755461179,tastingroom@lescombeswinery.com,https://lescombeswinery.com/,https://www.facebook.com/DHLescombesBistroABQ/,,,,,/productores/us/mountain/new-mexico/d-h-lescombes-winery.webp,pendiente,no comprobado,,,988,en,,,,,,us,mountain,new-mexico
la-chiripada-winery,La Chiripada Winery,Dixon,Vino,,,La Chiripada Winery produces wines from its Dixon operation and offers them through its own store.,,+15055794437,,https://lachiripada.com/,https://www.facebook.com/LCWdixon/,,,,,,pendiente,sí,ecommerce,,1953,en,,,,,,us,mountain,new-mexico
jaramillo-vineyards,Jaramillo Vineyards,Belen,Vino,,,Jaramillo Vineyards produces wine at its vineyard in Belen.,,,airboss@jaramillovineyards.com,https://www.jaramillovineyards.com/,https://www.facebook.com/jaramillovineyards/,https://www.instagram.com/jaramillo_vineyards/,,,,,pendiente,no comprobado,,,1818,en,,,,,,us,mountain,new-mexico
milagro-vineyards,Milagro Vineyards,Corrales,Vino,,,Milagro Vineyards produces New Mexico wine at its Corrales vineyard and winery.,,,,https://www.milagrowinery.com/,https://www.facebook.com/MilagroWinery/,https://www.instagram.com/milagrowinery/,,,,/productores/us/mountain/new-mexico/milagro-vineyards.webp,pendiente,no comprobado,,,2231,en,,,,,,us,mountain,new-mexico
black-mesa-winery,Black Mesa Winery,Velarde,Vino,,"1502 Highway 68, Velarde, NM, 87582",Black Mesa Winery produces New Mexico wines at its Velarde winery.,,+15058522820,blackmesawinery@gmail.com,https://www.blackmesawinery.com/,https://www.facebook.com/blackmesawinery/,https://www.instagram.com/blackmesawinery/,,,,,pendiente,no comprobado,,,439,en,,,,,,us,mountain,new-mexico
luna-rossa-winery,Luna Rossa Winery,Deming,Vino,,,Luna Rossa Winery makes wine at its Deming winery and vineyard.,,+15755441160,,https://www.lunarossawinery.com/,,,,,,,pendiente,no comprobado,,,2098,en,,,,,,us,mountain,new-mexico
noisy-water-winery,Noisy Water Winery,Ruidoso,Vino,,,Noisy Water Winery produces New Mexico wine at its Ruidoso winery.,,,,https://noisywaterwinery.com/,,,,,,,pendiente,no comprobado,,,2401,en,,,,,,us,mountain,new-mexico
la-vina-winery,La Viña Winery,La Union,Vino,,,La Viña Winery produces wine at its La Union vineyard and winery.,,+15758827632,stark@lavinawines.com,https://www.lavinawinery.com/,,,,,,/productores/us/mountain/new-mexico/la-vina-winery.webp,pendiente,no comprobado,,,1958,en,,,,,,us,mountain,new-mexico
ponderosa-valley-vineyards,Ponderosa Valley Vineyards,Ponderosa,Vino,,,Ponderosa Valley Vineyards produces New Mexico wine at its Ponderosa vineyard and winery.,,,,https://ponderosavineyards.com/,,,,,,,pendiente,no comprobado,,,2631,en,,,,,,us,mountain,new-mexico
pasando-tiempo-winery,Pasando Tiempo Winery,Corrales,Vino,,"277 Dandelion Rd, Corrales, NM",Pasando Tiempo Winery produces wine at its Corrales winery.,,+15052280154,,https://pasandotiempowinery.com/,https://www.facebook.com/PasandoTiempo/,https://www.instagram.com/pasandotiemponm/,,,,,pendiente,no comprobado,,,2536,en,,,,,,us,mountain,new-mexico
