slug,nombre,municipio,categoria,productos estrella,direccion,descripcion,horario,telefono,correo,web,Facebook,Instagram,Google Maps,lat,lon,imagen,verificacion,Venta online,Canal de venta,categorias adicionales,producer_id,descripcion_locale,visitas guiadas,mensaje a la comunidad,mensaje_comunidad_locale,enlace destacado 1,enlace destacado 2,country,region,area
birrificio-epica,BIRRIFICIO EPICA,Sinagra,Cerveza,birra artigianale,"Italy Area Artiginale, 1, 98069 Sinagra ME",,,+393332278492,info@birraepica.it,https://www.birraepica.it,,,https://www.google.com/maps/search/?api=1&query=38.083271%2C14.8465919&query_place_id=ChIJExN7cNWZFhMR9psfKkId0hc,38.083271,14.8465919,,,sí,ecommerce,,624,,,,,,,it,sicilia,messina
latte-calvo,Latte Calvo,Barcellona Pozzo di Gotto,Lácteos y quesos,"latte fresco, panna, mozzarella","Via Pietro Micca 70, Barcellona Pozzo di Gotto","Storica cooperativa lattiero-casearia che produce latte fresco, panna e mozzarella per la provincia di Messina.",,+390909702788,info@lattecalvo.it,https://www.lattecalvo.it/,,,https://www.google.com/maps/search/?api=1&query=Latte%20Calvo%2C%20Via%20Pietro%20Micca%2070%2C%20Barcellona%20Pozzo%20di%20Gotto&query_place_id=ChIJdR_5CWklFBMRdFRzJj7h3NI,38.1459744,15.1937223,,,no comprobado,,,2295,it,,,,,,it,sicilia,messina
azienda-agricola-cappello-giuseppe,Azienda Agricola Cappello Giuseppe,Basicò,Lácteos y quesos,Provola di Basicò,"Via Rotella 8, Basicò",Azienda agricola bovina di Basicò che produce la tradizionale Provola di Basicò a latte crudo con caglio di capretto.,,+393683822147,,,,,https://www.google.com/maps/search/?api=1&query=Azienda%20Agricola%20Cappello%20Giuseppe%2C%20Via%20Rotella%208%2C%20Basic%C3%B2&query_place_id=ChIJGeYijvogFBMR_jkuSxVr7HI,38.0622944,15.06969,,pendiente,no comprobado,,,304,it,,,,,,it,sicilia,messina
fratelli-gangemi-basico,F.lli Gangemi,Basicò,Lácteos y quesos,formaggi e derivati del latte,"Via Vittorio Emanuele III 102, Basicò",Piccolo stabilimento lattiero-caseario attivo di Basicò che produce derivati del latte con l'identità F.lli Gangemi.,,+39094185033,,,,,,38.0594452,15.0596763,,pendiente,no comprobado,,,1714,it,,,,,,it,sicilia,messina
emarigel,EMA.RI.GEL.,Capo d’Orlando,Helados,gelati e sorbetti,"Via Tripoli II Tronco 9, Capo d’Orlando",Produttore di Capo d'Orlando con più di quarantacinque anni di esperienza nella produzione di gelato artigianale e dessert surgelati.,,,,https://www.emarigel.it/,,,https://www.google.com/maps/search/?api=1&query=EMA.RI.GEL.%2C%20Via%20Tripoli%20II%20Tronco%209%2C%20Capo%20d%E2%80%99Orlando&query_place_id=ChIJs8jmEuiTFhMRN2fBivr3CDU,38.1555055,14.739091,,,no comprobado,,,1701,it,,,,,,it,sicilia,messina
marlat-floresta,Marlat,Floresta,Lácteos y quesos,Provola dei Nebrodi DOP e derivati del latte,"Contrada Ciurrazzo, Floresta",Caseificio di Floresta riconosciuto come operatore di Provola dei Nebrodi DOP e produttore attivo di derivati del latte.,,+390941913018,,,,,,37.98333,14.91667,,pendiente,no comprobado,,,2565,it,,,,,,it,sicilia,messina
caseificio-fratelli-calderone,Caseificio Fratelli Calderone,Furnari,Lácteos y quesos,"provola, ricotta, Maiorchino, primo sale","SS 113, Contrada Bazia, Furnari","Caseificio familiare con una tradizione che risale al 1930, che produce formaggi siciliani freschi e stagionati da latte vaccino, caprino e ovino.",,+390941840236,,https://caseificiocalderone.it/,,,,38.10462,15.12522,,pendiente,no comprobado,,,1128,it,,,,,,it,sicilia,messina
mastroieni-messina,Caseificio Mastroieni,Messina,Lácteos y quesos,"mozzarella, burrata, fiordilatte, ricotta","Via Lago Grande 43, Ganzirri, Messina","Caseificio di Messina che prepara ogni giorno mozzarella fresca, burrata, ricotta e specialità casearie siciliane.",Lun-Sáb 08:30-20:30; Dom 09:30-13:00,+3909039361603,nazzarenomastroieni@gmail.com,https://mastroienicaseificio.it/,,,https://www.google.com/maps/search/?api=1&query=Caseificio%20Mastroieni%2C%20Via%20Lago%20Grande%2043%2C%20Ganzirri%2C%20Messina&query_place_id=ChIJ_3QeFbpSFBMR_gp2NVtvI8Q,38.2614055,15.6208325,,,no comprobado,,,1245,it,,,,,,it,sicilia,messina
nebrolat,Nebrolat,Santa Domenica Vittoria,Lácteos y quesos,"provole, canestrati, ricotte, primo sale","Via Sant’Antonio, Santa Domenica Vittoria","Caseificio siciliano che produce un'ampia gamma di formaggi locali vaccini, ovini e caprini nello stabilimento dei Nebrodi.",,+39095925524,info@nebrolat.eu,https://nebrolat.it/,,,,37.91674,14.96258,,pendiente,no comprobado,,,2665,it,,,,,,it,sicilia,messina
azienda-fioriglio,Azienda Agricola Zootecnica A. Fioriglio,Mistretta,Lácteos y quesos,"Provola dei Nebrodi DOP, Maiorchino, ricotta infornata","Contrada Bafì 1, Mistretta",Caseificio aziendale di quinta generazione che trasforma il proprio latte crudo in Provola dei Nebrodi DOP e formaggi siciliani tradizionali.,,+393275506488,fioriglio@libero.it,https://provolafioriglio.it/,,,,37.92985,14.36287,,pendiente,no comprobado,,,490,it,,,,,,it,sicilia,messina
caseificio-la-piana-roccalumera,Caseificio La Piana,Roccalumera,Lácteos y quesos,ricotta infornata,"Via Umberto I 756, Roccalumera","Caseificio attivo di Roccalumera che produce ricotta al forno e altri formaggi stagionati di latte vaccino, caprino e ovino.",,+393487986311,francocaminiti60@gmail.com,,,,,37.9691239,15.3886608,,pendiente,no comprobado,,,1203,it,,,,,,it,sicilia,messina
apicultura-colline-del-fitalia,Apicultura Colline del Fitalia,San Salvatore di Fitalia,Miel,miele di ape nera sicula,"Contrada San Vito, 98070 San Salvatore di Fitalia ME",L'apiario biologico certificato di Giuseppe Scurria produce miele da api nere siciliane e resta un produttore attivo del Presidio Slow Food.,,+393398821673,apiscurria@live.it,,,,,38.07171,14.77761,,pendiente,no comprobado,,,208,it,,,,,,it,sicilia,messina
