slug,nombre,municipio,categoria,productos estrella,direccion,descripcion,horario,telefono,correo,web,Facebook,Instagram,Google Maps,lat,lon,imagen,verificacion,Venta online
aceite-los-llanos-de-gredos-arenas-de-san-pedro,Aceite Los Llanos de Gredos,Arenas de San Pedro,Aceite,Aceite de oliva,"Carretera, CL-501, km 66, 05400 Arenas de San Pedro, Ávila, España","Productor local de aceite en Arenas de San Pedro, incorporado al catálogo provincial de Ávila y revisado con Google Maps.",lunes: 9:00–15:00 | martes: 9:00–15:00 | miércoles: 9:00–15:00 | jueves: 9:00–15:00 | viernes: 9:00–15:00 | sábado: 9:00–13:00 | domingo: Cerrado,675 39 79 53,,https://www.losllanosdegredos.com/,,https://www.instagram.com/aceitelosllanosdegredos/,https://www.google.com/maps/search/?api=1&query=Aceite%20Los%20Llanos%20de%20Gredos&query_place_id=ChIJxawsiD31Pw0Rf0PAYbVp-co,40.1776411,-5.088120099999999,,pendiente,no comprobado
cooperativa-de-cosecheros-de-aceitunas-el-puente-arenas-de-san-pedro,"Cooperativa de cosecheros de Aceitunas ""El Puente""",Arenas de San Pedro,Aceite,Productos artesanales,"de N°1, P.º Sta. Lucía, 05400 Arenas de San Pedro, Ávila, España","Productor local de despensa artesanal en Arenas de San Pedro, incorporado al catálogo provincial de Ávila y revisado con Tierra de Sabor.","lunes: 9:00–13:00, 16:00–18:00 | martes: 9:00–13:00, 16:00–18:00 | miércoles: 9:00–13:00, 16:00–18:00 | jueves: 9:00–13:00, 16:00–18:00 | viernes: 9:00–13:00, 16:00–18:00 | sábado: Cerrado | domingo: Cerrado",920 37 02 96,coop.puente@hotmail.com,https://aceiteselpuentedegredos.es/,,,https://www.google.com/maps/search/?api=1&query=Cooperativa%20de%20cosecheros%20de%20Aceitunas%20%22El%20Puente%22&query_place_id=ChIJ2zD4EduKPw0RwZZFj-D19qM,40.21064579999999,-5.0933068,,pendiente,no comprobado
almazara-comarcal-cooperativa-del-alberche-cebreros,Almazara Comarcal Cooperativa del Alberche,Cebreros,Aceite,Aceite de oliva,"Carretera de El Tiemblo, 05260 Cebreros, Ávila, España","Productor local de aceite en Cebreros, incorporado al catálogo provincial de Ávila y revisado con Google Maps.",Consultar web o venta directa,918 63 00 81,,,,,https://www.google.com/maps/search/?api=1&query=Almazara%20Comarcal%20Cooperativa%20del%20Alberche&query_place_id=ChIJP5RvxNhTQA0RR7VtRiMpA_0,40.45342369999999,-4.461058899999999,,pendiente,no comprobado
almazara-la-beltraneja-sociedad-cooperativa-del-campo-mombeltran,Almazara ; La Beltraneja. Sociedad Cooperativa del Campo,Mombeltrán,Aceite,Aceite de oliva,"Ctra. de Ávila, 6, 05413 Mombeltrán, Ávila, España","Productor local de aceite en Mombeltrán, incorporado al catálogo provincial de Ávila y revisado con Google Maps.",Consultar web o venta directa,,,,,,https://www.google.com/maps/search/?api=1&query=Almazara%20%3B%20La%20Beltraneja.%20Sociedad%20Cooperativa%20del%20Campo&query_place_id=ChIJrbnnXrR1QA0RK_OWchOOtP0,40.2626748,-5.014528299999999,,pendiente,no comprobado
almazara-la-moraleda-cooperativa-san-pedro-bautista-san-esteban-del-valle,Almazara La Moraleda Cooperativa San Pedro Bautista,San Esteban del Valle,Aceite,Aceite de oliva,"P.º de San Andres, 30, 05412 San Esteban del Valle, Ávila, España","Productor local de aceite en San Esteban del Valle, incorporado al catálogo provincial de Ávila y revisado con Google Maps.",Consultar web o venta directa,,,,,,https://www.google.com/maps/search/?api=1&query=Almazara%20La%20Moraleda%20Cooperativa%20San%20Pedro%20Bautista&query_place_id=ChIJg7vjOAx0QA0RxBPQfgNuXQE,40.2668447,-4.9832887,,pendiente,no comprobado
aceitunas-ovidio-s-l-serranillos,Aceitunas Ovidio S.L.,Serranillos,Aceite,Aceite de oliva,"C. Jose Antonio, 05115 Serranillos, Ávila, España","Productor local de aceite en Serranillos, incorporado al catálogo provincial de Ávila y revisado con Google Maps.","lunes: 9:00–14:00, 15:00–18:30 | martes: 9:00–14:00, 15:00–18:30 | miércoles: 9:00–14:00, 15:00–18:30 | jueves: 9:00–14:00, 15:00–18:30 | viernes: 9:00–14:00, 15:00–18:30 | sábado: Cerrado | domingo: Cerrado",606 96 66 32,,http://aceitunasovidio.com/,,,https://www.google.com/maps/search/?api=1&query=Aceitunas%20Ovidio%20S.L.&query_place_id=ChIJPa2s3jlwQA0RCovv0Hmc9Go,40.340511,-4.9091428,,pendiente,no comprobado
aceitunas-simon-e-hijos-s-l-vicolozano,Aceitunas Simón e Hijos S.L.,Vicolozano,Aceite,Aceite de oliva,"C. Valencia, 29, 05194 Vicolozano, Ávila, España","Productor local de aceite en Vicolozano, incorporado al catálogo provincial de Ávila y revisado con Google Maps.",lunes: 9:00–21:00 | martes: 9:00–21:00 | miércoles: 9:00–21:00 | jueves: 9:00–21:00 | viernes: 9:00–21:00 | sábado: Cerrado | domingo: Cerrado,920 25 91 20,,http://www.aceitunassimon.es/,https://www.facebook.com/pages/Aceitunas-Sim%C3%B3n-e-Hijos/106061299483402,,https://www.google.com/maps/search/?api=1&query=Aceitunas%20Sim%C3%B3n%20e%20Hijos%20S.L.&query_place_id=ChIJg2YUFrjxQA0RQRDfose8eJo,40.67915,-4.6157766,,pendiente,no comprobado
aceitunas-serranillo-avila,Aceitunas serranillo,Ávila,Aceite,Aceite de oliva,"C. Isaac Peral, 05001 Ávila, España","Productor local de aceite en Ávila, incorporado al catálogo provincial de Ávila y revisado con Google Maps.","lunes: 10:00–14:30, 17:30–20:30 | martes: 10:00–14:30, 17:30–20:30 | miércoles: 10:00–14:30, 17:30–20:30 | jueves: 10:00–14:30, 17:30–20:30 | viernes: 10:00–14:30, 17:30–20:30 | sábado: 10:00–14:30 | domingo: Cerrado",636 28 28 49,,,,,https://www.google.com/maps/search/?api=1&query=Aceitunas%20serranillo&query_place_id=ChIJG9huTKjzQA0RrPWAr_MhoHo,40.655734,-4.690899600000001,,pendiente,no comprobado
pimenton-don-pablo-candeleda,PIMENTON DON PABLO,Candeleda,Aromáticas y condimentos,Condimentos,"Cam. de La Lagunilla, 05480 Candeleda, Ávila, España","Productor local de aromáticas y condimentos en Candeleda, incorporado al catálogo provincial de Ávila y revisado con Google Maps.",Consultar web o venta directa,,,,,,https://www.google.com/maps/search/?api=1&query=PIMENTON%20DON%20PABLO&query_place_id=ChIJm6lEaADrPw0RP6ZBCu09Ujw,40.14914,-5.312917,,pendiente,no comprobado
pimenton-el-sequero,Pimentón El Sequero,Candeleda,Aromáticas y condimentos,Condimentos,"Pimentón El Sequero. Finca La, Cam. de La Lagunilla, 05480, Ávila, España","Productor local de aromáticas y condimentos en Ávila, incorporado al catálogo provincial de Ávila y revisado con AvilAgro.",lunes: 9:00–17:00 | martes: 9:00–17:00 | miércoles: 9:00–17:00 | jueves: 9:00–17:00 | viernes: 9:00–17:00 | sábado: Cerrado | domingo: Cerrado,622 10 20 39,pimenton@elsequero.es,http://www.elsequero.es/,http://www.facebook.com/elsequero/,,https://www.google.com/maps/search/?api=1&query=Piment%C3%B3n%20El%20Sequero&query_place_id=ChIJa-xOsHvrPw0RL_yxFwhnNOk,40.1519125,-5.315118399999999,,pendiente,no comprobado
rico-nuevo-viticultores-burgohondo,Rico Nuevo Viticultores,Burgohondo,Bodega,Vino,"C. de las Razuelas, 4, 05113 Burgohondo, Ávila, España","Productor local de bodega en Burgohondo, incorporado al catálogo provincial de Ávila y revisado con DOP Cebreros.",Consultar web o venta directa,657 45 93 60,,http://www.riconuevovinos.es/,,,https://www.google.com/maps/search/?api=1&query=Rico%20Nuevo%20Viticultores&query_place_id=ChIJy1OBt-5nQA0REtZ_o5h4MdU,40.4122979,-4.786380299999999,,pendiente,no comprobado
bodega-teo-legido-castellanos-de-zapardiel,Bodega Teo Legido,Castellanos de Zapardiel,Bodega,Vino,"Plaza de la Iglesia, s/n, 05229 Castellanos de Zapardiel, Ávila, España","Productor local de bodega en Castellanos de Zapardiel, incorporado al catálogo provincial de Ávila y revisado con Google Maps.",lunes: 9:00–14:00 | martes: 9:00–14:00 | miércoles: 9:00–14:00 | jueves: 9:00–14:00 | viernes: 9:00–14:00 | sábado: 9:00–14:00 | domingo: Cerrado,605 61 97 23,,https://teolegido.com/,,,https://www.google.com/maps/search/?api=1&query=Bodega%20Teo%20Legido&query_place_id=ChIJ09OsC2GvQA0RTUIR16MDYNI,41.0845613,-4.9090286,,pendiente,no comprobado
bodega-llano-las-navas-cebreros,"BODEGA ""LLANO LAS NAVAS""",Cebreros,Bodega,Vino,"Crta, AV-502, Km. 22, 5, 05260 Cebreros, Ávila, España","Productor local de bodega en Cebreros, incorporado al catálogo provincial de Ávila y revisado con DOP Cebreros.",Consultar web o venta directa,660 89 31 21,,,,,https://www.google.com/maps/search/?api=1&query=BODEGA%20%22LLANO%20LAS%20NAVAS%22&query_place_id=ChIJbze9SABTQA0ROPgwY_A41zI,40.4440399,-4.442991699999999,,pendiente,no comprobado
indiano-gredos-la-bodega-azul-cebreros,Indiano Gredos - La Bodega Azul,Cebreros,Bodega,Vino,"Cam. Valsordo, 05260 Cebreros, Ávila, España","Productor local de bodega en Cebreros, incorporado al catálogo provincial de Ávila y revisado con DOP Cebreros.",lunes: 7:00–17:00 | martes: 7:00–17:00 | miércoles: 7:00–17:00 | jueves: 7:00–17:00 | viernes: 7:00–17:00 | sábado: 7:00–17:00 | domingo: Cerrado,635 20 40 69,,,,,https://www.google.com/maps/search/?api=1&query=Indiano%20Gredos%20-%20La%20Bodega%20Azul&query_place_id=ChIJZ4eWaUBTQA0RsKJrXP9KIF8,40.4514346,-4.4693454,,pendiente,no comprobado
ruben-diaz-viticultor-vinadores-de-gredos-sl-cebreros,Rubén Díaz Viticultor - Viñadores de Gredos SL,Cebreros,Bodega,Vino,"Carretera de El Tiemblo, 24, 05260 Cebreros, Ávila, España","Productor local de bodega en Cebreros, incorporado al catálogo provincial de Ávila y revisado con DOP Cebreros.",Consultar web o venta directa,654 97 54 56,,http://rubendiazviticultor.com/,,https://www.instagram.com/vavada.inst,https://www.google.com/maps/search/?api=1&query=Rub%C3%A9n%20D%C3%ADaz%20Viticultor%20-%20Vi%C3%B1adores%20de%20Gredos%20SL&query_place_id=ChIJnZFjHJmaPw0RM-Q8H8RN2c8,40.4537281,-4.4606921,,pendiente,no comprobado
soto-manrique-vina-y-olivo-cebreros,Soto manrique viña y olivo,Cebreros,Bodega,Vino,"C. Salida al Hoyo, 18, 05260 Cebreros, Ávila, España","Productor local de bodega en Cebreros, incorporado al catálogo provincial de Ávila y revisado con DOP Cebreros.",Consultar web o venta directa,,,,,,https://www.google.com/maps/search/?api=1&query=Soto%20manrique%20vi%C3%B1a%20y%20olivo&query_place_id=ChIJU2ce7W5TQA0RY5zfp7P0uME,40.4562417,-4.461500399999999,,pendiente,no comprobado
tierras-de-cebreros-cebreros,Tierras de Cebreros,Cebreros,Bodega,Vino,"Ctra. de Cebreros a El Barraco, km. 3, AV. 504, 05260 Cebreros, Ávila, España","Productor local de bodega en Cebreros, incorporado al catálogo provincial de Ávila y revisado con DOP Cebreros.",Consultar web o venta directa,664 52 96 37,,https://www.tierrasdecebreros.com/,https://www.facebook.com/tierrasdecebreros,https://www.instagram.com/tierrasdecebreros/,https://www.google.com/maps/search/?api=1&query=Tierras%20de%20Cebreros&query_place_id=ChIJn4nK96RTQA0RlRrgOxk1ozY,40.4449909,-4.4853501,,pendiente,no comprobado
bodega-don-juan-del-aguila-el-barraco,Bodega Don Juan del Águila,El Barraco,Bodega,Vino,"Calle Real de Abajo, 100, 05110 El Barraco, Ávila, España","Productor local de bodega en El Barraco, incorporado al catálogo provincial de Ávila y revisado con DOP Cebreros.",lunes: 10:00–14:00 | martes: 10:00–14:00 | miércoles: 10:00–14:00 | jueves: 10:00–14:00 | viernes: 10:00–14:00 | sábado: 10:00–14:00 | domingo: Cerrado,920 28 10 32,,http://gaznata.es/,,,https://www.google.com/maps/search/?api=1&query=Bodega%20Don%20Juan%20del%20%C3%81guila&query_place_id=ChIJJw1eHU9ZQA0RAXa4m44V3ho,40.4735683,-4.637321,,pendiente,no comprobado
daniel-ramos-el-tiemblo,Daniel Ramos,El Tiemblo,Bodega,Vino,"C. San Pedro, 1, 05270 El Tiemblo, Ávila, España","Productor local de bodega en El Tiemblo, incorporado al catálogo provincial de Ávila y revisado con DOP Cebreros.",lunes: 9:00–16:00 | martes: 9:00–16:00 | miércoles: 9:00–16:00 | jueves: 9:00–16:00 | viernes: 9:00–16:00 | sábado: Cerrado | domingo: Cerrado,667 21 97 99,,https://danielramos.wine/,,,https://www.google.com/maps/search/?api=1&query=Daniel%20Ramos&query_place_id=ChIJiX_q_pdRQA0RujxCq81tANA,40.4128018,-4.4991082,,pendiente,no comprobado
vina-alondra-langa,VIÑA ALONDRA,Langa,Bodega,Vino,"C. Sol, 25, 05213 Langa, Ávila, España","Productor local de bodega en Langa, incorporado al catálogo provincial de Ávila y revisado con AvilAgro.",Consultar web o venta directa,649 10 16 21,alondra.inecastello@gmail.com,https://vinoalondra.com/,https://www.facebook.com/Vi%C3%B1a-Alondra-517389131698154/,,https://www.google.com/maps/search/?api=1&query=VI%C3%91A%20ALONDRA&query_place_id=ChIJp5kBp3W7QA0R_MPu78_b2_c,41.0064601,-4.8606999,,pendiente,no comprobado
restaurante-y-bodega-huellas-del-tietar-lanzahita,Restaurante y Bodega Huellas del Tiétar,Lanzahíta,Bodega,Vino,"Finca Huellas del Tiétar, C. Fuente Abajo, s/n, 05490 Lanzahíta, Ávila, España","Productor local de bodega en Lanzahíta, incorporado al catálogo provincial de Ávila y revisado con DOP Cebreros.",lunes: Cerrado | martes: Cerrado | miércoles: Cerrado | jueves: Cerrado | viernes: Cerrado | sábado: 12:30–24:00 | domingo: 12:30–17:30,608 85 45 82,,https://huellasdeltietar.com/,https://www.facebook.com/HuellasdelTietar/,https://www.instagram.com/bodegahuellasdeltietar/,https://www.google.com/maps/search/?api=1&query=Restaurante%20y%20Bodega%20Huellas%20del%20Ti%C3%A9tar&query_place_id=ChIJX4OF78oNQA0ReRMlnK2Qq_I,40.1977189,-4.9397402,,pendiente,no comprobado
bodega-finca-fuentegalana-navahondilla,Bodega Finca Fuentegalana,Navahondilla,Bodega,Vino,"M-501, Km 65, 05429 Navahondilla, Ávila, España","Productor local de bodega en Navahondilla, incorporado al catálogo provincial de Ávila y revisado con AvilAgro.",lunes: 9:00–19:00 | martes: 9:00–19:00 | miércoles: 9:00–19:00 | jueves: 9:00–19:00 | viernes: 9:00–19:00 | sábado: 9:00–19:00 | domingo: 10:00–12:00,628 77 59 26,info@fuentegalana.com,http://www.fuentegalana.com/,https://www.facebook.com/vinnacwine/,,https://www.google.com/maps/search/?api=1&query=Bodega%20Finca%20Fuentegalana&query_place_id=ChIJxY-CcjZMQA0RpvvVr1vu-Fc,40.3350784,-4.4652296,,pendiente,no comprobado
chato-ganan-navahondilla,Cható Gañán,Navahondilla,Bodega,Vino,"C. Claveles, N1, 05429, Ávila, España","Productor local de bodega en Navahondilla, incorporado al catálogo provincial de Ávila y revisado con DOP Cebreros.",lunes: Cerrado | martes: Cerrado | miércoles: Cerrado | jueves: Cerrado | viernes: Cerrado | sábado: 10:00–14:30 | domingo: 10:00–14:30,658 37 73 26,,https://chatoganan.es/,,,https://www.google.com/maps/search/?api=1&query=Chat%C3%B3%20Ga%C3%B1%C3%A1n&query_place_id=ChIJi20GDlBNQA0RPujeHNJ8pxA,40.3266742,-4.4651774,,pendiente,no comprobado
bodega-7-navas-garnacha-alto-alberche-navaluenga,Bodega 7 Navas Garnacha Alto Alberche,Navaluenga,Bodega,Vino,"Poligono 5 parcela 17, 05100 Navaluenga, Ávila, España","Productor local de bodega en Navaluenga, incorporado al catálogo provincial de Ávila y revisado con DOP Cebreros.","lunes: 11:00–13:30 | martes: 11:00–13:30 | miércoles: 11:00–13:30 | jueves: 11:00–13:30 | viernes: 11:00–13:30, 17:00–20:00 | sábado: 10:00–14:00, 17:00–20:00 | domingo: 10:00–14:00, 17:00–20:00",620 35 43 65,,http://7navasgarnacha.es/,,,https://www.google.com/maps/search/?api=1&query=Bodega%207%20Navas%20Garnacha%20Alto%20Alberche&query_place_id=ChIJz913i6VdQA0RbdlNBRdthko,40.4239931,-4.697083399999999,,pendiente,no comprobado
bodega-nietos-de-senora-maria-navandrinal,Bodega Nietos de Señora María,Navandrinal,Bodega,Vino,"C. Maestra Agustina, 93, 05120 Navandrinal, Ávila, España","Productor local de bodega en Navandrinal, incorporado al catálogo provincial de Ávila y revisado con DOP Cebreros.",lunes: 9:00–17:30 | martes: 9:00–17:30 | miércoles: 9:00–17:30 | jueves: 9:00–17:30 | viernes: 9:00–17:30 | sábado: 11:00–17:30 | domingo: Cerrado,659 65 40 22,,http://www.bodeganietosmaria.com/,https://es-la.facebook.com/bodeganietosmaria/,https://www.instagram.com/bodeganietosmaria/,https://www.google.com/maps/search/?api=1&query=Bodega%20Nietos%20de%20Se%C3%B1ora%20Mar%C3%ADa&query_place_id=ChIJUXnRhZ5jQA0RBZSaE1EmJxQ,40.4667484,-4.8463813,,pendiente,no comprobado
10-delirios-bodegas-y-vinedos-navatalgordo,10 Delirios Bodegas Y Viñedos,Navatalgordo,Bodega,Vino,"Barrio, C. Manalarroyo, 158, 05122 Navatalgordo, Ávila, España","Productor local de bodega en Navatalgordo, incorporado al catálogo provincial de Ávila y revisado con DOP Cebreros.","lunes: Cerrado | martes: 10:00–14:00, 17:00–19:00 | miércoles: 10:00–14:00, 17:00–19:00 | jueves: 10:00–14:00, 17:00–19:00 | viernes: 10:00–14:00, 17:00–19:00 | sábado: 11:00–14:00, 17:30–19:00 | domingo: 11:00–14:00",654 26 19 91,,http://bodegadiezdelirios.com/,https://www.facebook.com/Bodega10delirios/,https://www.instagram.com/bodega10delirios/,https://www.google.com/maps/search/?api=1&query=10%20Delirios%20Bodegas%20Y%20Vi%C3%B1edos&query_place_id=ChIJic-cCg1lQA0RKdFLuIjCzz0,40.4171264,-4.8702632,,pendiente,no comprobado
bodega-alma-rural-navatalgordo,BODEGA ALMA RURAL,Navatalgordo,Bodega,Vino,"Paraje de la Guija, pol. 9, parcela 40, 05122 Navatalgordo, Ávila, España","Productor local de bodega en Navatalgordo, incorporado al catálogo provincial de Ávila y revisado con DOP Cebreros.",lunes: Cerrado | martes: Cerrado | miércoles: Cerrado | jueves: Cerrado | viernes: 10:00–20:00 | sábado: 10:00–20:00 | domingo: 10:00–13:30,652 57 06 68,,https://www.almaruralbodega.com/,,,https://www.google.com/maps/search/?api=1&query=BODEGA%20ALMA%20RURAL&query_place_id=ChIJgb5ARFNlQA0RAh2YHFRyEuU,40.4263392,-4.840864499999999,,pendiente,no comprobado
