slug,nombre,municipio,categoria,productos estrella,direccion,descripcion,horario,telefono,correo,web,Facebook,Instagram,Google Maps,lat,lon,imagen,verificacion,Venta online,Canal de venta,categorias adicionales,producer_id,descripcion_locale,visitas guiadas,mensaje a la comunidad,mensaje_comunidad_locale,enlace destacado 1,enlace destacado 2,country,region,area
bodega-gamboa,Bodega Gamboa,Campana,Vino,,"Ruta 9 Panamericana Km 65, Campana, Buenos Aires","Bodega y casa de degustación en la Panamericana, en Campana, al norte de Buenos Aires, con un segundo establecimiento en General Madariaga.",Martes a domingo 11:00-17:00,+5491130846084,casagamboa@bodegagamboa.com.ar,https://bodegagamboa.com.ar/,,https://www.instagram.com/bodegagamboa/,,-34.16323,-58.95916,,,sí,ecommerce,,196,es,,,,,,ar,pampeana,buenos-aires
bodega-saldungaray,Bodega Saldungaray,Saldungaray,Vino,,"Quintas de Saldungaray, Tornquist, Buenos Aires",,,+542914125261,info@bodegasaldungaray.com.ar,https://bodegasaldungaray.com.ar/,,,,-38.21822,-61.77964,,pendiente,no comprobado,,,260,,,,,,,ar,pampeana,buenos-aires
famiglia-dellisola,Famiglia dell'Isola,Ezeiza,Aceite,"Aceite de oliva, Aceto balsámico, Pastas vegetales","Autopista Richieri 21500, Ezeiza, Buenos Aires",,,+5491140362700,administracion@losdellisola.com,https://www.famigliadellisola.com,,https://www.instagram.com/losdellisolamarket/,,-34.85439,-58.52476,,pendiente,no comprobado,,,522,,,,,,,ar,pampeana,buenos-aires
g-b-aceitunas,G&b Aceitunas,Munro,Aceite,"Aceitunas verdes, Negras, Aceite de Oliva virgen extra","Vélez Sarsfield 5588, Munro, Buenos Aires",,,+5491162097536,info@gybaceitunas.com/www.gybaceitunas.com.ar,,https://www.facebook.com/gybaceitunas,https://www.instagram.com/gybaceitunas/,,-34.53499,-58.53444,,pendiente,no comprobado,,,573,,,,,,,ar,pampeana,buenos-aires
la-toscana,La Toscana,Vicente López,Aceite,"Aceite de Oliva Virgen Extra, Aceites de Oliva Saborizados, Aceitunas","Av. del Libertador 350 5, Vicente López, Buenos Aires","Productor de aceite de oliva en Vicente López, Buenos Aires.",,+5491154769009,vferrara@timbo.com.ar,https://www.timbo.com.ar/index2.php,https://www.facebook.com/Latoscana.ar,https://www.instagram.com/latoscana.ar/,,-34.52574,-58.47415,,pendiente,no comprobado,,,720,es,,,,,,ar,pampeana,buenos-aires
pizca-hierbas-especias,Pizca - Hierbas & Especias,Castelar,Condimentos,"Sales, Condimentos vegetales","Máximo Paz 1027, Castelar, Buenos Aires",,,+5491140425044,almazziotti@gmail.com,,,https://www.instagram.com/pizcahye/,,-34.65182,-58.64605,,pendiente,no comprobado,,,883,,,,,,,ar,pampeana,buenos-aires
attimo-y-pampa-doro,Attimo y Pampa D’oro,Mar del Plata,Destilados y licores,"Licores, Mieles","12 de Octubre 7631, Mar del Plata, Buenos Aires",,,,pampadoro@gmail.com,,,,,-38.01423,-57.58424,,pendiente,no comprobado,,,85,,,,,,,ar,pampeana,buenos-aires
mar-del-plata-gin,Mar del Plata Gin,Mar del Plata,Destilados y licores,"Gin London Dry, Gin Infusionado de Verano, Gin Artesanal","Champagnat 2044, Mar del Plata, Buenos Aires",,,+5492235060559,hola@mardelplatagin.com,https://www.mardelplatagin.com,https://www.facebook.com/mardelplatagin,https://www.instagram.com/mardelplatagin/,,-37.98398,-57.58521,,pendiente,no comprobado,,,762,,,,,,,ar,pampeana,buenos-aires
sidra-pyrus-patagonia,Sidra Pyrus Patagónia,San Fernando,Sidra,"Sidra Pyrus, Sidra Pyrus Pera","Colon 770, San Fernando, Buenos Aires",,,+5491147254800,info@pyrus.com.ar/www.pyrus.com.ar,,,https://www.instagram.com/sidrapyruspatagonia/,,-34.44366,-58.55865,,pendiente,no comprobado,,,967,,,,,,,ar,pampeana,buenos-aires
alfajores-orense,Alfajores Orense,Bernal,Dulces y repostería,"Alfajores, Galletitas, Conitos","Av. los Quilmes 67, Bernal, Buenos Aires",,,+5491135665677,info@alfajoresorense.com.ar,https://www.alfajoresorense.com.ar,,https://www.instagram.com/orense.alfajores/,,-34.72762,-58.30038,,pendiente,sí,ecommerce,,39,,,,,,,ar,pampeana,buenos-aires
camboya-alfajores,Camboya Alfajores,Mar del Plata,Dulces y repostería,Alfajores premium,"Alberti 2047, Mar del Plata, Buenos Aires",,,+5492234540945,alfajorescamboya@hotmail.com,,https://www.facebook.com/camboya.oficial,https://www.instagram.com/camboya.oficial/,,-38.00937,-57.54722,,pendiente,no comprobado,,,321,,,,,,,ar,pampeana,buenos-aires
chocolates-dorrego,Chocolates Dorrego,Coronel Dorrego,Destilados y licores,"Chocolates, Alfajores, Licores","Barrio de policía 5, Coronel Dorrego, Buenos Aires",,,+5492262625719,ivasole1986@gmail.com,,,https://www.instagram.com/chocolatesdorrego_/,,-38.71880,-61.28836,,pendiente,no comprobado,,,387,,,,,,,ar,pampeana,buenos-aires
colmenares-royesol,Colmenares Royesol,Chascomús,Dulces y repostería,"Miel, Miel cremosa, Polen","Junín 59, Chascomús, Buenos Aires",,,+5492241555836,ysarena_24@hotmail.com,,,https://www.instagram.com/colmenaresroyesol/,,-35.57421,-58.01128,,pendiente,no comprobado,,,397,,,,,,,ar,pampeana,buenos-aires
guatan,Guatan,Mar del Plata,Dulces y repostería,"Dulce de leche, Dulce de leche saborizados, Bocaditos / Caramelos de dulce de leche","Ruta N2 391, Mar del Plata, Buenos Aires",,,+5492235245569,guatan@hotmail.com,,https://www.facebook.com/gutan_argentina,https://www.instagram.com/gustan_argentina/,,-38.00645,-57.54384,,pendiente,no comprobado,,,602,,,,,,,ar,pampeana,buenos-aires
jumbalay,Jumbalay,Don Torcuato Este,Aceite,"Aceitunas, Conservas, Encurtidos","Leopoldo Lugones 1872, Don Torcuato Este, Buenos Aires",,,+5491130008629,camilariveiro@jumbalay.com.ar,,,https://www.instagram.com/jumbalay_/,,-34.48753,-58.61558,,pendiente,no comprobado,,,651,,,,,,,ar,pampeana,buenos-aires
mermeladas-el-brocal-de-san-pedro,Mermeladas El Brocal de San Pedro,San Pedro,Dulces y repostería,"Mermeladas tradicionales, Light, Dietetica","Paraje Tablas cuartel 10, San Pedro, Buenos Aires",,,,hola@elbrocal.com,https://www.elbrocal.com,https://www.facebook.com/elbrocaldesanpedro,https://www.instagram.com/elbrocal/,,-33.67595,-59.66302,,pendiente,no comprobado,,,777,,,,,,,ar,pampeana,buenos-aires
milagros-del-cielo,Milagros del Cielo,Mar del Plata,Chocolate,"Alfajores artesanales, Chocolates artesanales al peso, Conitos","12 de octubre 8250, Mar del Plata, Buenos Aires",,,+5492235941146,sunamigrecia@hotmail.com,https://milagrosdelcielo.com.ar,https://www.facebook.com/alfajoresmilagrosdelcielo,https://www.instagram.com/milagrosdelcielo_mdp/,,-38.01026,-57.58993,,pendiente,no comprobado,,,798,,,,,,,ar,pampeana,buenos-aires
milagros-del-sol,Milagros del sol,Luján,Dulces y repostería,DULCE DE LECHE SABORIZADOS,"Rawson 1385, Luján, Buenos Aires",,,+5492324358211,administracion@milagrosdelsol.com.ar,https://www.milagrosdelsol.com.ar,,https://www.instagram.com/milagrosdelsol.lacteos/,,-34.57298,-59.10772,,pendiente,no comprobado,,,799,,,,,,,ar,pampeana,buenos-aires
munchi-s,Munchi¨s,Escobar,Dulces y repostería,"Helados, Manteca, Dulce de leche","Marta Velazco 2150 PB, Escobar, Buenos Aires",,,+5491156611892,vfernandez@goyaike.com.ar,https://www.munchis.com,,https://www.instagram.com/heladosmunchis/,,-34.34605,-58.79442,,pendiente,no comprobado,,,817,,,,,,,ar,pampeana,buenos-aires
