slug,nombre,municipio,categoria,productos estrella,direccion,descripcion,horario,telefono,correo,web,Facebook,Instagram,Google Maps,lat,lon,imagen,verificacion,Venta online,Canal de venta,categorias adicionales,producer_id,descripcion_locale,visitas guiadas,mensaje a la comunidad,mensaje_comunidad_locale,enlace destacado 1,enlace destacado 2,country,region,area
adega-cooperativa-de-mangualde,Adega Cooperativa de Mangualde,Mangualde,Vino,,"Zona Industrial do Salgueiro, 3530-259 Mangualde",,,+351232623845,geral@acmang.com,https://www.adegademangualde.com/,,,https://www.google.com/maps/search/?api=1&query=Adega%20Cooperativa%20de%20Mangualde%2C%20Zona%20Industrial%20do%20Salgueiro%2C%203530-259%20Mangualde&query_place_id=ChIJ08xsgi8zIw0Rq11iCcMoOVU,40.6027778,-7.7880556,/productores/pt/centro/viseu/adega-cooperativa-de-mangualde.webp,pendiente,no comprobado,,,37,,,,,,,pt,centro,viseu
casa-da-insua,Casa da Ínsua,Penalva do Castelo,Vino,"Vinho do Dão, Queijo Serra da Estrela DOP, Requeijão Serra da Estrela","Casa da Ínsua, 3550-126 Penalva do Castelo","Quinta agrícola histórica que produz vinho certificado do Dão, queijo Serra da Estrela e requeijão, borrego e maçãs Bravo de Esmolfe.",,+351232640115,lojacasadainsua@montebelohotels.com,https://lojaonline.casadainsua.pt/,,,https://www.google.com/maps/search/?api=1&query=Casa%20da%20%C3%8Dnsua%2C%20Casa%20da%20%C3%8Dnsua%2C%203550-126%20Penalva%20do%20Castelo&query_place_id=ChIJYQzCHifKPA0RxWIvLsx-xl0,40.6761111,-7.7069444,/productores/pt/centro/viseu/casa-da-insua.webp,,sí,ecommerce,Lácteos y quesos|Carne|Fruta y verdura,189,pt,,,,,,pt,centro,viseu
adega-cooperativa-de-penalva-do-castelo,Adega Cooperativa de Penalva do Castelo,Penalva do Castelo,Vino,,"Calvário, Ínsua, 3550-167 Penalva do Castelo",,,+351232642264,geral@adegapenalva.com,https://adegapenalva.com/,,,https://www.google.com/maps/search/?api=1&query=Adega%20Cooperativa%20de%20Penalva%20do%20Castelo%2C%20Calv%C3%A1rio%2C%20%C3%8Dnsua%2C%203550-167%20Penalva%20do%20Castelo&query_place_id=ChIJkwmQLC_KPA0RDrEzXmk7PiQ,40.669438,-7.708563,,pendiente,no comprobado,,,39,,,,,,,pt,centro,viseu
queijaria-vale-da-estrela,Queijaria Vale da Estrela,Mangualde,Lácteos y quesos,Queijo Serra da Estrela DOP,"Estrada Nacional 16 nº 43, São Cosmado, 3530-258 Mangualde",,,+351232247644,info@valedaestrela.pt,,,,https://www.google.com/maps/search/?api=1&query=Queijaria%20Vale%20da%20Estrela%2C%20Estrada%20Nacional%2016%20n%C2%BA%2043%2C%20S%C3%A3o%20Cosmado%2C%203530-258%20Mangualde&query_place_id=ChIJ87SQ7lMzIw0Rlogg7or_zww,40.609187,-7.789688,,pendiente,no comprobado,,,654,,,,,,,pt,centro,viseu
queijaria-quinta-da-alagoa,Queijaria Quinta da Alagoa,Nelas,Lácteos y quesos,Queijo Serra da Estrela DOP,,,,+351968037654,,,,,,40.516670,-7.850000,,pendiente,no comprobado,,,647,,,,,,,pt,centro,viseu
quinta-de-santo-antonio,Quinta de Santo António,Mangualde,Vino,"QSA, Granito 409","Rua de Santo António, 3530-071 Fornos de Maceira Dão",Productor familiar de vino del Dão con viña y bodega propias.,,+351925891811,geral@qsa.pt,https://qsa.pt/,,,https://www.google.com/maps/search/?api=1&query=Quinta%20de%20Santo%20Ant%C3%B3nio%2C%20Rua%20de%20Santo%20Ant%C3%B3nio%2C%203530-071%20Fornos%20de%20Maceira%20D%C3%A3o&query_place_id=ChIJKfSvtzwzIw0ROUkJJ45pWCA,40.607437,-7.815562,,pendiente,no comprobado,,,724,es,,,,,,pt,centro,viseu
casa-de-darei,Casa de Darei,Mangualde,Vino,Vinho do Dão,"Darei, 3530-107 Mangualde",Explotación vitivinícola de Mangualde con producción propia.,,+351918712499,carlosruivo@casadedarei.pt,http://www.casadedarei.pt/,,,https://www.google.com/maps/search/?api=1&query=Casa%20de%20Darei%2C%20Darei%2C%203530-107%20Mangualde&query_place_id=ChIJO9MqimDLPA0RPQMUrwQZ-H8,40.644062,-7.747563,,pendiente,no comprobado,,,193,es,,,,,,pt,centro,viseu
quinta-dos-carvalhais,Quinta dos Carvalhais,Mangualde,Vino,"Encruzado, Alfrocheiro","Quinta dos Carvalhais, 3530-063 Outeiro de Espinho",Quinta y marca especializada en vinos del Dão perteneciente a Sogrape.,,+351232610080,info@quintadoscarvalhais.com,https://quintadoscarvalhais.com/,,,https://www.google.com/maps/search/?api=1&query=Quinta%20dos%20Carvalhais%2C%20Quinta%20dos%20Carvalhais%2C%203530-063%20Outeiro%20de%20Espinho&query_place_id=ChIJtyenPMsyIw0RrxhtOjggJn8,40.558188,-7.786188,/productores/pt/centro/viseu/quinta-dos-carvalhais.webp,pendiente,no comprobado,,,770,es,,,,,,pt,centro,viseu
julia-kemper-wines,Julia Kemper Wines,Mangualde,Vino,"Encruzado, Elpenor","Quinta do Cruzeiro, Oliveira, 3530-239 Mangualde",Productor familiar de vinos ecológicos del Dão.,,+351918133592,hello@juliakemperwines.com,https://www.juliakemperwines.com/,,,,40.600000,-7.766670,/productores/pt/centro/viseu/julia-kemper-wines.webp,pendiente,sí,ecommerce,,452,es,,,,,,pt,centro,viseu
quinta-dos-roques,Quinta dos Roques,Mangualde,Vino,"Encruzado, Touriga Nacional","Rua da Paz, Abrunhosa do Mato, 3530-050 Cunha Baixa",Bodega familiar que trabaja exclusivamente viñedos propios y variedades tradicionales.,,+351232614500,info@quintaroques.pt,https://www.quintaroques.pt/,,,,40.550556,-7.750556,/productores/pt/centro/viseu/quinta-dos-roques.webp,,no comprobado,,,778,es,,,,,,pt,centro,viseu
