slug,nombre,municipio,categoria,productos estrella,direccion,descripcion,horario,telefono,correo,web,Facebook,Instagram,Google Maps,lat,lon,imagen,verificacion,Venta online,Canal de venta,categorias adicionales,producer_id,descripcion_locale,visitas guiadas,mensaje a la comunidad,mensaje_comunidad_locale,enlace destacado 1,enlace destacado 2,country,region,area
de-luingahof,De Luingahof,Eemsdelta,Fruta y verdura,"appels, peren, pruimen, vruchtensap","Borgsingel 9, 9906 PZ Bierum","De Luingahof in Bierum teelt appels, peren en pruimen in een historische boomgaard en verkoopt eigen fruit en vruchtensappen.",,+31596591859,info@luingahof.nl,https://luingahof.nl/,,,,53.381210,6.862186,,pendiente,no comprobado,,,336,nl,,,,,,nl,noord-nederland,groningen
zandster-boerenzuivel,Zandster Boerenzuivel,Eemsdelta,Lácteos y quesos,"melk, yoghurt, vla","Zijldijksterweg 1, 9915 TD ’t Zandt",Zandster Boerenzuivel in ’t Zandt verwerkt melk van eigen koeien tot verse zuivel en verkoopt die via een melktap.,,+31616268147,,,,,,53.3747569,6.76867559,,pendiente,no comprobado,,,801,nl,,,,,,nl,noord-nederland,groningen
biologische-boerderij-martinizicht,Biologische boerderij Martinizicht,Groningen,Lácteos y quesos,"biologische melk, Limousin-rundvlees","Westerseweg 2, 9738 AH Groningen",Biologische boerderij Martinizicht van familie Elzinga in Groningen houdt melkvee en Limousin-koeien voor biologische melk en rundvlees.,,+31503015490,,https://martinizicht.nl/,,,,53.259281,6.573625,,,no comprobado,,Carne,62,nl,,,,,,nl,noord-nederland,groningen
de-wiershoeck,De Wiershoeck,Groningen,Otros,,,,,,,,,,,,,,pendiente,no comprobado,,,364,,,,,,,nl,noord-nederland,groningen
fruitteeltbedrijf-oudebosch,Fruitteeltbedrijf Oudebosch,Westerkwartier,Fruta y verdura,"appels, peren, kersen, pruimen, vruchtensap","Heereburen 17, 9884 TC Niehove","Fruitbedrijf Oudebosch in Niehove teelt appels, peren, kersen en pruimen en verwerkt een deel van het fruit tot sap.",,+31594212603,oudeboschfruit@gmail.com,https://www.oudeboschfruit.nl/,,,,53.28679513,6.334882,,pendiente,no comprobado,,,426,nl,,,,,,nl,noord-nederland,groningen
geitenhouderij-ter-veen,Geitenhouderij ter Veen,Groningen,Lácteos y quesos,"rauwe geitenmelk, geitenkaas, bokjesvlees","Zijlvesterweg 12, 9746 TG Groningen","Geitenhouderij Ter Veen in Groningen is een kleinschalige geitenhouderij met rauwe geitenmelk, geitenkaas en bokjesvlees.",,,egbertterveen@gmail.com,,,,,53.248600,6.507902,,pendiente,no comprobado,,Carne,437,nl,,,,,,nl,noord-nederland,groningen
groente-kwekerij-noordlaren,Groente Kwekerij Noordlaren,Groningen,Fruta y verdura,groenten,"Lageweg 7, 9479 TA Noordlaren",Groente Kwekerij Noordlaren is een familiebedrijf dat sinds 1985 eigen groenten teelt en verkoopt.,,+31504061022,,https://groentekwekerijnoordlaren.nl/,,,,53.131484,6.658559,,,no comprobado,,,443,nl,,,,,,nl,noord-nederland,groningen
ijsboerderij-de-onnerpolder,IJsboerderij de Onnerpolder,Groningen,Helados,ambachtelijk roomijs,"Dorpsweg 62, 9755 PE Onnen",IJsboerderij De Onnerpolder in Onnen maakt ambachtelijk ijs van eigen weidemelk.,,,,https://www.ijsboerderijdeonnerpolder.nl/,,,,53.150499,6.646757,,,no comprobado,,,463,nl,,,,,,nl,noord-nederland,groningen
landwinkel-en-kinderboerderij,Landwinkel en Kinderboerderij,Groningen,Otros,,"Klaverlaan 37, 9753 BZ Haren Gn",,,,info@mikkelhorst.nl,https://www.mikkelhorst.nl/zien-en-doen/landwinkel,,,,53.179888,6.625758,,pendiente,no comprobado,,,598,,,,,,,nl,noord-nederland,groningen
slagerij-de-buurderij,Slagerij De Buurderij,Groningen,Carne,Limousin-rundvlees,"Vogelzangsteeg 15a, 9479 TE Noordlaren",Slagerij De Buurderij in Noordlaren verkoopt rundvlees van eigen Limousin-runderen.,,+31504063812,info@slagerijdebuurderij.nl,https://www.slagerijdebuurderij.nl/,,,,53.132459,6.651001,,,no comprobado,,,719,nl,,,,,,nl,noord-nederland,groningen
