slug,nombre,municipio,categoria,productos estrella,direccion,descripcion,horario,telefono,correo,web,Facebook,Instagram,Google Maps,lat,lon,imagen,verificacion,Venta online,Canal de venta,categorias adicionales,producer_id,descripcion_locale,visitas guiadas,mensaje a la comunidad,mensaje_comunidad_locale,enlace destacado 1,enlace destacado 2,country,region,area
finca-sophenia,Finca Sophenia,Tupungato,Vino,,"Ruta Provincial 89 Km 12.5, Gualtallary, Tupungato, Mendoza","Bodega de finca en Gualtallary, en las tierras altas de Tupungato, en el valle del Uco, que vende sus vinos a través de su propia tienda en línea.",,+542622489680,consultas@sophenia.com.ar,https://sophenia.com.ar/,https://www.facebook.com/FincaSopheniaWines/,https://www.instagram.com/fincasophenia/,,-33.45989,-69.22299,,,sí,ecommerce,,554,es,,,,,,ar,cuyo,mendoza
achaval-ferrer,Achaval Ferrer,Luján de Cuyo,Vino,,"Calle Cobos 2601, Perdriel, Luján de Cuyo, Mendoza","Achaval Ferrer elabora vino en su bodega de la calle Cobos, en Perdriel, Luján de Cuyo.",,+542614892247,winery@achaval-ferrer.com,https://www.achaval-ferrer.com/,,,,-33.05543,-68.90736,,pendiente,no comprobado,,,9,es,,,,,,ar,cuyo,mendoza
olivos-del-carmen,Olivos del Carmen,Junín,Aceite,Aceite de oliva,"Albardon Sn, Junín, Mendoza",,,+5492634520478,mati.gonzalezfdm@gmail.com,,,,,-33.14653,-68.48727,,pendiente,no comprobado,,,850,,,,,,,ar,cuyo,mendoza
vinos-ave-maria-bodega-guerrero,Vinos Ave María Bodega Guerrero,Medrano,Vino,"Vinos, Vinos dulces naturales, Jugo de uva natural","Oratorio 1, Medrano, Mendoza",,,+5492634541277,vinicolafs@gmail.com,,,https://www.instagram.com/bodega.guerrero/,,-33.17677,-68.61517,,pendiente,no comprobado,,,1024,,,,,,,ar,cuyo,mendoza
secretos-del-monte,Secretos del Monte,San Rafael,Carne,"Carnes, Chacinados ahumados, Jamones ahumados","Av. Ing. Julio Balloffet 2869, San Rafael, Mendoza",,,+5492604534177,info@secretosdelmonte.com,https://secretosdelmonte.com,,https://www.instagram.com/secretosdelmonte/,,-34.61777,-68.33564,,pendiente,sí,ecommerce,,957,,,,,,,ar,cuyo,mendoza
veronica-vicaro,Veronica Vicaro,Maipú,Café,"Caminos de mesa, Individuales de mesa, Bolsos","Saturnino Ferreyra 35, Maipú, Mendoza",,,+5492616247020,puroyute@gmail.com,,https://www.facebook.com/Puroyute,https://www.instagram.com/puroyute/,,-32.96626,-68.78667,,pendiente,no comprobado,,,1018,,,,,,,ar,cuyo,mendoza
bodega-valle-del-indio,Bodega Valle del Indio,Luján de Cuyo,Vino,"Vinos, Malbec, Cab","Vieytes 985, Luján de Cuyo, Mendoza",,,+5492615705745,ventas@bodegavalledelindio.com,https://bodegavalledelindio.com,,https://www.instagram.com/bodegavalledelindio/,,-33.01001,-68.83561,,pendiente,no comprobado,,,282,,,,,,,ar,cuyo,mendoza
la-gioconda,La Gioconda,San Rafael,Aceite,"Productos Kosher como Dulces Solidos, Mermeladas, Almibares","Av. Bartolomé Mitré 2596, San Rafael, Mendoza",,,+5491136545601,vrizzo@lagioconda.com.ar,https://www.lagioconda.com.ar,,https://www.instagram.com/lagioconda.ar/,,-34.61777,-68.33564,,pendiente,no comprobado,,,688,,,,,,,ar,cuyo,mendoza
mardegan,Mardegan,San Carlos,Condimentos,"Especias, Orégano certificado","Laguna del diamante s/n, San Carlos, Mendoza",,,+5492622554055,gonzalo@productosmardegan.com,,,https://www.instagram.com/mardegan_aromasysabores/,,-33.77207,-69.04040,,pendiente,no comprobado,,,765,,,,,,,ar,cuyo,mendoza
laur-acetaia-millan,Laur - Acetaia Millan,Maipú,Aceite,"Aceite de oliva virgen extra, Aceto balsamico","Videla Aranda 2850, Cruz de Piedra, Maipú, Mendoza",,,,paola@laur.ar/www.laur.ar,,,https://www.instagram.com/olivicolalaur/,,-32.98461,-68.78821,,pendiente,no comprobado,,,742,,,,,,,ar,cuyo,mendoza
vinecol,Vinecol,La Paz,Vino,Vinos,"Ruta 7 km 903, La Paz, Mendoza",,,+5491141453891,info@vinecol.com.ar/www.vinecol.com.ar,,,https://www.instagram.com/bodegavinecol/,,-33.46170,-67.55228,,pendiente,no comprobado,,,1022,,,,,,,ar,cuyo,mendoza
imberti-wines,Imberti Wines,Junín,Vino,Vinos de Autor,"Espejo Oeste. 550, La Colonia, Junín, Mendoza",,,+5492634754048,,,,https://www.instagram.com/imbertiwines/,,-33.14653,-68.48727,,pendiente,no comprobado,,,636,,,,,,,ar,cuyo,mendoza
huertana,HUERTANA,Maipú,Aceite,"Salsa Huertana, Aderezos 100% Vegetales, Sin conservantes","Vargas 1765, Maipú, Mendoza",,,+542616249979,info@huertana.com.ar,https://huertana.com.ar,https://www.facebook.com/huertana.ok,https://www.instagram.com/huertana.ok/,,-32.98461,-68.78821,,pendiente,no comprobado,,,629,,,,,,,ar,cuyo,mendoza
bodega-iudica-vinos-sa,Bodega Iúdica Vinos SA,Maipú,Vino,Vinos de alta gama,"Lamadrid Sur 0, Maipú, Mendoza",,,+5492615900902,iudicavinos@gmail.com,,https://www.facebook.com/iudicavinos,https://www.instagram.com/bodegaiudicavinos/,,-32.98461,-68.78821,,pendiente,no comprobado,,,207,,,,,,,ar,cuyo,mendoza
vinos-felix-enrique-rp-61,Vinos Felix Enrique Rp 61,Luján de Cuyo,Vino,Vinos orgánicos sin gluten certificados,,,,+5491127867181,contacto.felixenrique@gmail.com,,,https://www.instagram.com/felenrique.vinos/,,-33.03917,-68.87955,,pendiente,no comprobado,,,1026,,,,,,,ar,cuyo,mendoza
finca-amakaik,Finca Amakaik,San Rafael,Vino,Vinos orgánicos,"Calle larga 5 y Rio Atuel, San Rafael, Mendoza",,,+5491153349712,amakaikvinos@gmail.com,https://www.fincamakaik.com.ar,,https://www.instagram.com/amakaikvinos/,,-34.61777,-68.33564,,pendiente,no comprobado,,,538,,,,,,,ar,cuyo,mendoza
bodega-familia-antonietti,Bodega Familia Antonietti,San Martín,Vino,Vinos,"Pizarro s/n, Chapanay, San Martín, Mendoza",,,+5492612455986,bodega@familiaantonietti.com,,,https://www.instagram.com/bodegafamiliaantonietti/,,-33.08069,-68.47045,,pendiente,no comprobado,,,176,,,,,,,ar,cuyo,mendoza
flor-mia,Flor Mia,Divisadero,Aceite,"Aceite de Oliva virgen extra, Almendras, Pistachos","Chaco s/n, Divisadero, Mendoza",,,+5491160104271,maangelesw@gmail.com,https://www.fincadivisadero.com,,,,-32.00727,-68.69387,,pendiente,no comprobado,,,559,,,,,,,ar,cuyo,mendoza
vermut-federal,Vermut Federal,Luján de Cuyo,Vermut,Vermut Federal,"Pueyrredon 760, Luján de Cuyo, Mendoza",,,+5492612791374,hola@vermutfederal.com.ar,https://www.vermutfederal.com.ar,,https://www.instagram.com/vermutfederal/,,-33.03917,-68.87955,,pendiente,no comprobado,,,1017,,,,,,,ar,cuyo,mendoza
laterre,Laterre,Guaymallén,Fruta y verdura,"Comidas Deshidratadas, Deshidratados de Hortalizas","Carril Godoy Cruz 5330, Guaymallén, Mendoza",,,+5492615554300,cooperativalaterre@gmail.com,,https://www.facebook.com/cooperativalaterre,https://www.instagram.com/cooperativalaterre/,,-32.90005,-68.78768,,pendiente,no comprobado,,,738,,,,,,,ar,cuyo,mendoza
laur,Laur,Cruz de Piedra,Aceite,"Aceite de oliva virgen extra, Aceto Balsámico, Aceitunas en salmuera","Videla Aranda 2850, Cruz de Piedra, Mendoza",,,+5492616054600,calidad@laur.ar,https://www.laur.ar,https://www.facebook.com/olivicolalaur,https://www.instagram.com/olivicolalaur/,,-33.03024,-68.78042,,pendiente,no comprobado,,,741,,,,,,,ar,cuyo,mendoza
las-elviras,Las Elviras,Pareditas,Condimentos,Oregano,"Luffi 265, Pareditas, Mendoza",,,+5492622221593,diego@especiaslaselviras.com,https://especiaslaselviras.com,,https://www.instagram.com/especias_laselviras/,,-33.94255,-69.07855,,pendiente,no comprobado,,,734,,,,,,,ar,cuyo,mendoza
tia-clara,Tia Clara,Guaymallén,Conservas,"Mermeladas, Dulces, Aderezos","Luzuriaga 415, Guaymallén, Mendoza",,,+5492613389738,clara_barraza@hotmail.com,,https://www.facebook.com/tiaclara,https://www.instagram.com/tia_clara_dulces/,,-32.90684,-68.83359,,pendiente,no comprobado,,,989,,,,,,,ar,cuyo,mendoza
bodega-a16,Bodega A16,Mendoza,Vino,,"Nicolás Avellaneda 550 - Ciudad, Mendoza, Mendoza",,,,secretaria@a16sa.com.ar,https://a16sa.com,,,,-32.88973,-68.84444,,pendiente,no comprobado,,,110,,,,,,,ar,cuyo,mendoza
bodega-achaval-ferrer,Bodega Achaval Ferrer,Luján de Cuyo,Otros,,,,,,,,,,,,,,pendiente,no comprobado,,,111,,,,,,,ar,cuyo,mendoza
bodega-alpamanta,Bodega Alpamanta,Luján de Cuyo,Vino,,"Calle Cobos s/n, 5009 Ugarteche, Lujan de Cuyo, Luján de Cuyo, Mendoza",,,+5492614288922,turismo@alpamanta.com,,,,,-33.03917,-68.87955,,pendiente,no comprobado,,,113,,,,,,,ar,cuyo,mendoza
bodega-alta-vista,Bodega Alta Vista,Chacras de Coria,Vino,,"Alzaga 3972, Chacras de Coria, Chacras de Coria, Mendoza",,,+542614964684,altavista@altavistawines.com,,,,,-33.00258,-68.87422,,pendiente,no comprobado,,,115,,,,,,,ar,cuyo,mendoza
bodega-altos-las-hormigas,Bodega Altos Las Hormigas,Nueva Ciudad,Vino,,"La Pampa 95 - Ciudad de Mendoza, Nueva Ciudad, Mendoza",,,+542614631017,info@altoslashormigas.com,https://altoslashormigas.com,,,,-32.89372,-68.80893,,pendiente,no comprobado,,,117,,,,,,,ar,cuyo,mendoza
bodega-andeluna-cellars,Bodega Andeluna Cellars,Mendoza,Vino,,"9 de Julio 921- 3º Piso Of. 3 y 4 - Ciudad, Mendoza, Mendoza",,,+5492615089525,turismo@andeluna.com.ar,https://www.andeluna.com.ar/es,,,,-32.88973,-68.84444,,pendiente,no comprobado,,,118,,,,,,,ar,cuyo,mendoza
bodega-antigal,Bodega Antigal,Maipú,Vino,,"Maza y Manuel A. Sáez - Russell - Maipú, Maipú, Mendoza",,,+542615241177,eleiva@antigal.com,https://www.antigal.com,,,,-32.98461,-68.78821,,pendiente,no comprobado,,,120,,,,,,,ar,cuyo,mendoza
bodega-antucura,Bodega Antucura,Mendoza,Vino,,"Nicolás Avellaneda 550 - Ciudad, Mendoza, Mendoza",,,+542614961735,info@antucura.com,,,,,-32.88973,-68.84444,,pendiente,no comprobado,,,121,,,,,,,ar,cuyo,mendoza
bodega-argento,Bodega Argento,Maipú,Vino,,"Juan de la Cruz Videla S/N Cruz, Maipú, Maipú, Mendoza",,,+542614990050,info@bodegaargento.com,https://www.bodegaargento.com,,,,-32.98461,-68.78821,,pendiente,no comprobado,,,122,,,,,,,ar,cuyo,mendoza
bodega-atamisque,Bodega Atamisque,Mendoza,Vino,,"Cnel. Rodríguez 722 Of. 2 -Ciudad, Mendoza, Mendoza",,,+542614252415,consultas@atamisque.com,,,,,-32.88973,-68.84444,,pendiente,no comprobado,,,123,,,,,,,ar,cuyo,mendoza
bodega-barberis,Bodega Barberis,Guaymallén,Vino,,"Bandera de los Andes 4733 - Villanueva - Guaymallén, Guaymallén, Mendoza",,,,javierm@bodegabarberis.com,,,,,-32.90005,-68.78768,,pendiente,no comprobado,,,125,,,,,,,ar,cuyo,mendoza
bodega-belasco-de-baquedano,Bodega Belasco de Baquedano,Luján de Cuyo,Vino,,"Cobos 8260 - Agrelo - Luján de Cuyo, Luján de Cuyo, Mendoza",,,+542615247864,reserva@grupolanavarra.com,https://www.belascodebaquedano.com,,,,-33.11945,-68.91033,,pendiente,no comprobado,,,126,,,,,,,ar,cuyo,mendoza
bodega-belhara-estate,Bodega Belhara Estate,Luján de Cuyo,Vino,,"Acceso Sur km 17.5, 5507, Luján de Cuyo., Luján de Cuyo, Mendoza",,,+542616780395,stephen.huse@belharaestate.com,https://belharaestate.com,,,,-33.03917,-68.87955,,pendiente,no comprobado,,,127,,,,,,,ar,cuyo,mendoza
bodega-benegas,Bodega Benegas,Luján de Cuyo,Vino,,"Araoz 1600 - Mayor Drummond - Luján de Cuyo, Luján de Cuyo, Mendoza",,,,administracion@bodegabenegas.com,http://www.bodegabenegas.com,,,,-33.03917,-68.87955,,pendiente,no comprobado,,,128,,,,,,,ar,cuyo,mendoza
bodega-bressia,Bodega Bressia,Godoy Cruz,Vino,,"Cartagena 1188 - Godoy Cruz, Godoy Cruz, Mendoza",,,,adm@bressiabodega.com,http://www.bressiabodega.com,,,,-32.92533,-68.84428,,pendiente,no comprobado,,,131,,,,,,,ar,cuyo,mendoza
bodega-budeguer,Bodega Budeguer,Luján de Cuyo,Vino,,"Ruta 15, Km 31,5 - Agrelo - Luján de Cuyo, Luján de Cuyo, Mendoza",,,+5492616830749,info@budeguer.com,http://www.budeguer.com,,,,-33.03917,-68.87955,,pendiente,no comprobado,,,132,,,,,,,ar,cuyo,mendoza
bodega-cabrini,Bodega Cabrini,Luján de Cuyo,Vino,,"Ruta Pcial. Nº15 Km. 22 - Perdriel - Luján de Cuyo, Luján de Cuyo, Mendoza",,,+542614880218,administracion@cabrini.com.ar,https://www.cabrini.com.ar,,,,-33.03917,-68.87955,,pendiente,no comprobado,,,134,,,,,,,ar,cuyo,mendoza
bodega-carelli,Bodega Carelli,Rivadavia,Vino,,"Reducción S/N - La Reducción - Rivadavia, Rivadavia, Mendoza",,,+542634484024,info@bodegacarelli.com.ar,https://www.bodegacarelli.com.ar,,,,-33.19577,-68.46592,,pendiente,no comprobado,,,136,,,,,,,ar,cuyo,mendoza
bodega-carinae,Bodega Carinae,Maipú,Vino,,"Videla Aranda 2899, Maipu, Maipú, Mendoza",,,,carinae@carinaevinos.com,https://onlinegameslist.org,,,,-32.98461,-68.78821,,pendiente,no comprobado,,,137,,,,,,,ar,cuyo,mendoza
bodega-casa-de-uco,Bodega Casa de Uco,Tunuyán,Vino,,"Ruta 94, Kilómetro 14,5 - Tunuyán, Tunuyán, Mendoza",,,+542614769831,reservas@casadeuco.com,https://www.casadeuco.com,,,,-33.58125,-69.01537,,pendiente,no comprobado,,,138,,,,,,,ar,cuyo,mendoza
bodega-casarena,Bodega Casarena,Luján de Cuyo,Vino,,"Brandsen 505 - Perdriel - Luján de Cuyo, Luján de Cuyo, Mendoza",,,+5492616967848,turismo@casarena.com,https://www.casarena.com,,,,-33.03917,-68.87955,,pendiente,no comprobado,,,139,,,,,,,ar,cuyo,mendoza
bodega-chakana,Bodega Chakana,Luján de Cuyo,Vino,,"Ruta 15 Km 34 - Agrelo - Luján de Cuyo, Luján de Cuyo, Mendoza",,,+5492615095643,paola.olivares@chakanawines.com.ar,https://www.chakanawines.com.ar,,,,-33.03917,-68.87955,,pendiente,no comprobado,,,140,,,,,,,ar,cuyo,mendoza
bodega-chandon,Bodega Chandon,Luján de Cuyo,Vino,,"Ruta Pcial. Nº15 Km. 29 - Agrelo - Luján de Cuyo, Luján de Cuyo, Mendoza",,,,fernanda.quintana@chandon.com.ar,https://www.chandon.com.ar,,,,-33.03917,-68.87955,,pendiente,no comprobado,,,142,,,,,,,ar,cuyo,mendoza
bodega-cheval-des-andes,Bodega Cheval Des Andes,Luján de Cuyo,Vino,,"Cochabamba y Thames - Perdriel - Luján de Cuyo, Luján de Cuyo, Mendoza",,,,info@chevaldesandes.com,https://www.chevaldesandes.com,,,,-33.03917,-68.87955,,pendiente,no comprobado,,,143,,,,,,,ar,cuyo,mendoza
bodega-clos-de-los-siete,Bodega Clos de Los Siete,Mendoza,Vino,,"Sobremonte 561 - Ciudad, Mendoza, Mendoza",,,+542614233923,info@closdelossiete.com,https://www.closdelossiete.com,,,,-32.89569,-68.85848,,pendiente,no comprobado,,,146,,,,,,,ar,cuyo,mendoza
bodega-comfiar,Bodega Comfiar,Guaymallén,Vino,,"Acceso Este 1081 - Rodeo de la Cruz, Guaymallén, Guaymallén, Mendoza",,,,redes7@bodegasdeargentina.org,,,,,-32.90005,-68.78768,,pendiente,no comprobado,,,148,,,,,,,ar,cuyo,mendoza
bodega-corazon-del-sol,Bodega Corazón del Sol,Tunuyán,Vino,,"Ruta 94, Km 11 - Los Sauces - Tunuyán, Tunuyán, Mendoza",,,+542616590043,info@corazondelsol.com,,,,,-33.58125,-69.01537,,pendiente,no comprobado,,,150,,,,,,,ar,cuyo,mendoza
