slug,nombre,municipio,categoria,productos estrella,direccion,descripcion,horario,telefono,correo,web,Facebook,Instagram,Google Maps,lat,lon,imagen,verificacion,Venta online,Canal de venta,categorias adicionales,producer_id,descripcion_locale,visitas guiadas,mensaje a la comunidad,mensaje_comunidad_locale,enlace destacado 1,enlace destacado 2,country,region,area
la-buttiga,La Buttiga,Piacenza,Cerveza,birra artigianale,"Via Mafalda di Savoia, 41, 29122 Piacenza PC",,,,,https://www.labuttiga.it/,,,https://www.google.com/maps/search/?api=1&query=45.0284364%2C9.728131099999999&query_place_id=ChIJlX_mxojogEcRP-_cYrxJs1Q,45.0284364,9.728131099999999,,,no comprobado,,,2204,,,,,,,it,emilia-romagna,piacenza
retorto,Retorto,Podenzano,Cerveza,birra artigianale,"Via A. Grandi, 10, 29027 Podenzano PC",,,,,https://www.retorto.it,,,https://www.google.com/maps/search/?api=1&query=44.9510533%2C9.6818445&query_place_id=ChIJQxoSzxbqgEcRDhp890pTYzs,44.9510533,9.6818445,,,no comprobado,,,3033,,,,,,,it,emilia-romagna,piacenza
cristian-barbanotti,Cristian Barbanotti,Lugagnano Val d'Arda,Vino,"DonnaIlaria, Luigi Cesare, Fortuna","Località Diolo, 29018 Lugagnano Val d'Arda PC","Pequeña empresa vitícola nacida en 2021 que cultiva 1,6 hectáreas y produce tres etiquetas propias de vino blanco y tinto.",,+393920212676,cantinacristianvarba@libero.it,,,,,44.81667,9.81667,,pendiente,no comprobado,,,1615,es,,,,,,it,emilia-romagna,piacenza
capriss,Capriss,Alseno,Lácteos y quesos,"caprini, primo sale, stracchino, formaggella, erborinato","Strada Bianca 381, 29010 Alseno PC",Azienda agricola che trasforma il proprio latte crudo di capra in formaggi freschi e stagionati.,,+393397480525,info@aziendaagricolacapriss.it,https://aziendaagricolacapriss.it/,,,,44.9,9.96667,,,no comprobado,,,827,it,,,,,,it,emilia-romagna,piacenza
caseificio-cooperativo-casanova,Caseificio Cooperativo Casanova,Besenzone,Lácteos y quesos,Grana Padano DOP,"Via Boceto Inferiore 191, 29010 Besenzone PC",Caseificio cooperativo produttore di Grana Padano DOP con matricola PC517.,,+390523830203,casanovapc517@gmail.com,,,,,44.98333,9.95,,pendiente,no comprobado,,,1034,it,,,,,,it,emilia-romagna,piacenza
croce-grossa,Croce Grossa,Besenzone,Lácteos y quesos,"Grana Padano DOP, burro","Stradone 58, 29010 Besenzone PC",Caseificio sociale che produce Grana Padano DOP e burro nello stabilimento di Mercore.,,+390523830006,,,,,,44.98333,9.95,,pendiente,no comprobado,,,1617,it,,,,,,it,emilia-romagna,piacenza
caseificio-sociale-valtidone,Caseificio Sociale Valtidone,Borgonovo Val Tidone,Lácteos y quesos,"Grana Padano DOP, ricotta, burro","Località Colombarola, 29011 Borgonovo Val Tidone PC","Cooperativa lattiero-casearia con produzione propria di Grana Padano DOP, ricotta e burro e spaccio in caseificio.",,,,,,,,45.01667,9.45,,pendiente,no comprobado,,,1444,it,,,,,,it,emilia-romagna,piacenza
colla-tartaglia,Colla — Tartaglia,Cadeo,Lácteos y quesos,Grana Padano DOP,"Località Tartaglia, 29010 Cadeo PC","Storico stabilimento Colla per la produzione di Grana Padano DOP, identificato dalla matricola PC523.",,+390523501411,colla@collaspa.it,https://collaspa.it/en/factories/,,,,44.96667,9.83333,,,no comprobado,,,1548,it,,,,,,it,emilia-romagna,piacenza
colla-sant-anna,Colla — Sant'Anna,Cadeo,Lácteos y quesos,Grana Padano DOP,"Via Sant'Anna 10, 29010 Cadeo PC","Stabilimento produttivo Colla dedicato al Grana Padano DOP, con matricole PC524 e PC527.",,+390523501411,colla@collaspa.it,https://collaspa.it/en/factories/,,,,44.96667,9.83333,,,no comprobado,,,1547,it,,,,,,it,emilia-romagna,piacenza
caseificio-santa-vittoria,Caseificio Santa Vittoria,Carpaneto Piacentino,Lácteos y quesos,"Grana Padano DOP, ricotta, burro, caciotta","Località Ciriano Caseificio 25/1, 29013 Carpaneto Piacentino PC",Cooperativa agricola che trasforma latte locale in Grana Padano DOP e altri latticini e gestisce uno spaccio aziendale.,,+390523852038,info@caseificiosantavittoria.it,https://caseificiosantavittoria.it/,,,,44.91667,9.78333,,,no comprobado,,,1363,it,,,,,,it,emilia-romagna,piacenza
caseificio-contini,Caseificio Contini,Castell'Arquato,Lácteos y quesos,"Grana Padano DOP, ricotta, burro","Località Bacedasco Alto 4, 29014 Castell'Arquato PC","Caseificio artigianale con produzione propria di Grana Padano DOP, ricotta e burro e vendita diretta.",,+390523895145,,,,,,44.85,9.86667,,pendiente,no comprobado,,,1031,it,,,,,,it,emilia-romagna,piacenza
industria-casearia-villa,Industria Casearia Villa,Castell'Arquato,Lácteos y quesos,Grana Padano DOP,"Località Montagnano Vigolo 16, 29014 Castell'Arquato PC",Caseificio di famiglia specializzato nella produzione e stagionatura di Grana Padano DOP.,,+390523896293,,https://www.caseificiovilla.com/,,,,44.85,9.86667,,,no comprobado,,,2165,it,,,,,,it,emilia-romagna,piacenza
lattegra-vigolo-marchese,Lattegra — Vigolo Marchese,Castell'Arquato,Lácteos y quesos,Grana Padano DOP,"Vigolo Marchese, 29014 Castell'Arquato PC","Secondo stabilimento produttivo Lattegra per Grana Padano DOP, identificato dalla matricola PC546.",,+390523789000,informazioni@lattegra.it,https://www.lattegra.it/,,,,44.85,9.86667,,,no comprobado,,,2308,it,,,,,,it,emilia-romagna,piacenza
latteria-san-pietro-corte-piccola,Latteria Sociale San Pietro in Corte Piccola,Castelvetro Piacentino,Lácteos y quesos,Grana Padano DOP,"Località Goriletto, 29010 Castelvetro Piacentino PC",Latteria sociale autorizzata alla trasformazione casearia e produttrice di Grana Padano DOP.,,+390523820205,,,,,,45.10034,9.98672,,pendiente,no comprobado,,,2440,it,,,,,,it,emilia-romagna,piacenza
agri-piacenza-latte-bianco-ditalia,Agri Piacenza Latte — Bianco d'Italia,Cortemaggiore,Lácteos y quesos,"Bianco d'Italia, formaggi freschi","Via Fiorenzuola 13/A, 29016 Cortemaggiore PC",Consorzio agricolo che raccoglie e trasforma latte locale nel proprio caseificio con il marchio Bianco d'Italia e vendita diretta.,,+390523835282,,https://www.biancoditalia.com/,,,,45,9.93333,,,no comprobado,,,51,it,,,,,,it,emilia-romagna,piacenza
caseificio-cooperativo-casa-nuova,Caseificio Cooperativo Casa Nuova,Cortemaggiore,Lácteos y quesos,"Grana Padano DOP, ricotta, burro","Via Caorso 15, 29016 Cortemaggiore PC","Caseificio cooperativo con produzione di Grana Padano DOP, ricotta e burro e spaccio aziendale.",,+390523835064,,,,,,45,9.93333,,pendiente,no comprobado,,,1033,it,,,,,,it,emilia-romagna,piacenza
