slug,nombre,municipio,categoria,productos estrella,direccion,descripcion,horario,telefono,correo,web,Facebook,Instagram,Google Maps,lat,lon,imagen,verificacion,Venta online,Canal de venta,categorias adicionales,producer_id,descripcion_locale,visitas guiadas,mensaje a la comunidad,mensaje_comunidad_locale,enlace destacado 1,enlace destacado 2,country,region,area
morikuni-shodoshima,MORIKUNI,Shodoshima,Sake,"Shodoshima sake, bakery bread","Sakate 1010-1, Shodoshima","Brewery on the island of Shodoshima, with its own bakery next to the kura. Sells through its online shop.",,+81879612077,,https://www.morikuni.jp/,https://www.facebook.com/shodoshima.morikuni,https://www.instagram.com/morikunisakegura/,,34.479810,134.308850,,,sí,ecommerce,,791,en,,,,,,jp,shikoku,kagawa
ayakiku-shuzo-ayagawa,Ayakiku Shuzo,Ayagawa,Sake,"Kunishige, Choyo, Kukai no Michi rice shochu, yuzu liqueur","Yamadashimo 3393-1, Ayagawa",Brewery founded in 1790 in Ayagawa. Beyond sake it makes barrel-aged rice shochu and yuzu and quince liqueurs.,,+81878782222,,https://www.ayakiku.com/,,https://www.instagram.com/ayakiku.shuzo/,,34.249610,133.923030,,,no comprobado,,,90,en,,,,,,jp,shikoku,kagawa
yushin-shuzo-ayagawa,Yushin Shuzo,Ayagawa,Sake,"Artisan sake, Rice Power extract","Ono 2088-1, Ayagawa","Brewery founded in 1854 in Ayagawa, still brewing sake by hand and now with its own cosmetics line developed from fermented rice.",,,,http://www.yushin-brewer.com/,,,,34.249610,133.923030,,,no comprobado,,,1397,en,,,,,,jp,shikoku,kagawa
nishino-kinryo-kotohira,Nishino Kinryo,Kotohira,Sake,Kinryo,"Kotohira 623, Nakatado",Brewery working in Kotohira since 1789 and supplier of the ritual sake of the Konpira shrine. Own online shop.,,+81877734133,,https://www.nishino-kinryo.co.jp/,,https://www.instagram.com/kinryo_sake/,,34.191420,133.823310,,,sí,ecommerce,,870,en,,,,,,jp,shikoku,kagawa
kawatsuru-shuzo-kanonji,Kawatsuru Shuzo,Kanonji,Sake,Kawatsuru,,"Brewery founded in 1891 in Kanonji, by the Saita river, working with Kagawa rice and water from that basin.",,,,https://kawatsuru.com/,,,,34.128330,133.662780,,,no comprobado,,,549,en,,,,,,jp,shikoku,kagawa
maruo-honten-kotohira,Maruo Honten,Kotohira,Sake,"Yorokobi Gaijin, Homare Gaijin","Enai 93, Kotohira","Brewery founded in 1885 beside the Konpira shrine, producing the Yorokobi Gaijin label.",,+81877752045,,,,,,34.191420,133.823310,,pendiente,no comprobado,,,739,en,,,,,,jp,shikoku,kagawa
yamaroku-shoyu-shodoshima,Yamaroku Shoyu,Shodoshima,Condimentos,"Tsuru shoyu, Kiku shoyu, ponzu, Kiku tsuyu","Yasuda-ko 1607, Shodoshima",Soy sauce house of some 150 years that ferments in century-old cedar barrels. It revived the wooden-barrel trade and trains coopers for other workshops.,,+81879820666,,https://yama-roku.net/,https://www.facebook.com/yamaroku,https://www.instagram.com/yamaroku.shoyu/,,34.479810,134.308850,,,no comprobado,,,1354,en,,,,,,jp,shikoku,kagawa
shokin-shoyu-shodoshima,Shokin Shoyu,Shodoshima,Condimentos,"Barrel-aged soy sauce, ponzu, dashi concentrate","Umaki-ko 230, Shodoshima",Ferments in wooden barrels in the Umaki district. Also sells dashi concentrates and ponzu from its own shop.,,+81879820625,,https://shokinshoyu.jp/,,,,34.479810,134.308850,,,sí,ecommerce,,1120,en,,,,,,jp,shikoku,kagawa
yamasan-shoyu-shodoshima,Yamasan Shoyu,Shodoshima,Condimentos,"Black soybean soy sauce, JAS organic olive oil","Umaki-ko 142, Shodoshima","House on the island that combines the traditional method with its own olive oil, JAS organic certified since 2012.",,+81879821014,,https://yamasanshoyu.co.jp/,,,,34.479810,134.308850,,,sí,ecommerce,,1356,en,,,,,,jp,shikoku,kagawa
kinryo-shoyu-shodoshima,Kinryo Shoyu,Shodoshima,Condimentos,"Dashi shoyu, extra virgin olive oil, garlic oil","Umaki-ko 842-1, Shodoshima",Ferments in cedar barrels inside a century-old warehouse listed as cultural property. Also has its own olive grove.,,+81879823333,,https://kinryo-shoyu.co.jp/,,,,34.479810,134.308850,,,sí,ecommerce,,583,en,,,,,,jp,shikoku,kagawa
