slug,nombre,municipio,categoria,productos estrella,direccion,descripcion,horario,telefono,correo,web,Facebook,Instagram,Google Maps,lat,lon,imagen,verificacion,Venta online,Canal de venta,categorias adicionales,producer_id,descripcion_locale,visitas guiadas,mensaje a la comunidad,mensaje_comunidad_locale,enlace destacado 1,enlace destacado 2,country,region,area
caseificio-campitello-matese,Caseificio Campitello Matese,Bojano,Lácteos y quesos,"mozzarella, caciocavallo, burrata, ricotta, primosale, stracciata, formaggi affumicati","SS 647 Fondo Valle del Biferno, 86021 Bojano CB","Caseificio di Bojano fondato da Luigi Emilio Perrella nel 1983, che produce mozzarella e un’ampia gamma di formaggi tradizionali del Molise.",,+390874782909,info@caseificio.com,https://www.caseificiocampitellomatese.com/,,,https://www.google.com/maps/search/?api=1&query=Caseificio%20Campitello%20Matese%2C%20SS%20647%20Fondo%20Valle%20del%20Biferno%2C%2086021%20Bojano%20CB&query_place_id=ChIJjdBNtal6OhMRzt3bnBzwN4A,41.48333,14.46667,,,no comprobado,,,992,it,,,,,,it,molise,campobasso
caseificio-valle-verde,Caseificio Valle Verde,Bojano,Lácteos y quesos,"fior di latte, scamorza, formaggi appassiti e affumicati, ricotta, linea pizzeria","Via Molise 191, 86021 Bojano CB",Caseificio familiare Scinocca che produce formaggi freschi e stagionati a Bojano con il marchio Valle Verde.,Lun-Sáb 08:00-17:00,+390874782205,info@caseificiovalleverde.com,https://www.caseificiovalleverde.com/,,,https://www.google.com/maps/search/?api=1&query=Caseificio%20Valle%20Verde%2C%20Via%20Molise%20191%2C%2086021%20Bojano%20CB&query_place_id=ChIJ515KOwxwOhMROhwSWrzpNQ4,41.48333,14.46667,,,no comprobado,,,1478,it,,,,,,it,molise,campobasso
latticini-molisani-tamburro,Latticini Molisani Tamburro,Baranello,Lácteos y quesos,"fior di latte, mozzarella, burrata, latticini freschi","Contrada Crocella 2, 86011 Baranello CB","Caseificio di Baranello di tre generazioni, con stabilimento autorizzato e una gamma attuale a marchio proprio distribuita a clienti professionali in Italia e all'estero.",,,,,,,,41.53333,14.55,,pendiente,no comprobado,,,2474,it,,,,,,it,molise,campobasso
caseificio-valmolise,Caseificio Valmolise,Busso,Lácteos y quesos,"mozzarella, fiordilatte, bocconcini, treccia, Fiorone, caciocavallo molisano DOP, formaggi affumicati","Contrada La Caia snc, 86010 Busso CB",Il caseificio della famiglia Di Paola produce formaggi del marchio Valmolise con latte molisano dal 1957 e li distribuisce tramite punti vendita diretti e rivenditori.,Lun-Sáb 08:00-20:00,+390874348411,info@valmolise.it,https://www.caseificiovalmolise.it/,https://www.facebook.com/CaseificioValmolise/,https://www.instagram.com/caseificio_valmolise/,,41.55,14.55,,,no comprobado,,,1481,it,,,,,,it,molise,campobasso
antico-caseificio-monforte,Antico Caseificio Monforte,Campobasso,Lácteos y quesos,"fior di latte, burrino, ricotta, scamorza, mascarpone, caciocavallo, provola affumicata","Via Monforte 4, 86100 Campobasso CB",Il caseificio della famiglia Gianfagna produce e vende formaggi artigianali di latte molisano nello stesso laboratorio di Campobasso da tre generazioni.,Lun-Sáb 08:00-14:00 y 17:00-19:30,+390874415019,info@caseificiomonforte.it,https://www.caseificiomonforte.it/,,,https://www.google.com/maps/search/?api=1&query=Antico%20Caseificio%20Monforte%2C%20Via%20Monforte%204%2C%2086100%20Campobasso%20CB&query_place_id=ChIJn5T_ndJ0OhMRz4Mc4MM8Z1Q,41.561000,14.668400,,pendiente,no comprobado,,,180,it,,,,,,it,molise,campobasso
la-serra-molisana,La Serra Molisana,Busso,Lácteos y quesos,"Bussese, Montevairano, Castelmonforte, pecorino molisano, caciocavallo molisano","Via Gabriele Pepe 23, 86010 Busso CB","Azienda agricola fondata nel 2017 a Busso, che produce pecorini propri e caciocavallo molisano e li vende tramite il proprio negozio online ufficiale.",,+393899872263,it@laserramolisana.com,https://laserramolisana.it/,https://facebook.com/laserramolisana,https://instagram.com/laserramolisana.official,https://www.google.com/maps/search/?api=1&query=La%20Serra%20Molisana%2C%20Via%20Gabriele%20Pepe%2023%2C%2086010%20Busso%20CB&query_place_id=ChIJbxyaWx51OhMRP0AhlrpQWa4,41.55,14.55,,,sí,ecommerce,,2266,it,,,,,,it,molise,campobasso
fattoria-di-vaira,Fattoria Di Vaira,Petacciato,Lácteos y quesos,"formaggi biodinamici, vino, olio, miele, passata di pomodoro","Contrada Collecalcioni snc, 86038 Petacciato CB","Grande azienda biodinamica molisana che produce formaggi, vino, olio d'oliva, miele e conserve di pomodoro, con negozio aziendale e agriturismo.",,,fabio.cordella@fattoriadivaira.it,https://www.fattoriadivaira.it/,https://www.facebook.com/FattoriaDiVaira/,,https://www.google.com/maps/search/?api=1&query=Fattoria%20Di%20Vaira%2C%20Contrada%20Collecalcioni%20snc%2C%2086038%20Petacciato%20CB&query_place_id=ChIJf-njWnbPMBMRvhxzsOV1obA,42.01667,14.86667,,pendiente,no comprobado,,Vino|Aceite|Miel|Conservas,1753,it,,,,,,it,molise,campobasso
caseificio-rio-freddo,Caseificio Artigianale Rio Freddo,San Polo Matese,Lácteos y quesos,"fior di latte, treccia, stracciata, burrata, scamorza, caciotta, ricotta, caciocavallo, pecorino","Contrada Acqua Larga, Rio Freddo, 86020 San Polo Matese CB","Caseificio artigianale del Matese che trasforma il latte locale vaccino e ovino in formaggi freschi, stagionati e aromatizzati, con un secondo punto vendita a Bojano.",Lun-Sáb 08:30-13:00 y 16:30-19:00,+3908741866266,info@caseificioriofreddo.com,http://www.caseificioriofreddo.com/,,,https://www.google.com/maps/search/?api=1&query=Caseificio%20Artigianale%20Rio%20Freddo%2C%20Contrada%20Acqua%20Larga%2C%20Rio%20Freddo%2C%2086020%20San%20Polo%20Matese%20CB&query_place_id=ChIJ1f8JPyFwOhMR2GGLgb6wWOI,41.46667,14.5,,pendiente,no comprobado,,,952,it,,,,,,it,molise,campobasso
latteria-del-molise,Latteria del Molise,Mirabello Sannitico,Lácteos y quesos,"fior di latte, bocconcini, trecce, scamorze, ricotta, caciotta nostrana, burrata, stracciatella, burro","Contrada Piane, 86010 Mirabello Sannitico CB",Caseificio attivo dal 1956 che produce la gamma Mirabella di formaggi freschi e semistagionati e formati per la ristorazione con latte italiano nello stabilimento di Mirabello Sannitico.,Lun-Sáb 08:00-18:00; miércoles cerrado,+390874300037,info@latteriadelmolise.it,https://www.latteriadelmolise.it/,,,https://www.google.com/maps/search/?api=1&query=Latteria%20del%20Molise%2C%20Contrada%20Piane%2C%2086010%20Mirabello%20Sannitico%20CB&query_place_id=ChIJ4d61T7IMOhMRXLkI4ZxGpzQ,41.51667,14.66667,,,no comprobado,,,2335,it,,,,,,it,molise,campobasso
caseificio-perrella-diboiano,Caseificio Perrella - Diboiano,Bojano,Lácteos y quesos,"fior di latte, mozzarella, ciliegine, bocconcini, julienne, cubettato, filone, scamorza molisana","Via dei Sanniti 43, 86021 Bojano CB","Caseificio della famiglia Perrella, radicato a Bojano dal 1958; lo stabilimento Diboiano produce le linee di mozzarella 1958 Impasto Lento, Oasi Verde e Regina Diboiano.",,+390874772114,amministrazione@diboiano.it,https://www.caseificioperrella.it/,,,https://www.google.com/maps/search/?api=1&query=Caseificio%20Perrella%20-%20Diboiano%2C%20Via%20dei%20Sanniti%2043%2C%2086021%20Bojano%20CB&query_place_id=ChIJx87w8ghwOhMRVIzs1kLNqaI,41.48333,14.46667,,,no comprobado,,,1295,it,,,,,,it,molise,campobasso
