slug,nombre,municipio,categoria,productos estrella,direccion,descripcion,horario,telefono,correo,web,Facebook,Instagram,Google Maps,lat,lon,imagen,verificacion,Venta online,Canal de venta,categorias adicionales,producer_id,descripcion_locale,visitas guiadas,mensaje a la comunidad,mensaje_comunidad_locale,enlace destacado 1,enlace destacado 2,country,region,area
panificio-malatesta,Panificio Malatesta,Aulla,Pan y cereal,,,,,,,,,,,44.205106,10.002566,,pendiente,no comprobado,,,2854,,,,,,,it,toscana,massa-carrara
panificio-sorelle-renzi,Panificio Sorelle Renzi,Aulla,Pan y cereal,,,,,,,,,,,44.208659,9.970390,,pendiente,no comprobado,,,2907,,,,,,,it,toscana,massa-carrara
panificio-casoni,Panificio Casoni,Bagnone,Pan y cereal,,,,,,,,,,,44.314826,9.994435,,pendiente,no comprobado,,,2770,,,,,,,it,toscana,massa-carrara
panificio-porta,Panificio porta,Bagnone,Pan y cereal,,,,,,,,,,,44.315246,9.996011,,pendiente,no comprobado,,,2898,,,,,,,it,toscana,massa-carrara
il-forno-di-mussi,Il forno di Mussi,Carrara,Pan y cereal,,,,,,,,,,,44.039887,10.038765,,pendiente,no comprobado,,,2122,,,,,,,it,toscana,massa-carrara
panetteria-panificio-da-michael,Panetteria panificio da Michael,Carrara,Pan y cereal,,,,,,,,,,,44.037335,10.045846,,pendiente,no comprobado,,,2737,,,,,,,it,toscana,massa-carrara
panificio-bonaldi,Panificio Bonaldi,Carrara,Pan y cereal,,,,,,,,,,,44.039576,10.041657,,pendiente,no comprobado,,,2758,,,,,,,it,toscana,massa-carrara
panificio-bruzzi,Panificio Bruzzi,Carrara,Pan y cereal,,,,,,,,,,,44.079777,10.099190,,pendiente,no comprobado,,,2760,,,,,,,it,toscana,massa-carrara
panificio-cavalli,Panificio Cavalli,Carrara,Pan y cereal,,,,,,,,,,,44.038150,10.045331,,pendiente,no comprobado,,,2771,,,,,,,it,toscana,massa-carrara
panificio-cucurnia,Panificio Cucurnia,Carrara,Pan y cereal,,,,,,,,,,,44.045579,10.064747,,pendiente,no comprobado,,,2788,,,,,,,it,toscana,massa-carrara
