slug,nombre,municipio,categoria,productos estrella,direccion,descripcion,horario,telefono,correo,web,Facebook,Instagram,Google Maps,lat,lon,imagen,verificacion,Venta online,Canal de venta,categorias adicionales,producer_id,descripcion_locale,visitas guiadas,mensaje a la comunidad,mensaje_comunidad_locale,enlace destacado 1,enlace destacado 2,country,region,area
always-growing-upchurch-farms-llc,Always Growing Upchurch Farms LLC,Lillington,Fruta y verdura,,"2204 U.S. 401, Lillington, NC, USA",Always Growing Upchurch Farms grows fresh vegetables in Lillington using family-taught methods and an old-style garden approach.,,+19105147157,,,https://www.facebook.com/profile.php?id=100081667260439,,,,,,pendiente,no comprobado,,,117,en,,,,https://www.localharvest.org/always-growing-upchurch-farms-llc-M84718,,us,south-atlantic,north-carolina
anders-family-farms-llc,"Anders Family Farms, LLC",Tobaccoville,Fruta y verdura,,"7495 Ridge Road, Tobaccoville, NC, USA","Anders Family Farms grows hydroponic lettuces, greens, and microgreens in Tobaccoville for its farm store, markets, and online customers.",,+13364627196,andersfamilyfarm@outlook.com,https://andersfamilyfarms.com/,,,,,,/productores/us/south-atlantic/north-carolina/anders-family-farms-llc.webp,pendiente,sí,ecommerce,,134,en,,,,,,us,south-atlantic,north-carolina
asheville-farm,Asheville Farm,Leicester,Carne,"free-range chicken, eggs, seasonal crops","43 Bright Blue Sky Lane, Leicester, NC 28748","Asheville Farm raises free-range, organically fed chickens and sells farm-fresh eggs alongside year-round crops.",,,,,,,,,,,pendiente,no comprobado,,,198,en,,,,,,us,south-atlantic,north-carolina
blessed-berries-llc,"Blessed Berries, LLC",Littleton,Fruta y verdura,berries,"520 Eaton Ferry Road, Littleton, NC 27850",Blessed Berries grows berries for pick-your-own visits and sells pre-picked fruit from its Littleton farm stand.,,,,,,,,,,,pendiente,no comprobado,,,455,en,,,,,,us,south-atlantic,north-carolina
blueberry-hill-u-pick,Blueberry Hill U-Pick,Sanford,Fruta y verdura,"blueberries, blackberries","3122 White Hill Road, Sanford, NC 27332",Blueberry Hill U-Pick grows blueberries and blackberries for seasonal picking and farm-stand sales in Sanford.,,,,,,,,,,,pendiente,no comprobado,,,493,en,,,,,,us,south-atlantic,north-carolina
cates-corner-farm,Cates Corner Farm,Hillsborough,Fruta y verdura,strawberries,"6020 Union Grove Church Rd, Hillsborough, NC 27278",Cates Corner Farm grows strawberries for pick-your-own visits and operates a Hillsborough farm stand.,,,,,,,,,,,pendiente,no comprobado,,,727,en,,,,,,us,south-atlantic,north-carolina
deep-roots-cps-farm,Deep Roots CPS Farm,Charlotte,Miel,"seasonal vegetables, herbs, fruit, eggs, meat","2401 Primm Road, Charlotte, NC, USA","Deep Roots CPS Farm grows seasonal vegetables, herbs, and fruit while raising goats, ducks, and chickens for eggs and meat.",,,,,,,,,,,pendiente,sí,ecommerce,,1028,en,,,,,,us,south-atlantic,north-carolina
fading-d-farm,Fading D Farm,Salisbury,Lácteos y quesos,"mozzarella di bufala, gelato, ricotta","295 Fading D Farm Road, Salisbury, NC, USA","Fading D Farm is a water-buffalo dairy and farmstead creamery making mozzarella di bufala, gelato, ricotta, and cultured dairy products.",,+19803308189,fadingdfarm@gmail.com,https://www.fadingdfarm.com/,,,,,,,pendiente,no comprobado,,,1215,en,,,,,,us,south-atlantic,north-carolina
fourtee-farms,FourTee Farms,Angier,Fruta y verdura,"peaches, sweet corn, seasonal vegetables","Massengill Pond Rd, Angier, NC, USA","Fourtee Farms grows peaches, sweet corn, and other seasonal vegetables at its orchard in North Carolina.",,,,,,,,,,,pendiente,no comprobado,,,1332,en,,,,,,us,south-atlantic,north-carolina
highland-brewing-company,Highland Brewing Company,Asheville,Cerveza,craft beer,,Highland Brewing Company brews beer at its Asheville operation and sells its beers through the brewery.,,,,https://highlandbrewing.com/,https://www.facebook.com/HighlandBrewingCompany/,https://www.instagram.com/highlandbrewing/,,,,/productores/us/south-atlantic/north-carolina/highland-brewing-company.webp,pendiente,sí,ecommerce,,1642,en,,,,,,us,south-atlantic,north-carolina
