slug,nombre,municipio,categoria,productos estrella,direccion,descripcion,horario,telefono,correo,web,Facebook,Instagram,Google Maps,lat,lon,imagen,verificacion,Venta online,Canal de venta,categorias adicionales,producer_id,descripcion_locale,visitas guiadas,mensaje a la comunidad,mensaje_comunidad_locale,enlace destacado 1,enlace destacado 2,country,region,area
arza-vinicola,Arzà Vinicola,Bolano,Vino,,,,,,,,,,,44.167854,9.892054,,pendiente,no comprobado,,,219,,,,,,,it,liguria,la-spezia
il-torchio,il Torchio,Castelnuovo Magra,Otros,,,,,,,,,,,44.097923,10.009405,,pendiente,no comprobado,,,2147,,,,,,,it,liguria,la-spezia
condi,Condì,Castelnuovo Magra,Condimentos,"pesto alla genovese, salsa di noci, sughi e condimenti","Via Salicello, 74/bis, 19033 Castelnuovo Magra SP",Azienda alimentare che produce pesto alla genovese e altre salse e condimenti nella propria unità di Castelnuovo Magra.,,,,,,,,44.09937,10.01779,,pendiente,no comprobado,,,1561,it,,,,,,it,liguria,la-spezia
i-formaggi-della-val-di-vara,I Formaggi della Val di Vara,Varese Ligure,Lácteos y quesos,"Valdivà, Stagionato de Vaise, Ugo e Luigia, Primo Fiore, ricotta","Località Perazza, 1, 19028 Varese Ligure SP",Azienda lattiero-casearia attuale della Val di Vara che gestisce lo stabilimento autorizzato Perazza e presenta i propri formaggi negli eventi enogastronomici regionali.,,+390187840507,,,,,https://www.google.com/maps/search/?api=1&query=I%20Formaggi%20della%20Val%20di%20Vara%2C%20Localit%C3%A0%20Perazza%2C%201%2C%2019028%20Varese%20Ligure%20SP&query_place_id=ChIJV_bE2SjB1BIRaFLmTK3b4NM,44.37813,9.59582,,pendiente,no comprobado,,,2077,it,,,,,,it,liguria,la-spezia
valerio-s-bakery,Valerio's Bakery,Santo Stefano di Magra,Pan y cereal,,,,,,,,,,,44.160822,9.915421,,pendiente,no comprobado,,,3327,,,,,,,it,liguria,la-spezia
macelleria-baracchini,Macelleria Baracchini,Sarzana,Carne,,,,,,,,,,,44.090861,9.996843,,pendiente,no comprobado,,,2532,,,,,,,it,liguria,la-spezia
pian-della-chiesa,Pian della Chiesa,Lerici,Vino,vino biologico,"Località Zanego 44, 19032 Lerici SP",,,,info@piandellachiesa.com,https://piandellachiesa.com/it,https://www.facebook.com/piandellachiesa,https://www.instagram.com/piandellachiesa,https://www.google.com/maps/search/?api=1&query=Pian%20della%20Chiesa%2C%20Localit%C3%A0%20Zanego%2044%2C%2019032%20Lerici%20SP&query_place_id=ChIJNynBzuwD1RIR_zBjHPi-Bfc,44.0620567,9.945452699999999,,,sí,ecommerce,,2953,,,,,,,it,liguria,la-spezia
taverna-del-vara,Taverna del Vara,Maissana,Cerveza,birra artigianale,"Via Provinciale, 65, 19010 Torza SP",,,+391871874112,info@tavernadelvara.it,https://www.tavernadelvara.it/,,,https://www.google.com/maps/search/?api=1&query=44.3046188%2C9.5662565&query_place_id=ChIJCR21uhjA1BIRvFGfBsWt544,44.3046188,9.5662565,,,sí,ecommerce,,3235,,,,,,,it,liguria,la-spezia
lucchi-e-guastalli-srl,LUCCHI E GUASTALLI SRL,Santo Stefano di Magra,Aceite,Olio extravergine di oliva Riviera Ligure DOP,Via Vincinella 13/6 19037 Santo Stefano di Magra (SP),LUCCHI E GUASTALLI SRL produce olio extravergine d'oliva Riviera Ligure DOP certificato a Santo Stefano di Magra.,,+390187633329,info@lucchieguastalli.com,http://www.frantoiolg.com,,,https://www.google.com/maps/search/?api=1&query=LUCCHI%20E%20GUASTALLI%20SRL%2C%20Via%20Vincinella%2013%2F6%2019037%20Santo%20Stefano%20di%20Magra%20%28SP%29&query_place_id=ChIJC2h0Km8d1RIR4Bqjp4dYtKI,44.1429405,9.9157362,,,no comprobado,,,2523,it,,,,,,it,liguria,la-spezia
azienda-agricola-francesco-currarino,AZIENDA AGRICOLA FRANCESCO CURRARINO,Levanto,Aceite,Olio extravergine di oliva Riviera Ligure DOP,Loc. Marona snc 19015 Levanto (SP),AZIENDA AGRICOLA FRANCESCO CURRARINO produce olio extravergine di oliva Riviera Ligure DOP certificato a Levanto.,,+393404639038,dottagrcurrarino@hotmail.it,,,,,44.1716816,9.6355665,,pendiente,no comprobado,,,354,it,,,,,,it,liguria,la-spezia
frantoio-e-molino-ambrosini-roberto,FRANTOIO E MOLINO AMBROSINI ROBERTO,Sarzana,Aceite,Olio extravergine di oliva Riviera Ligure DOP,Via dei Molini 396 19038 Sarzana (SP),FRANTOIO E MOLINO AMBROSINI ROBERTO produce olio extravergine d'oliva Riviera Ligure DOP certificato a Sarzana.,,+390187620453,ambrosiniolio@libero.it,http://www.frantoioambrosini.com,,,https://www.google.com/maps/search/?api=1&query=44.1318503%2C9.9778185&query_place_id=ChIJyb6ufL0c1RIR_a3H2-GzZeA,44.1318503,9.9778185,,,no comprobado,,,1946,it,,,,,,it,liguria,la-spezia
caseificio-esposito-erasmo,Caseificio Esposito Erasmo,Brugnato,Lácteos y quesos,"mozzarella, caciotta, ricotta, scamorza, formaggi freschi e stagionati","Via Regurone 5, 19020 Brugnato SP","Caseificio familiare fondato nel 1956 in Val di Vara, che produce mozzarella, caciotta, ricotta e formaggi freschi e stagionati per il proprio negozio e i rivenditori regionali.",,+390187894103,esposito@caseificioesposito.com,https://www.caseificioesposito.com/,,,https://www.google.com/maps/search/?api=1&query=Caseificio%20Esposito%20Erasmo%2C%20Via%20Regurone%205%2C%2019020%20Brugnato%20SP&query_place_id=ChIJuSgFQTPk1BIRU6FyneBibqs,44.23573188681,9.728784575001,,,no comprobado,,,1100,it,,,,,,it,liguria,la-spezia
zanini-alimentare-varese-ligure,Zanini Alimentare — Varese Ligure,Varese Ligure,Lácteos y quesos,yogurt biologico Bio Bontà di Varese Ligure,"Località Pivazzano, San Pietro Vara, 19028 Varese Ligure SP",Lo stabilimento lattiero-caseario di Zanini Alimentare a Varese Ligure produce yogurt biologico Bio Bontà con latte vaccino italiano.,,+390187631340,info@zaninialimentare.com,https://www.zaninialimentare.com/,,,https://www.google.com/maps/search/?api=1&query=Zanini%20Alimentare%20%E2%80%94%20Varese%20Ligure%2C%20Localit%C3%A0%20Pivazzano%2C%20San%20Pietro%20Vara%2C%2019028%20Varese%20Ligure%20SP&query_place_id=ChIJ64557mfB1BIRLAJFPLgyUPw,44.340746527487,9.590625672493,,,no comprobado,,,3370,it,,,,,,it,liguria,la-spezia
