slug,nombre,municipio,categoria,productos estrella,direccion,descripcion,horario,telefono,correo,web,Facebook,Instagram,Google Maps,lat,lon,imagen,verificacion,Venta online,Canal de venta,categorias adicionales,producer_id,descripcion_locale,visitas guiadas,mensaje a la comunidad,mensaje_comunidad_locale,enlace destacado 1,enlace destacado 2,country,region,area
5-rider-s-farm,5 Rider 's Farm,Orange,Huevos,,"3849 Twymans Mill Road, Orange, VA 22960","5 Rider's Farm grows seasonal fruits and vegetables and sells eggs, baked goods, jams and jellies from its farm market in Orange, Virginia.",,,,,,,,,,,pendiente,no comprobado,,,29,en,,,,,,us,south-atlantic,virginia
auburnlea-farms,Auburnlea Farms,Gladys,Carne,,"5500 Mollies Creek Road, Gladys, VA 24554","Based in Gladys, Virginia, Auburnlea Farms offers seasonal produce, eggs and baked goods through its farm market.",,,,,,,,,,,pendiente,no comprobado,,,213,en,,,,,,us,south-atlantic,virginia
barracks-road-farm-market,Barracks Road Farm Market,Charlottesville,Fruta y verdura,,"2775 Barracks Road, Charlottesville, VA, USA","Barracks Road Farm Market in Charlottesville features local fruits, vegetables and other local goods.",,,,,,,,,,,pendiente,no comprobado,,,277,en,,,,,,us,south-atlantic,virginia
endless-view-farms,Endless View Farms,Crimora,Fruta y verdura,,"2513 Rockfish Rd, Crimora, VA 24431","Endless View Farms operates a farm market and agritourism venue in Crimora, Virginia.",,,,,,,,,,,pendiente,no comprobado,,,1184,en,,,,,,us,south-atlantic,virginia
farmer-john-s-wayside-stand,Farmer John's Wayside Stand,Leesburg,Fruta y verdura,,"15520 James Monroe Highway, Leesburg, VA 20176","Farmer John's Wayside Stand sells seasonal produce in Leesburg, Virginia.",,,,,,,,,,,pendiente,no comprobado,,,1237,en,,,,,,us,south-atlantic,virginia
fox-urban-farms,Fox Urban Farms,Winchester,Fruta y verdura,,,"Fox Urban Farms is an urban farm in Winchester, Virginia.",,,,,,,,,,,pendiente,no comprobado,,,1337,en,,,,,,us,south-atlantic,virginia
gruntngobbles-farm,Gruntngobbles Farm,Scottsville,Fruta y verdura,,"1366 Hundley Branch Road, Scottsville, VA 24590","Gruntngobbles Farm grows blueberries and operates a farm stand in Scottsville, Virginia.",,,,,,,,,,,pendiente,no comprobado,,,1512,en,,,,,,us,south-atlantic,virginia
here-we-grow-farmstead,Here We Grow Farmstead,Amherst,Destilados y licores,,"611 Hartless Rd, Amherst, VA, USA","Here We Grow Farmstead offers farm-made goods and agritourism in Amherst, Virginia.",,,,,,,,,,,pendiente,no comprobado,,,1606,en,,,,,,us,south-atlantic,virginia
kinloch-farm,Kinloch Farm,The Plains,Carne,,"4559 Old Tavern Road, The Plains, VA, USA 20198","Kinloch Farm raises grass-fed beef and raw honey in The Plains, Virginia; its store also carries products from other Virginia producers.",,,,https://kinlochfarm.com/,,,,,,,pendiente,sí,ecommerce,Miel,1914,en,,,,,,us,south-atlantic,virginia
layman-family-farms-llc,"Layman Family Farms, LLC",Blue Ridge,Fruta y verdura,,"1815 Mountain View Church Road, Blue Ridge, VA 24064","Layman Family Farms operates a farm market and seasonal agritourism events in Blue Ridge, Virginia.",,,,,,,,,,,pendiente,no comprobado,,,2000,en,,,,,,us,south-atlantic,virginia
