slug,nombre,municipio,categoria,productos estrella,direccion,descripcion,horario,telefono,correo,web,Facebook,Instagram,Google Maps,lat,lon,imagen,verificacion,Venta online,Canal de venta,categorias adicionales,producer_id,descripcion_locale,visitas guiadas,mensaje a la comunidad,mensaje_comunidad_locale,enlace destacado 1,enlace destacado 2,country,region,area
h-forman-and-son,H. Forman & Son,London,Pescado,London Cure smoked salmon,"Stour Road, Fish Island, London E3 2NT",Smokehouse on the River Lea curing and smoking salmon in London since 1905.,,,info@formans.co.uk,https://www.formans.co.uk/,https://www.facebook.com/hformanandson,https://www.instagram.com/hformanandson,,51.539294,-0.021307,,pendiente,no comprobado,,,283,en,,,,,,gb,london,greater-london
la-latteria,La Latteria,London,Lácteos y quesos,"fior di latte, burrata, stracciatella, ricotta","5-7 Cumberland Business Park, Cumberland Avenue, London, NW10 7RT","London dairy making fresh Southern Italian-style cheeses to order from British cow's milk, including fior di latte, burrata, stracciatella and ricotta.",,+447469931390,info@lalatteria.co.uk,https://www.lalatteria.co.uk/,,,,51.529672,-0.277865,,,sí,ecommerce,,372,en,,,,,,gb,london,greater-london
bone-idyll-distillery,Bone Idyll Distillery,Kingston upon Thames,Destilados y licores,"gin, vodka, rum liqueur","2 Water Lane, Kingston upon Thames, KT1 1AE",Working Kingston distillery producing Bone Idyll spirits and running its own gin school and distillery bar.,,,hello@boneidyll.co.uk,https://www.boneidyll.co.uk/,,,,51.412605,-0.307304,,,sí,ecommerce,,75,en,,,,,,gb,london,greater-london
brixton-brewery,Brixton Brewery,Lambeth,Cerveza,"Coldharbour Lager, Reliance Pale Ale, Atlantic IPA","Arch 547, Brixton Station Road, London, SW9 8PF","Brixton brewery producing a core and limited-edition range of lagers, pale ales and IPAs at its railway-arch brewhouse.",,+442036098880,info@brixtonbrewery.com,https://brixtonbrewery.com/,,,,51.463475,-0.109544,,,sí,ecommerce,,91,en,,,,,,gb,london,greater-london
bohem-brewery,Bohem Brewery,Haringey,Cerveza,"Amos Czech Pilsner, Sparta amber lager, Nicholas black lager","Unit 5, Littleline House, 43 West Road, Tottenham, London, N17 0RE",Tottenham brewery run by Czech brewers and dedicated to traditional Bohemian-style lagers made by decoction on bespoke equipment.,,+447843773243,ask.us@bohembrewery.com,https://www.bohembrewery.com/,,,,51.607263,-0.058649,,,no comprobado,,,72,en,,,,,,gb,london,greater-london
ignition-brewery,Ignition Brewery,Lewisham,Cerveza,"Sydenham Best, Jump Start IPA, South of the River","44A Sydenham Road, London, SE26 5QF",Sydenham social-enterprise brewery making unfiltered and unpasteurised beers in the brewhouse beside its taproom.,,,hello@ignition.beer,https://www.ignition.beer/,,,,51.425936,-0.051742,,,no comprobado,,,325,en,,,,,,gb,london,greater-london
perivale-brewery,Perivale Brewery,Ealing,Cerveza,"Perivale Pale, Horsenden Pale, Black Horse Porter","Horsenden Farm, Horsenden Lane North, Greenford, UB6 7PQ",Independent farm-based brewery producing its own small-batch beers at Horsenden Farm in Perivale.,,,brewery@perivale.beer,https://www.perivale.beer/,,,,51.543407,-0.324071,,,sí,ecommerce,,506,en,,,,,,gb,london,greater-london
portobello-brewing,Portobello Brewing,Hammersmith and Fulham,Cerveza,"London Pilsner, Market Porter, Star","Unit 6, Mitre Bridge Industrial Estate, Mitre Way, London, W10 6AU","West London brewery making year-round keg, cask and packaged beers alongside seasonal releases.",,+442089692269,enquiries@portobellobrewing.com,https://www.portobellobrewing.com/,,,,51.524320,-0.231173,,,no comprobado,,,522,en,,,,,,gb,london,greater-london
pressure-drop-brewing,Pressure Drop Brewing,Haringey,Cerveza,"Pale Fire, Bosko IPA, Alligator Tugboat","Unit 6, Lockwood Industrial Park, Mill Mead Road, Tottenham, London, N17 9QP",Independent Tottenham brewery producing fresh beers at its Lockwood Industrial Park brewhouse and taproom.,,,taproom@pressuredropbrewing.co.uk,https://pressuredropbrewing.co.uk/,,,,51.590763,-0.057100,,,sí,ecommerce,,527,en,,,,,,gb,london,greater-london
40ft-brewery,40ft Brewery,Hackney,Cerveza,,"THE PRINT HOUSE ASHWIN STREET, Hackney, London, E8 3DL",,,,sales@40ftbrewery.com,https://40ftbrewery.com/,,https://www.instagram.com/40ftbrewery,,53.152,-1.57,,pendiente,no comprobado,,,3,,,,,,,gb,london,greater-london
