slug,nombre,municipio,categoria,productos estrella,direccion,descripcion,horario,telefono,correo,web,Facebook,Instagram,Google Maps,lat,lon,imagen,verificacion,Venta online,Canal de venta,categorias adicionales,producer_id,descripcion_locale,visitas guiadas,mensaje a la comunidad,mensaje_comunidad_locale,enlace destacado 1,enlace destacado 2,country,region,area
bamobu,Bamobu,Tshikota,Otros,,Plot 877 Leeukraal,,,+27135180468,info@bamobu.com,http://bamobu.com/,https://www.facebook.com/436486192885962,,,-23.0333,29.85,,pendiente,no comprobado,,,72,,,,,,,za,limpopo,vhembe
cupcake-corner,CupCake Corner,Thohoyandou,Pan y cereal,pan y productos de cereal,Thavhani mall,,,+27825625042,info@cupcakecorner.co.za,https://www.cupcakecorner.co.za/,https://www.facebook.com/808682612532813,,,-22.983898,30.4622567,,pendiente,no comprobado,,,218,,,,,,,za,limpopo,vhembe
della-queens-bakery-pty-ltd,Della Queens Bakery Pty Ltd,Makhado,Pan y cereal,pan y productos de cereal,"201D, Mudimeli Village, Nzhelele; Venda",,,+27794544360,41848578@mylife.unisa.ac.za,http://www.dellaqueensbd.co.za/,https://www.facebook.com/301781630007730,,,-22.9818835,29.9381518,,pendiente,no comprobado,,,239,,,,,,,za,limpopo,vhembe
dimaks-chicken-pty-ltd,Dimaks Chicken Pty Ltd,Malamulele,Carne,,"Stand no. 61 Gondeni Sterkstroom, Tsini Na Ha-Muraga Along Punda Maria Road R524",,,+27844672031,mangy5689@gmail.com,,https://www.facebook.com/109279547339738,,,-22.9039681,30.6575329,,pendiente,no comprobado,,,255,,,,,,,za,limpopo,vhembe
fhedzandala-poultry,Fhedzandala Poultry,Thulamela,Carne,,under 1st step accomodation Tshisahulu,,,+27825674266,,,https://www.facebook.com/108087631529444,,,-23.0023818,30.4085659,,pendiente,no comprobado,,,333,,,,,,,za,limpopo,vhembe
jiggies-poultry-farm-pty-ltd,Jiggies Poultry Farm Pty LTD,Thohoyandou,Carne,,Vyeboom stand 58 Ha-mashavhela,,,+27799305374,walter.jiggies@gmail.com,,https://www.facebook.com/797280147130745,,,-23.1431831,30.3964125,,pendiente,no comprobado,,,441,,,,,,,za,limpopo,vhembe
kte-bread-and-cakes,KTE Bread and CAKES,Thohoyandou,Pan y cereal,pan y productos de cereal,Shop no 7  Goshya Complex.  Post office Street Thohoyandou,,,+27649524898,ktebreadandcakes@gmail.com,,https://www.facebook.com/237599732759093,,,-22.9754492,30.462727,,pendiente,no comprobado,,,488,,,,,,,za,limpopo,vhembe
limpopo-dairies,Limpopo Dairies,Makhado,Otros,,,,,+27155195400,limpopodairy@gmail.com,http://www.limpopodairy.co.za/,https://www.facebook.com/983457028409052,,,-23.1079311,29.8347135,,pendiente,no comprobado,,,517,,,,,,,za,limpopo,vhembe
mfeg-poultry-khuhu,MFEG Poultry - Khuhu,Fondwe,Carne,,Ondolisa Enterprise Street Nzhelele,,,+27728212763,mfegpoultry@gmail.com,https://mfegpoultry.co.za/,https://www.facebook.com/113616928199504,,,-22.9482769,30.1478577,,pendiente,no comprobado,,,592,,,,,,,za,limpopo,vhembe
mosefuwa-agricultural-farm-holdings-gogobole,"Mosefuwa Agricultural & Farm Holdings"" Gogobole",Makhado,Carne,,Gogobole Village,,,,,,https://www.facebook.com/256493521727350,,,-23.0709051,29.7732754,,pendiente,no comprobado,,,620,,,,,,,za,limpopo,vhembe
