slug,nombre,municipio,categoria,productos estrella,direccion,descripcion,horario,telefono,correo,web,Facebook,Instagram,Google Maps,lat,lon,imagen,verificacion,Venta online,Canal de venta,categorias adicionales,producer_id,descripcion_locale,visitas guiadas,mensaje a la comunidad,mensaje_comunidad_locale,enlace destacado 1,enlace destacado 2,country,region,area
cantina-bissoni,Cantina Bissoni,Bertinoro,Vino,vini biologici di Bertinoro,"Via Collecchio, 280, 47032 Bertinoro FC",,,,,https://vinibissoni.com/,,,https://www.google.com/maps/search/?api=1&query=Cantina%20Bissoni%2C%20Via%20Collecchio%2C%20280%2C%2047032%20Bertinoro%20FC&query_place_id=ChIJZzvLBCCnLBMRJfC6Haeohro,44.148680999999996,12.11683,,,no comprobado,,,770,,,,,,,it,emilia-romagna,forli-cesena
birrificio-mazapegul,Birrificio Mazapegul,Civitella di Romagna,Cerveza,birra artigianale,"Via Ferruccio Parri, 2, 47012 Civitella di Romagna FC",,,+393760130942,info@mazapegul.it,https://www.mazapegul.it/it/,,,https://www.google.com/maps/search/?api=1&query=44.0112%2C11.953169&query_place_id=ChIJ8cKvloVmKxMRSEfN3MFXLs0,44.0112,11.953169,,,sí,ecommerce,,638,,,,,,,it,emilia-romagna,forli-cesena
caseificio-mambelli,Caseificio Mambelli,Bertinoro,Lácteos y quesos,"Squacquerone di Romagna DOP, ricotta di Romagna, caciotta, casatella, ravigiolo","Via Ceredi 1402, 47032 Santa Maria Nuova di Bertinoro FC","Caseificio familiare che produce formaggi freschi e di breve stagionatura della Romagna, con latte vaccino locale e metodi tradizionali.",Mon-Fri 08:00-18:30; Sat 08:00-12:30 and 15:00-19:00,+390543440936,ordini@mambelli.com,https://www.mambelli.com/it/,,,https://www.google.com/maps/search/?api=1&query=Caseificio%20Mambelli%2C%20Via%20Ceredi%201402%2C%2047032%20Santa%20Maria%20Nuova%20di%20Bertinoro%20FC&query_place_id=ChIJex8nWv-lLBMR6e1ZzXgBp8E,44.2004044,12.167776,,,sí,ecommerce,,1232,it,,,,,,it,emilia-romagna,forli-cesena
bottega-sadurano,Bottega Sadurano — caseificio CTA,Castrocaro Terme e Terra del Sole,Lácteos y quesos,"Formaggi biologici vaccini, caprini e ovini, ricotta","Via Sadurano 27, 47011 Castrocaro Terme e Terra del Sole FC","CTA azienda agricola e caseificio che trasforma il proprio latte biologico di vacca, capra e pecora in formaggi freschi e stagionati.",,,,https://www.coopcta.com/bottega/,,,,44.1645948,11.9467577,,,no comprobado,,,688,it,,,,,,it,emilia-romagna,forli-cesena
chef-service,Chef Service,Forlì,Conservas,"Confetture biologiche, succhi, paté, sughi, sottoli","Via del Braldo 21/B, 47121 Forlì FC","Azienda familiare produttrice di alimenti che prepara conserve biologiche, composte di frutta, succhi, salse, pâté e specialità senza glutine.",Mon-Fri 08:30-17:30; Sat 09:00-12:00 Jun-Sep,+390543754083,info@chefservice.it,https://www.chefservice.it/,,,https://www.google.com/maps/search/?api=1&query=Chef%20Service%2C%20Via%20del%20Braldo%2021%2FB%2C%2047121%20Forl%C3%AC%20FC&query_place_id=ChIJx1iQ5zRXKxMRnTeX-hTcfxM,44.2216051,11.972623,,,sí,ecommerce,,1527,it,,,,,,it,emilia-romagna,forli-cesena
l-antica-cascina-forli,L'Antica Cascina — stabilimento di Forlì,Forlì,Lácteos y quesos,"Pecorini, Squacquerone di Romagna, ricotta, Formaggio di Fossa di Sogliano DOP","Via Campo dei Fiori 2, 47122 Forlì FC",Stabilimento lattiero-caseario principale che produce e stagiona formaggi tradizionali romagnoli con latte italiano.,,+390543722442,servizio.clienti@anticacascina.com,http://www.anticacascina.com/,,,https://www.google.com/maps/search/?api=1&query=L%27Antica%20Cascina%20%E2%80%94%20stabilimento%20di%20Forl%C3%AC%2C%20Via%20Campo%20dei%20Fiori%202%2C%2047122%20Forl%C3%AC%20FC&query_place_id=ChIJf2E9B9upLBMRS0JMPUkw6bE,44.2588092,12.0801841,,,no comprobado,,,2184,it,,,,,,it,emilia-romagna,forli-cesena
cafar-longiano,CAFAR — stabilimento di Longiano,Longiano,Carne,"Pollo fresco, cotolette, crocchette, cordon bleu, porchetta, ribs","Via Olmadella 1290, Località Budrio, 47020 Longiano FC","Cooperativa avicola romagnola che lavora prodotti freschi, surgelati, impanati e cotti a base di pollo nello stabilimento di Longiano.",,,,https://www.cafar.coop/,,,,44.0942103,12.3403588,,,no comprobado,,Comida preparada,736,it,,,,,,it,emilia-romagna,forli-cesena
caseificio-pascoli,Caseificio Pascoli,Savignano sul Rubicone,Lácteos y quesos,"Squacquerone di Romagna DOP, Formaggio di Fossa di Sogliano DOP, mozzarella, pecorino, ricotta","Via Rubicone Destro 220, 47039 Savignano sul Rubicone FC",Caseificio familiare che produce formaggi freschi e stagionati della Romagna con latte italiano locale.,,+390541945732,info@caseificiopascoli.it,https://www.caseificiopascoli.it/,,,https://www.google.com/maps/search/?api=1&query=Caseificio%20Pascoli%2C%20Via%20Rubicone%20Destro%20220%2C%2047039%20Savignano%20sul%20Rubicone%20FC&query_place_id=ChIJNSIwQC2_LBMR2LMgxUAkX3U,44.0951852,12.4042347,,,no comprobado,,,1290,it,,,,,,it,emilia-romagna,forli-cesena
fossa-pellegrini,Fossa Pellegrini,Sogliano al Rubicone,Lácteos y quesos,"Formaggio di Fossa di Sogliano DOP, pecorino di fossa, formaggi misti affinati","Via Le Greppe 14, 47030 Sogliano al Rubicone FC",Storico produttore familiare e affinatore che fa maturare formaggi selezionati in fosse medievali di arenaria.,,+390541948542,fossapellegrini@formaggiodifossa.it,https://www.formaggiodifossa.it/,,,https://www.google.com/maps/search/?api=1&query=Fossa%20Pellegrini%2C%20Via%20Le%20Greppe%2014%2C%2047030%20Sogliano%20al%20Rubicone%20FC&query_place_id=ChIJv0kRw1KWLBMRxmCbl-khAO4,44.0055352,12.3022113,,,no comprobado,,,1933,it,,,,,,it,emilia-romagna,forli-cesena
l-antica-cascina-sogliano,L'Antica Cascina — stabilimento di Sogliano,Sogliano al Rubicone,Lácteos y quesos,"Pecorini affinati, Formaggio di Fossa di Sogliano DOP","Via Montepetra Cà di Cecco 27/D, 47030 Sogliano al Rubicone FC",Unità produttiva e di stagionatura separata de L'Antica Cascina nel territorio del Formaggio di Fossa.,,+390543722442,servizio.clienti@anticacascina.com,http://www.anticacascina.com/,,,https://www.google.com/maps/search/?api=1&query=L%27Antica%20Cascina%20%E2%80%94%20stabilimento%20di%20Sogliano%2C%20Via%20Montepetra%20C%C3%A0%20di%20Cecco%2027%2FD%2C%2047030%20Sogliano%20al%20Rubicone%20FC&query_place_id=ChIJ935K4oGbLBMR1-IxjUjn2ok,43.9295974,12.195552,,pendiente,no comprobado,,,2185,it,,,,,,it,emilia-romagna,forli-cesena
