slug,nombre,municipio,categoria,productos estrella,direccion,descripcion,horario,telefono,correo,web,Facebook,Instagram,Google Maps,lat,lon,imagen,verificacion,Venta online,Canal de venta,categorias adicionales,producer_id,descripcion_locale,visitas guiadas,mensaje a la comunidad,mensaje_comunidad_locale,enlace destacado 1,enlace destacado 2,country,region,area
tsuruoka-beikoku-shogyo-kyodo-kumiai-tsuruoka,Tsuruoka Beikoku Shogyo Kyodo Kumiai,Tsuruoka,Pan y cereal,Shonai rice,,,,,,https://www.komenoshonai.or.jp/,,,,38.585000,139.808330,,pendiente,no comprobado,,,1282,,,,,,,jp,tohoku,yamagata
dewazakura-shuzo-tendo,Dewazakura Shuzo,Tendo,Sake,"Oka Ginjo, Yukimegami, Dewasansan, Karesansui","Ichinichimachi 1-4-6, Tendo",Tendo brewery whose Oka Ginjo dates from 1980. Works Yamagata's own rice varieties and has its own online shop.,,+81236535121,,https://www.dewazakura.co.jp/,https://www.facebook.com/DewazakuraSakeBrewery,https://www.instagram.com/dewazakura_sake/,,38.362110,140.378440,,,sí,ecommerce,,173,en,,,,,,jp,tohoku,yamagata
tatenokawa-shuzo-sakata,Tatenokawa Shuzo,Sakata,Sake,"Tatenokawa Komyo, Muga, Shield","Yamadate Shimizuda 27, Sakata","Brewery founded in 1832 at the foot of Mount Chokai, brewing junmai daiginjo only. Its Komyo polishes the rice down to one percent.",,+81234522323,,https://www.tatenokawa.com/,https://www.facebook.com/tatenokawa.jp,https://www.instagram.com/tatenokawa_sake/,,38.914860,139.836720,,,sí,ecommerce,,1215,en,,,,,,jp,tohoku,yamagata
kojima-sohonten-yonezawa,Kojima Sohonten,Yonezawa,Sake,Toko,"Honcho 2-2-3, Yonezawa",Founded in 1597 as supplier to the Yonezawa domain and now in its twenty-fourth generation. Brews the Toko label and has its own sake museum.,,+81238234848,,https://www.sake-toko.co.jp/,https://www.facebook.com/Toko1597/,https://www.instagram.com/toko_sake/,,37.922220,140.116670,,,sí,ecommerce,,628,en,,,,,,jp,tohoku,yamagata
yonetsuru-shuzo-takahata,Yonetsuru Shuzo,Takahata,Sake,Yonetsuru,"Niijuku 1076, Takahata","Brewery of more than three hundred years in Takahata, growing part of its rice with farmers in the village. Own online shop.",,+81238521130,,https://yonetsuru.com/,https://www.facebook.com/yonetsuru,https://www.instagram.com/yonetsuru.gratefulcranes/,,38.002750,140.189080,,,sí,ecommerce,,1378,en,,,,,,jp,tohoku,yamagata
gassan-shuzo-sagae,Gassan Shuzo,Sagae,Sake,"Ginrei Gassan, plum liqueur","Yazawa 769-1, Sagae",Sagae brewery brewing with meltwater from Mount Gassan. Sells from its own online shop.,,+81237871114,,https://www.gassan-sake.co.jp/,,,,38.380920,140.276030,,,sí,ecommerce,,260,en,,,,,,jp,tohoku,yamagata
mitobe-shuzo-tendo,Mitobe Shuzo,Tendo,Sake,"Yamagata Masamune, Inazo","Oaza Haramachi Otsu 7, Tendo","Brewery founded in 1898 in Tendo, now in its fifth generation. Grows its own rice and sells the Yamagata Masamune label from its own shop.",,+81236532131,,http://www.mitobesake.com/,,,,38.362110,140.378440,,,sí,ecommerce,,775,en,,,,,,jp,tohoku,yamagata
sakata-shuzo-sakata,Sakata Shuzo,Sakata,Sake,Jokigen,"Hiyoshicho 2-3-25, Sakata","Brewery in the port of Sakata, in the Shonai district, producing the Jokigen label.",,+81234221541,sake@jokigen.com,https://www.jokigen.com/,https://www.facebook.com/profile.php?id=61551648530254,https://www.instagram.com/sake_jokigen/,,38.914860,139.836720,,,no comprobado,,,1030,en,,,,,,jp,tohoku,yamagata
takagi-shuzo-murayama,Takagi Shuzo,Murayama,Sake,"Juyondai, Asahi Taka","Tominami 1826, Murayama",Murayama brewery and home of the Juyondai label. It sells only through appointed distributors.,,+81237572131,,,,,,38.483330,140.380280,,pendiente,no comprobado,,,1175,en,,,,,,jp,tohoku,yamagata
kamenoi-shuzo-tsuruoka,Kamenoi Shuzo,Tsuruoka,Sake,Kudoki Jozu,"Haguromachi Tono Fukunouchi 1, Tsuruoka","Brewery in the Haguro district of Tsuruoka, producing the Kudoki Jozu label.",,+81235622307,,,,,,38.585000,139.808330,,pendiente,no comprobado,,,485,en,,,,,,jp,tohoku,yamagata
rokkasen-higashine,Rokkasen,Higashine,Sake,"Rokkasen, fruit liqueurs","Onsencho 3-17-7, Higashine","Brewery in the Higashine spa town, making sake and fruit liqueurs from the district. Own online shop.",,+81237422777,,https://yamagata-rokkasen.co.jp/,,,,38.431310,140.391080,,,sí,ecommerce,,1008,en,,,,,,jp,tohoku,yamagata
kosaka-shuzo-yonezawa,Kosaka Shuzo,Yonezawa,Sake,Kobai,"Chuo 7-3-10, Yonezawa","Brewery in central Yonezawa, in the Okitama district. Sells its Kobai label from its own online shop.",,+81238233355,,https://kousaka-shuzo.com/,,,,37.922220,140.116670,,,sí,ecommerce,,642,en,,,,,,jp,tohoku,yamagata
chiyokotobuki-toraya-sagae,Chiyokotobuki Toraya,Sagae,Sake,Chiyokotobuki,"Minamimachi 2-1-16, Sagae","Sagae brewery, a different company from Kotobuki Toraya Shuzo despite the shared Toraya. Own online shop.",,+81237866133,,http://www.chiyokotobuki.com/,,,,38.380920,140.276030,,,sí,ecommerce,,137,en,,,,,,jp,tohoku,yamagata
watarai-honten-tsuruoka,Watarai Honten,Tsuruoka,Sake,Dewa no Yuki,"Oyama 2-2-8, Tsuruoka","Brewery in the Oyama district of Tsuruoka, with its own sake museum. Sells the Dewa no Yuki label from its online shop.",,+81235333262,,https://dewanoyuki.jp/,,,,38.585000,139.808330,,,sí,ecommerce,,1332,en,,,,,,jp,tohoku,yamagata
shindo-shuzoten-yonezawa,Shindo Shuzoten,Yonezawa,Sake,"Kurozaemon, Gazanryu","Oaza Takei 1331, Yonezawa",Yonezawa brewery producing the Kurozaemon and Gazanryu labels.,,+81238283403,,http://www.kurouzaemon.com/,,,,37.922220,140.116670,,,no comprobado,,,1102,en,,,,,,jp,tohoku,yamagata
shuho-shuzojo,Shuho Shuzojo,Yamagata,Sake,Shuho,"Yamayemachi 1-6-6, Yamagata","Small brewery in the city of Yamagata, focused on aged junmai daiginjo.",,+81236410026,,http://shuhosyuzo.com/,,,,38.255420,140.339610,,,no comprobado,,,1125,en,,,,,,jp,tohoku,yamagata
otokoyama-shuzo,Otokoyama Shuzo,Yamagata,Sake,Otokoyama,"Yokamachi 2-4-13, Yamagata","Brewery in central Yamagata city. Not to be confused with the Otokoyama of Asahikawa, in Hokkaido, which is a different company.",,+81236410141,,https://www.otokoyama.co.jp/,,,,38.255420,140.339610,,,no comprobado,,,973,en,,,,,,jp,tohoku,yamagata
takenotsuyu-tsuruoka,Takenotsuyu,Tsuruoka,Sake,Hakuro Suishu,"Hagurmachi Inomata Shinden Tayamae 133, Tsuruoka","Brewery at the foot of Mount Haguro, in Tsuruoka, brewing the Hakuro Suishu label with water from the Dewa range.",,+81235622209,,http://www.takenotsuyu.com/,,,,38.585000,139.808330,,,no comprobado,,,1198,en,,,,,,jp,tohoku,yamagata
furusawa-shuzo-sagae,Furusawa Shuzo,Sagae,Sake,Sawa Masamune,"Marunouchi 3-5-7, Sagae",Sagae brewery with a historic building on the cultural property register. Brews the Sawa Masamune label.,,+81237865322,,https://furusawa.co.jp/,,,,38.380920,140.276030,,,no comprobado,,,252,en,,,,,,jp,tohoku,yamagata
fumotoi-shuzo-sakata,Fumotoi Shuzo,Sakata,Sake,"Fumotoi kimoto, Nyu","Fumoto Yokomichi 32, Sakata","Brewery at the foot of Mount Chokai, in Sakata, specializing in the traditional kimoto fermentation method.",,+81234642002,,https://www.fumotoi.co.jp/,,,,38.914860,139.836720,,,no comprobado,,,248,en,,,,,,jp,tohoku,yamagata
kotobuki-toraya-shuzo,Kotobuki Toraya Shuzo,Yamagata,Sake,Kotobuki Toraya,"Oaza Nakazato Kitada 93-1, Yamagata",Brewery in the city of Yamagata.,,+81236872626,,http://kotobukitoraya.co.jp/,,,,38.255420,140.339610,,pendiente,no comprobado,,,650,en,,,,,,jp,tohoku,yamagata
kato-kahachiro-shuzo-tsuruoka,Kato Kahachiro Shuzo,Tsuruoka,Sake,Oyama,"Oyama 3-1-38, Tsuruoka","Brewery in the Oyama district of Tsuruoka, label Oyama.",,+81235332008,,http://katokahachiro.web.fc2.com/,,,,38.585000,139.808330,,pendiente,no comprobado,,,528,en,,,,,,jp,tohoku,yamagata
kikuisami-sakata,Kikuisami,Sakata,Sake,,山形県酒田市大字黒森字葭葉山650,,,+81234922323,,http://www.kikuisami.co.jp/,,,,38.854702,139.814148,,pendiente,no comprobado,,,557,,,,,,,jp,tohoku,yamagata
tsuruoka-beikoku-shogyo-cooperative-tsuruoka,Tsuruoka Beikoku Shogyo Cooperative,Tsuruoka,Pan y cereal,,山形県鶴岡市小淀川字色田62-1,,,,,https://komenoshonai.or.jp,,,,38.731392,139.794907,,pendiente,no comprobado,,,1281,,,,,,,jp,tohoku,yamagata
takahata-farm-takahata,Takahata Farm,Takahata,Conservas,"Jam, dressing, fruit products",山形県東置賜郡高畠町大字入生田100,,,+81238574401,,https://www.takahata-farm.co.jp/company/,,,,37.981010,140.157394,,,no comprobado,,,1184,,,,,,,jp,tohoku,yamagata
dewa-yahei-tsuruoka,Dewa Yahei,Tsuruoka,Pan y cereal,Organic rice,山形県鶴岡市羽黒町昼田字下川原7　他,,,+81235780835,,https://www.organic-yahei.jp/info.html,,,,38.725052,139.882385,,,sí,ecommerce,,171,,,,,,,jp,tohoku,yamagata
gassan-shop-nishikawa,西川町総合開発 (月山ビール),Nishikawa,Cerveza,,,,,,,https://gassan-shop.com/,,,,38.426500,140.147610,,,sí,ecommerce,,3142,,,,,,,jp,tohoku,yamagata
asahimachi-wine-asahi,有限会社 朝日町ワイン,Asahi,Vino,,山形県西村山郡朝日町大字大谷字高野1080番地,,,+81237682611,,https://asahimachi-wine.jp/,,,,35.034250,136.664420,,,sí,ecommerce,,2604,,,,,,,jp,tohoku,yamagata
ourawine-nanyo,有限会社 大浦葡萄酒,Nanyo,Vino,,山形県南陽市赤湯312,,,+81238432056,,https://ourawine.com/,,,,38.055110,140.148360,,,sí,ecommerce,,2601,,,,,,,jp,tohoku,yamagata
wine-nishikawa,合資会社 虎屋西川工場/月山トラヤワイナリー,Nishikawa,Vino,,山形県西村山郡西川町大字吉川79,,,+81237744315,,https://wine.chiyokotobuki.com/,,,,38.426500,140.147610,,,no comprobado,,,2244,,,,,,,jp,tohoku,yamagata
grape-republic-nanyo,株式会社 グレープリパブリック,Nanyo,Vino,,山形県南陽市新田3945-94,,,+81238404130,,https://grape-republic.com/,,,,38.055110,140.148360,,pendiente,no comprobado,,,2722,,,,,,,jp,tohoku,yamagata
kinkei-nanyo,有限会社 佐藤ぶどう酒/金渓ワイン,Nanyo,Vino,,山形県南陽市赤湯1072－2,,,+81238432201,,https://www.kinkei.net/,,,,38.055110,140.148360,,,no comprobado,,,2600,,,,,,,jp,tohoku,yamagata
takahata-winery-takahata,株式会社 高畠ワイナリー,Takahata,Vino,,山形県東置賜郡高畠町糠野目2700-1,,,+81238401840,,https://www.takahata-winery.jp/,,,,38.002750,140.189080,,,no comprobado,,,2752,,,,,,,jp,tohoku,yamagata
takeda-wine-kaminoyama,有限会社 タケダワイナリー,Kaminoyama,Vino,,山形県上山市四ツ谷2-6-1,,,+81236720040,,https://takeda-wine.co.jp/,,,,38.149580,140.267860,,,sí,ecommerce,,2598,,,,,,,jp,tohoku,yamagata
tendowine-tendo-shi,天童ワイン 株式会社,Tendō-shi,Vino,,山形県天童市高擶南99,,,+81236555151,,https://www.tendowine.co.jp/,,,,38.362110,140.378440,,,sí,ecommerce,,2336,,,,,,,jp,tohoku,yamagata
okimasamune-yonezawa,浜田 株式会社,Yonezawa,Vino,,山形県米沢市窪田町藤泉943-1,,,+81238376330,,https://www.okimasamune.com/,,,,37.922220,140.116670,,,no comprobado,,,2875,,,,,,,jp,tohoku,yamagata
h-fruitwine-higashine,合同会社 東根フルーツワイン,Higashine,Vino,,〒999-3723 東根市大字大江新田字平林39番１,,,+81237389014,,https://www.h-fruitwine.com/,,,,38.431310,140.391080,,,no comprobado,,,2238,,,,,,,jp,tohoku,yamagata
sakai-winery-nanyo,有限会社 酒井ワイナリー,Nanyo,Vino,,山形県南陽市赤湯980,,,+81238432043,,http://www.sakai-winery.jp/index.html,,,,38.055110,140.148360,,,no comprobado,,,2608,,,,,,,jp,tohoku,yamagata
bellwoodvineyard-kaminoyama,株式会社 ベルウッドヴィンヤード,Kaminoyama,Vino,,山形県上山市久保手字久保手4414-1,,,+81236746020,,https://bellwoodvineyard.com/,,,,38.149580,140.267860,,,no comprobado,,,2733,,,,,,,jp,tohoku,yamagata
pinocollina-tsuruoka,エルサンワイナリー松ケ岡 株式会社/ピノ・コッリーナ松ケ岡,Tsuruoka,Vino,,山形県鶴岡市羽黒町松ケ岡字松ケ岡156-2,,,+81235267807,,https://pinocollina.com/,,,,38.585000,139.808330,,,sí,ecommerce,,1726,,,,,,,jp,tohoku,yamagata
woodyfarm-kaminoyama,有限会社 蔵王ウッディーファーム/ウッディファーム＆ワイナリー,Kaminoyama,Vino,,山形県上山市原口829,,,+81236742343,,https://www.woodyfarm.com/,,,,38.149580,140.267860,,,sí,ecommerce,,2607,,,,,,,jp,tohoku,yamagata
maruyama-yamagata-yamagata,庄司久仁蔵商店,Yamagata,Condimentos,,山形県山形市東原町1-6-2,Produces soy sauce and traditional seasonings at its Yamagata brewery.,,+81236230061,,https://www.maruyama-yamagata.com/,,,,38.255420,140.339610,,,sí,ecommerce,,2496,en,,,,,,jp,tohoku,yamagata
tabechoku-20661,平田牧場,Sakata,Carne,,,,,,,,,,,38.914860,139.836720,,pendiente,sí,marketplace,,2488,,,,,,,jp,tohoku,yamagata
tabechoku-3078700,農園 阿部惣右衛門,Tsuruoka,Legumbres,"柿, 大豆",,,,,,,,,,38.585000,139.808330,,pendiente,sí,marketplace,,3183,,,,,,,jp,tohoku,yamagata
tabechoku-20670,山形ゆりあふぁーむ,Mikawa,Pan y cereal,,,,,,,,,,,38.794580,139.849690,,pendiente,sí,marketplace,,2430,,,,,,,jp,tohoku,yamagata
tabechoku-20000,マルヘイ農園,Yonezawa,Pan y cereal,,,,,,,,,,,37.922220,140.116670,,pendiente,sí,marketplace,,1942,,,,,,,jp,tohoku,yamagata
tabechoku-25212,上山観光フルーツ園,Kaminoyama,Fruta y verdura,"りんご, 桃, 梨",,,,,,,,,,38.149580,140.267860,,pendiente,sí,marketplace,,2033,,,,,,,jp,tohoku,yamagata
tabechoku-20865,漆山果樹園,Nanyo,Fruta y verdura,"ぶどう, 野菜",,,,,,,,,,38.055110,140.148360,,pendiente,sí,marketplace,,2908,,,,,,,jp,tohoku,yamagata
tabechoku-29085,天童市 東海林農園,Tendō-shi,Fruta y verdura,,,,,,,,,,,38.362110,140.378440,,pendiente,sí,marketplace,,2337,,,,,,,jp,tohoku,yamagata
tabechoku-20966,アンスリーファーム,Sagae,Fruta y verdura,,,,,,,,,,,38.380920,140.276030,,pendiente,sí,marketplace,,1710,,,,,,,jp,tohoku,yamagata
