slug,nombre,municipio,categoria,productos estrella,direccion,descripcion,horario,telefono,correo,web,Facebook,Instagram,Google Maps,lat,lon,imagen,verificacion,Venta online,Canal de venta,categorias adicionales,producer_id,descripcion_locale,visitas guiadas,mensaje a la comunidad,mensaje_comunidad_locale,enlace destacado 1,enlace destacado 2,country,region,area
gonzalez-fischer-sacramenia,González Fischer,Sacramenia,Vino,"Gatico, Lechuzo, Paramera","Sacramenia, Segovia",Bodega familiar de producción limitada que recupera pequeños viñedos de tempranillo de 50 a 70 años en los Páramos del Duratón y elabora en Sacramenia vinos artesanales de baja intervención con DOP Valtiendas.,,,info@gonzalezfischer.com,https://gonzalezfischer.com/,,https://www.instagram.com/gonzalezyfischer/,,41.49466,-3.96335,/productores/es/castilla-y-leon/segovia/gonzalez-fischer-sacramenia.webp,,sí,ecommerce,,6497,es,,,,,,es,castilla-y-leon,segovia
pago-el-almendro-navalilla,Pago El Almendro,Navalilla,Vino,"Evolet, Vivencias, Sin Vivir","Navalilla, Segovia","Proyecto del cocinero segoviano Óscar Hernando que elabora en Navalilla vinos de tempranillo con uvas de viñedos de Valtiendas, Valles de Fuentidueña y Cuevas de Provanco.",,,,,,,,41.34056,-3.9325,,pendiente,no comprobado,,,9401,es,,,,,,es,castilla-y-leon,segovia
bodegas-valmenia-sacramenia,Bodegas Valmenia,Sacramenia,Vino,"Valmenia Roble, Valmenia Crianza, Finca La Machorra","C. Trinidad, 21, 40237 Sacramenia, Segovia",Proyecto artesanal iniciado en 2014 que selecciona vendimia manual de viñas de Valtiendas y elabora en pequeñas cantidades tres vinos con DOP Valtiendas.,,+34618565022,info@bodegasvalmenia.com,https://bodegasvalmenia.com/,,https://www.instagram.com/bodegasvalmenia/,,41.4927443,-3.9625548,/productores/es/castilla-y-leon/segovia/bodegas-valmenia-sacramenia.webp,,sí,ecommerce|whatsapp,,2444,es,,,,,,es,castilla-y-leon,segovia
bodegas-zarraguilla-sacramenia,Bodegas Zarraguilla,Sacramenia,Vino,"Zarraguilla Z, Vennur, Reserva Martín, Z-37","C. Las Iglesias, 14, 40237 Sacramenia, Segovia","Bodega familiar de Sacramenia con cuatro generaciones de tradición vinícola; elabora tintos con DOP Valtiendas de viñedos en altura, incluidos vinos de autor de cepas centenarias.",,+34921527270,,https://bodegaszarraguilla.com/,,,https://www.google.com/maps/search/?api=1&query=Bodegas%20Zarraguilla%2C%20C.%20Las%20Iglesias%2C%2014%2C%2040237%20Sacramenia%2C%20Segovia&query_place_id=ChIJtYHrXbO9Rg0RG549e_7ORW4,41.49466,-3.96335,,,sí,ecommerce|whatsapp,,2544,es,,,,,,es,castilla-y-leon,segovia
bodega-y-vinedos-valdrinal-aldehorno,Bodega y viñedos Valdrinal,Aldehorno,Vino,Tintos de tinta fina de la D.O. Ribera del Duero,"Camino de la Vega, sn Poligono 4, Parcela 130-133, 40533 Aldehorno, Segovia","Bodega fundada en 2000 tras cuatro generaciones de viticultores, con 25 hectáreas de tinta fina repartidas entre Aldehorno, Fuentenebro y Moradillo de Roa, entre 910 y 1.050 metros de altitud: de las más altas de la D.O. Ribera del Duero. También elabora verdejo en la D.O. Rueda.",,+34634578839,,https://valdrinal.com/,,,https://www.google.com/maps/search/?api=1&query=Bodega%20y%20vi%C3%B1edos%20Valdrinal&query_place_id=ChIJrXHhk_6hRg0R21e3fVg212o,41.5130772,-3.7833517,,pendiente,no comprobado,,,1750,es,,,,,,es,castilla-y-leon,segovia
vitivinicola-alanterra-s-l-vinedos-de-agejas-cabanas-de-polendos,Bodega Alanterra - Viñedos de Agejas,Cabañas de Polendos,Vino,Tintos de tempranillo criados en roble americano,"Camino del pavillo, 40392 Cabañas de Polendos, Segovia","Bodega familiar fundada en 1998 junto al despoblado de Agejas, en Cabañas de Polendos, con más de treinta hectáreas de tempranillo. Es el viñedo más cercano a la ciudad de Segovia y admite visitas. Sus dominios bodegasalanterra.es y agejasbodega.com no responden.",,+34638836272,info@alanterra.es,,https://www.facebook.com/Agejasbodega/,,https://www.google.com/maps/search/?api=1&query=VITIVIN%C3%8DCOLA%20ALANTERRA%2C%20S.L.%20%7C%20VI%C3%91EDOS%20DE%20AGEJAS&query_place_id=ChIJFztes6k3QQ0R4fYk54zQNV0,41.052178999999995,-4.110837000000001,,pendiente,no comprobado,,,1274,es,,,,,,es,castilla-y-leon,segovia
bodegas-camiruaga-martin-munoz-de-las-posadas,Bodegas Camiruaga,Martín Muñoz de las Posadas,Vino,Tinto monovarietal de garnacha de viñas de más de 70 años,"40446 Martín Muñoz de las Posadas, Segovia","Bodega de los hermanos González-Herrero Camiruaga en Martín Muñoz de las Posadas, que recuperó en 2016 viñas de garnacha a pie franco de más de setenta años y elabora un monovarietal criado entre ocho y doce meses en roble francés. Premio a la Bodega más Innovadora de 2024 en la Fiesta del Vino y del Chocolate de la Diputación.",,+34687058324,bodegascamiruaga@gmail.com,,,https://www.instagram.com/bodegas_camiruaga/,https://www.google.com/maps/search/?api=1&query=Bodegas%20Camiruaga&query_place_id=ChIJfbJ5cLHFQA0RVwnIwg9G6LY,40.994576699999996,-4.5972709,,pendiente,no comprobado,,,1862,es,,,,,,es,castilla-y-leon,segovia
severino-sanz-bodega-en-ribera-del-duero-montejo-de-la-vega-de-la-serrezuela,Severino Sanz - Bodega en Ribera del Duero,Montejo de la Vega de la Serrezuela,Vino,"Tintos Murón y Herencia de Llanomingómez, blancos de verdejo y albillo mayor","C. El Reguero, s/n, 40542 Montejo de la Vega de la Serrezuela, Segovia","Bodega familiar de la D.O. Ribera del Duero en Montejo de la Vega de la Serrezuela, dentro del parque natural de las Hoces del Río Riaza. Fundada por Severino Sanz y dirigida hoy por sus tres hijos, elabora los tintos Murón y Herencia de Llanomingómez, blancos de verdejo y albillo mayor y rosados.",,+34680252902,visitas@bodegaseverinosanz.es,http://bodegaseverinosanz.es/,https://www.facebook.com/bodegaseverinosanz,https://www.instagram.com/bodegaseverinosanz/,https://www.google.com/maps/search/?api=1&query=Severino%20Sanz%20-%20Bodega%20en%20Ribera%20del%20Duero&query_place_id=ChIJF2nnuJA6RA0RLhHEI4MDmZU,41.5467507,-3.6544527999999996,/productores/es/castilla-y-leon/segovia/severino-sanz-bodega-en-ribera-del-duero-montejo-de-la-vega-de-la-serrezuela.webp,,sí,ecommerce,,11508,es,,,,,,es,castilla-y-leon,segovia
bodegas-garcia-serrano-nava-valley-nava-de-la-asuncion,Bodegas García Serrano - Nava Valley,Nava de la Asunción,Vino,Vinos ecológicos: el tinto Sendero del Pino y el blanco Diez mil y pico,"C. Hermanos García Barbero, 11, 40450 Nava de la Asunción, Segovia","Bodega familiar de Nava de la Asunción con ocho hectáreas de viñedo ecológico repartidas entre Nava y Aldehuela del Codonal, con tempranillo, verdejo y garnacha. Su enólogo, Juan Gómez García, se formó en Napa Valley y en Australia.",,+34662191153,,https://bodegasgarciaserrano.com/,,,https://www.google.com/maps/search/?api=1&query=Bodegas%20Garcia%20Serrano%20Nava%20Valley&query_place_id=ChIJnVO7ny3TQA0RhlmE_0P4C8A,41.1577395,-4.489862,/productores/es/castilla-y-leon/segovia/bodegas-garcia-serrano-nava-valley-nava-de-la-asuncion.webp,,sí,ecommerce,,2031,es,,,,,,es,castilla-y-leon,segovia
bodegas-navaltallar-navalilla,Bodegas Navaltallar,Navalilla,Vino,"Tintos joven, roble y crianza de la D.O.P. Valtiendas","Tr.ª del Calvario, sn, 40331 Navalilla, Segovia","Bodega de Navalilla inscrita en la D.O.P. Valtiendas que elabora unas 40.000 botellas al año de tinto joven, roble y crianza, con venta en Madrid, Segovia, Galicia y la Costa del Sol y exportación a Alemania, Francia, Reino Unido y Estados Unidos.",,+34638050061,alejandro_costa@navaltallar.com,http://www.navaltallar.com/,,,https://www.google.com/maps/search/?api=1&query=bodegas%20navaltallar&query_place_id=ChIJARXV9yaxRg0R_qqe1nTP10M,41.343494199999995,-3.9293923999999993,/productores/es/castilla-y-leon/segovia/bodegas-navaltallar-navalilla.webp,,sí,ecommerce,,2235,es,,,,,,es,castilla-y-leon,segovia
las-dos-antiguas-s-l-navas-de-oro,Las Dos Antiguas,Navas de Oro,Vino,"Tintos de tempranillo y blancos de verdejo y malvasía, botellas numeradas","C. Real, 17, 40470 Navas de Oro, Segovia","Bodega de elaboración artesanal fundada en 2012 en Navas de Oro, con unas 7.000 botellas numeradas al año de tinto de tempranillo y blancos de guarda de verdejo y malvasía. Ofrece además visitas, catas y maridajes.",,+34691145853,info@lasdosantiguas.com,https://www.lasdosantiguas.com/,,,https://www.google.com/maps/search/?api=1&query=Las%20Dos%20Antiguas%20S.L.&query_place_id=ChIJNeMkLivVQA0RIkB0aurMX54,41.1952444,-4.4356064,/productores/es/castilla-y-leon/segovia/las-dos-antiguas-s-l-navas-de-oro.webp,,sí,ecommerce,,8034,es,,,,,,es,castilla-y-leon,segovia
bodega-microbio-wines-nieva,Bodega Microbio Wines,Nieva,Vino,Vinos naturales de verdejo de viñas viejas,"Plaza de la Iglesia, 7, 40447 Nieva, Segovia",Proyecto de vinos naturales de Nieva que trabaja verdejo de viñas viejas y prefiloxéricas de la zona con intervención mínima.,,+34626267430,,http://www.microbiowines.com/,,,https://www.google.com/maps/search/?api=1&query=Bodega%20Microbio%20Wines&query_place_id=ChIJ3SUoWSDXQA0Rk7mdU3VhFPk,41.0799569,-4.426994,/productores/es/castilla-y-leon/segovia/bodega-microbio-wines-nieva.webp,,sí,ecommerce,,1559,es,,,,,,es,castilla-y-leon,segovia
bodegas-blanco-nieva-d-o-rueda-nieva,Bodegas Blanco Nieva (D.O. Rueda),Nieva,Vino,"Verdejo y sauvignon blanc de la D.O. Rueda, incluido pie franco","Cam. Real, s/n, 40447 Nieva, Segovia","Bodega de la D.O. Rueda en Nieva, sobre los antiguos terrenos del monasterio de Los Cartujos, con 54 hectáreas de verdejo —doce de ellas de pie franco— y seis de sauvignon blanc a más de 850 metros de altitud. Desde 2009 forma parte del proyecto de Bodegas Martúe, que conserva la bodega y la marca propias.",,+34659321132,,https://martue.com/nieva/,,,https://www.google.com/maps/search/?api=1&query=Bodegas%20Blanco%20Nieva%20%28D.O.%20Rueda%29&query_place_id=ChIJhYrIv0vWQA0RTwfw6eJhshY,41.079697499999995,-4.4216251,/productores/es/castilla-y-leon/segovia/bodegas-blanco-nieva-d-o-rueda-nieva.webp,,sí,ecommerce,,1847,es,,,,,,es,castilla-y-leon,segovia
